t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 400, 149, 396, 150, 396, 150, 389, 150, 415, 150, 399, 
10, 150, 400, 149, 395, 150, 396, 150, 391, 149, 412, 150, 397, 
15, 150, 400, 149, 398, 150, 394, 150, 391, 149, 411, 150, 395, 
20, 150, 401, 149, 396, 149, 394, 150, 390, 150, 410, 150, 396, 
25, 150, 403, 149, 394, 150, 394, 150, 390, 150, 411, 150, 395, 
30, 150, 403, 150, 394, 149, 392, 150, 388, 149, 411, 150, 394, 
35, 150, 404, 149, 392, 150, 392, 150, 390, 149, 409, 150, 394, 
40, 150, 406, 149, 392, 149, 392, 149, 389, 150, 409, 149, 395, 
45, 150, 408, 149, 392, 150, 393, 149, 391, 150, 411, 150, 395, 
50, 150, 410, 149, 391, 149, 391, 150, 390, 150, 409, 150, 396, 
55, 150, 410, 149, 391, 149, 390, 149, 388, 150, 408, 150, 394, 
60, 150, 406, 149, 392, 149, 390, 149, 390, 150, 410, 150, 396, 
65, 150, 401, 150, 390, 150, 389, 151, 393, 150, 409, 149, 395, 
70, 150, 395, 149, 389, 150, 390, 149, 387, 149, 407, 150, 394, 
75, 150, 391, 149, 387, 150, 387, 150, 387, 150, 407, 149, 394, 
80, 150, 388, 149, 387, 150, 388, 149, 388, 150, 405, 150, 396, 
85, 150, 388, 149, 386, 150, 388, 149, 386, 150, 405, 150, 393, 
90, 150, 387, 149, 387, 149, 386, 149, 385, 150, 405, 150, 393, 
95, 150, 387, 150, 385, 149, 387, 150, 385, 149, 403, 150, 394, 
100, 150, 388, 149, 383, 149, 387, 150, 386, 150, 403, 150, 392, 
105, 150, 388, 149, 384, 150, 386, 149, 381, 149, 402, 150, 393, 
110, 150, 389, 149, 383, 150, 386, 150, 383, 150, 402, 150, 392, 
115, 150, 390, 150, 383, 149, 385, 149, 382, 149, 401, 149, 392, 
120, 150, 388, 149, 383, 149, 384, 150, 383, 149, 401, 150, 391, 
125, 150, 388, 149, 380, 149, 382, 150, 378, 149, 399, 150, 389, 
130, 150, 386, 149, 381, 150, 383, 149, 380, 149, 399, 150, 389, 
135, 149, 387, 149, 380, 149, 383, 150, 381, 150, 400, 150, 388, 
140, 149, 386, 149, 379, 149, 382, 149, 379, 150, 399, 149, 389, 
145, 150, 385, 149, 382, 150, 381, 150, 379, 150, 398, 150, 387, 
150, 149, 385, 150, 381, 149, 381, 149, 379, 149, 397, 150, 386, 
155, 150, 382, 149, 380, 150, 382, 150, 378, 150, 397, 150, 387, 
160, 150, 383, 149, 380, 149, 381, 150, 379, 149, 396, 150, 384, 
165, 150, 382, 149, 381, 150, 380, 150, 379, 150, 397, 150, 384, 
170, 150, 382, 149, 379, 149, 380, 149, 379, 150, 398, 150, 386, 
175, 150, 382, 149, 381, 150, 382, 150, 380, 150, 397, 149, 384, 
180, 150, 383, 149, 381, 149, 380, 149, 376, 150, 395, 150, 384, 
185, 150, 384, 150, 380, 150, 380, 150, 377, 150, 397, 150, 383, 
190, 150, 384, 149, 379, 150, 382, 149, 377, 150, 396, 150, 385, 
195, 150, 384, 150, 380, 149, 380, 150, 377, 150, 396, 150, 384, 
200, 150, 385, 149, 380, 150, 381, 150, 376, 150, 396, 150, 382, 
205, 149, 384, 149, 380, 150, 380, 149, 377, 150, 395, 150, 383, 
210, 149, 383, 149, 379, 149, 381, 150, 376, 150, 396, 150, 382, 
215, 150, 384, 150, 380, 149, 381, 149, 374, 150, 396, 150, 381, 
220, 150, 384, 150, 379, 149, 381, 149, 376, 149, 394, 150, 381, 
225, 150, 384, 149, 380, 149, 380, 150, 376, 150, 395, 150, 382, 
230, 149, 384, 150, 381, 150, 381, 149, 376, 149, 394, 150, 382, 
235, 150, 384, 149, 381, 150, 379, 150, 376, 150, 395, 150, 379, 
240, 150, 383, 150, 381, 149, 380, 149, 376, 149, 394, 149, 380, 
245, 150, 383, 149, 381, 150, 381, 150, 376, 149, 395, 150, 381, 
250, 150, 383, 150, 382, 150, 381, 150, 373, 149, 394, 150, 380, 
255, 149, 383, 149, 381, 150, 379, 150, 374, 150, 394, 150, 380, 
260, 149, 383, 150, 381, 149, 381, 149, 375, 149, 394, 150, 379, 
265, 150, 382, 149, 382, 150, 381, 150, 374, 149, 392, 150, 379, 
270, 150, 382, 149, 382, 149, 381, 149, 373, 150, 392, 150, 378, 
275, 150, 382, 149, 383, 149, 380, 150, 375, 150, 393, 149, 378, 
280, 150, 383, 149, 382, 149, 381, 149, 372, 149, 394, 150, 379, 
285, 150, 382, 150, 382, 150, 381, 150, 373, 149, 392, 149, 378, 
290, 150, 382, 149, 382, 150, 380, 150, 373, 150, 392, 149, 377, 
295, 149, 382, 149, 384, 150, 380, 149, 373, 149, 391, 150, 377, 
300, 149, 380, 149, 381, 150, 381, 149, 373, 150, 392, 150, 378, 
305, 150, 382, 150, 384, 150, 382, 149, 371, 150, 391, 149, 377, 
310, 150, 378, 149, 381, 150, 381, 150, 374, 150, 391, 150, 377, 
315, 150, 379, 150, 382, 149, 380, 149, 373, 150, 391, 150, 378, 
320, 149, 379, 149, 381, 150, 380, 150, 373, 150, 391, 150, 378, 
325, 150, 378, 149, 381, 150, 379, 149, 372, 150, 390, 150, 377, 
330, 149, 377, 150, 380, 150, 380, 150, 374, 150, 390, 150, 377, 
