t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 387, 149, 383, 150, 383, 150, 378, 149, 398, 150, 387, 
10, 150, 386, 149, 383, 150, 383, 149, 379, 150, 397, 150, 386, 
15, 150, 387, 149, 382, 149, 383, 150, 380, 149, 398, 150, 387, 
20, 150, 385, 149, 382, 150, 381, 149, 379, 150, 397, 149, 386, 
25, 150, 385, 150, 383, 150, 383, 150, 379, 149, 398, 150, 385, 
30, 150, 383, 149, 382, 150, 384, 150, 376, 150, 397, 150, 387, 
35, 150, 383, 149, 381, 149, 383, 150, 377, 150, 397, 150, 386, 
40, 150, 378, 149, 380, 150, 383, 150, 377, 150, 397, 150, 387, 
45, 150, 373, 150, 379, 150, 382, 150, 375, 150, 396, 150, 385, 
50, 150, 372, 149, 378, 150, 379, 149, 374, 150, 393, 150, 383, 
55, 150, 381, 150, 379, 150, 380, 150, 375, 149, 393, 150, 384, 
60, 150, 379, 149, 376, 149, 381, 150, 375, 150, 393, 149, 382, 
65, 150, 372, 149, 378, 150, 379, 150, 376, 150, 392, 149, 381, 
70, 150, 370, 149, 384, 150, 378, 149, 373, 150, 392, 150, 379, 
75, 150, 370, 150, 391, 150, 377, 149, 372, 149, 390, 150, 381, 
80, 150, 371, 149, 392, 149, 375, 149, 372, 149, 393, 150, 378, 
85, 150, 371, 150, 400, 150, 374, 149, 369, 150, 396, 150, 380, 
90, 149, 372, 150, 400, 150, 373, 150, 372, 149, 398, 150, 380, 
95, 150, 375, 149, 400, 149, 369, 149, 370, 150, 399, 149, 378, 
100, 149, 376, 149, 400, 150, 371, 150, 370, 150, 400, 150, 378, 
105, 150, 379, 150, 400, 150, 371, 150, 369, 150, 400, 150, 378, 
110, 150, 380, 149, 398, 150, 367, 149, 368, 149, 399, 150, 376, 
115, 150, 380, 149, 397, 149, 368, 150, 368, 149, 399, 150, 375, 
120, 150, 379, 149, 398, 150, 368, 149, 368, 150, 400, 150, 376, 
125, 150, 381, 149, 398, 149, 367, 150, 368, 150, 400, 150, 375, 
130, 150, 380, 150, 396, 149, 365, 150, 368, 150, 401, 150, 373, 
135, 150, 379, 149, 396, 150, 367, 150, 366, 150, 400, 150, 374, 
140, 150, 379, 150, 394, 150, 365, 149, 366, 150, 400, 150, 375, 
145, 150, 378, 149, 392, 150, 364, 149, 366, 150, 399, 150, 374, 
150, 150, 377, 149, 393, 150, 366, 149, 365, 150, 398, 150, 374, 
155, 149, 378, 149, 390, 149, 365, 150, 368, 150, 397, 150, 375, 
160, 149, 378, 149, 388, 150, 365, 149, 366, 150, 396, 150, 374, 
165, 150, 378, 150, 389, 150, 366, 149, 366, 150, 396, 150, 373, 
170, 150, 377, 149, 390, 150, 365, 150, 364, 149, 395, 150, 374, 
175, 150, 377, 149, 387, 150, 365, 150, 366, 150, 396, 150, 374, 
180, 150, 376, 149, 386, 150, 364, 149, 366, 150, 395, 150, 374, 
185, 150, 375, 149, 386, 150, 366, 150, 364, 150, 394, 150, 373, 
190, 149, 376, 149, 384, 149, 364, 149, 366, 150, 393, 150, 373, 
195, 150, 375, 149, 384, 150, 363, 149, 366, 150, 394, 150, 373, 
200, 150, 376, 150, 381, 150, 365, 150, 365, 150, 391, 150, 372, 
205, 150, 376, 149, 382, 150, 364, 151, 368, 149, 390, 150, 372, 
210, 150, 374, 149, 379, 149, 363, 149, 367, 150, 391, 150, 373, 
215, 150, 375, 149, 379, 149, 364, 150, 365, 149, 390, 150, 371, 
220, 150, 375, 149, 378, 150, 365, 150, 366, 150, 389, 150, 373, 
225, 150, 373, 150, 378, 149, 364, 150, 365, 150, 388, 150, 373, 
230, 150, 374, 149, 376, 150, 363, 149, 366, 150, 388, 150, 373, 
235, 150, 372, 150, 380, 150, 364, 149, 363, 150, 387, 150, 372, 
240, 150, 373, 149, 377, 149, 364, 150, 364, 149, 386, 150, 373, 
245, 150, 372, 149, 377, 150, 362, 150, 366, 150, 387, 150, 372, 
250, 150, 371, 149, 376, 150, 363, 150, 364, 149, 386, 149, 371, 
255, 150, 371, 149, 376, 150, 365, 150, 366, 149, 385, 150, 373, 
260, 150, 371, 149, 375, 150, 362, 149, 365, 150, 384, 149, 371, 
265, 150, 370, 149, 374, 149, 363, 149, 364, 149, 385, 150, 372, 
270, 150, 370, 149, 374, 150, 363, 150, 364, 150, 384, 150, 372, 
275, 150, 371, 149, 373, 149, 362, 149, 364, 150, 383, 149, 371, 
280, 150, 370, 149, 371, 150, 362, 149, 364, 150, 384, 150, 372, 
285, 150, 369, 149, 372, 149, 361, 149, 365, 149, 382, 150, 371, 
290, 150, 368, 149, 372, 150, 362, 150, 364, 149, 382, 150, 372, 
295, 150, 368, 149, 370, 150, 361, 149, 365, 150, 381, 149, 371, 
300, 150, 368, 149, 370, 149, 362, 149, 364, 149, 381, 150, 369, 
305, 150, 367, 149, 370, 150, 363, 149, 362, 149, 380, 150, 371, 
310, 150, 367, 149, 368, 150, 361, 150, 366, 150, 380, 150, 371, 
315, 150, 366, 149, 368, 149, 360, 150, 365, 149, 381, 150, 370, 
320, 150, 366, 149, 368, 150, 362, 150, 363, 150, 379, 150, 370, 
325, 149, 366, 149, 367, 149, 361, 150, 363, 149, 378, 150, 370, 
330, 150, 366, 149, 365, 150, 360, 149, 364, 150, 379, 150, 370, 
