t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 468, 150, 458, 150, 449, 150, 444, 150, 465, 149, 450, 
10, 150, 468, 149, 458, 150, 450, 150, 442, 149, 464, 150, 452, 
15, 150, 468, 149, 458, 150, 447, 150, 443, 150, 464, 149, 450, 
20, 150, 469, 149, 459, 149, 448, 149, 442, 149, 464, 149, 448, 
25, 150, 468, 149, 459, 150, 449, 150, 443, 150, 466, 150, 451, 
30, 150, 468, 150, 458, 150, 447, 150, 442, 149, 463, 150, 450, 
35, 150, 467, 150, 457, 150, 448, 150, 442, 150, 465, 150, 448, 
40, 149, 464, 149, 455, 150, 447, 149, 437, 150, 464, 150, 452, 
45, 150, 461, 149, 454, 150, 447, 149, 439, 149, 462, 149, 450, 
50, 150, 459, 149, 452, 149, 445, 150, 437, 150, 462, 149, 452, 
55, 149, 456, 149, 451, 150, 443, 150, 439, 150, 463, 149, 450, 
60, 150, 455, 149, 450, 149, 444, 149, 437, 150, 460, 150, 449, 
65, 150, 453, 149, 450, 150, 441, 150, 438, 150, 460, 149, 450, 
70, 149, 450, 149, 450, 149, 441, 149, 435, 150, 460, 150, 448, 
75, 150, 450, 150, 449, 149, 441, 150, 434, 150, 459, 150, 447, 
80, 150, 448, 149, 447, 150, 439, 149, 434, 150, 458, 150, 448, 
85, 149, 446, 149, 445, 149, 437, 149, 431, 150, 456, 150, 444, 
90, 150, 446, 149, 445, 149, 434, 150, 432, 150, 456, 150, 444, 
95, 150, 445, 149, 443, 150, 433, 149, 428, 150, 453, 150, 444, 
100, 150, 445, 150, 442, 150, 433, 150, 430, 150, 453, 150, 441, 
105, 150, 444, 149, 439, 150, 433, 150, 427, 150, 450, 150, 438, 
110, 150, 444, 149, 440, 149, 432, 149, 424, 150, 450, 150, 439, 
115, 150, 443, 149, 437, 150, 430, 150, 425, 150, 447, 150, 438, 
120, 150, 443, 149, 438, 150, 432, 150, 425, 150, 449, 150, 436, 
125, 150, 443, 149, 440, 149, 432, 149, 424, 150, 447, 150, 439, 
130, 150, 444, 149, 440, 150, 431, 150, 424, 149, 447, 150, 436, 
135, 150, 444, 149, 440, 150, 432, 150, 424, 150, 447, 150, 437, 
140, 149, 444, 149, 440, 150, 434, 150, 424, 150, 448, 150, 439, 
145, 150, 444, 149, 440, 150, 433, 149, 423, 150, 447, 150, 440, 
150, 150, 445, 149, 439, 150, 433, 150, 424, 150, 446, 150, 439, 
155, 150, 445, 149, 439, 150, 436, 149, 424, 150, 447, 150, 439, 
160, 150, 445, 150, 439, 149, 435, 150, 423, 150, 447, 150, 439, 
165, 150, 444, 150, 437, 150, 435, 149, 426, 150, 446, 150, 439, 
170, 150, 445, 149, 438, 150, 438, 150, 425, 150, 449, 150, 439, 
175, 150, 447, 150, 438, 150, 436, 150, 427, 150, 448, 149, 438, 
180, 150, 447, 149, 438, 150, 436, 150, 428, 150, 450, 150, 439, 
185, 150, 447, 150, 438, 150, 436, 150, 426, 150, 450, 150, 440, 
190, 150, 447, 149, 437, 150, 437, 149, 429, 150, 449, 150, 439, 
195, 150, 448, 149, 438, 150, 437, 149, 430, 149, 450, 149, 438, 
200, 150, 449, 150, 440, 150, 437, 150, 431, 149, 448, 150, 439, 
205, 150, 450, 149, 440, 150, 438, 149, 430, 150, 450, 150, 439, 
210, 149, 450, 149, 440, 149, 436, 150, 430, 150, 449, 149, 438, 
215, 150, 452, 150, 441, 150, 438, 149, 432, 150, 450, 149, 438, 
220, 150, 453, 149, 440, 149, 437, 149, 430, 149, 450, 149, 437, 
225, 150, 452, 149, 442, 149, 435, 149, 433, 149, 449, 150, 440, 
230, 150, 453, 149, 441, 150, 437, 149, 432, 150, 451, 150, 439, 
235, 150, 453, 149, 441, 150, 437, 150, 432, 150, 450, 150, 439, 
240, 150, 454, 149, 442, 149, 436, 149, 432, 150, 449, 150, 438, 
245, 150, 453, 150, 442, 150, 438, 150, 432, 149, 452, 150, 437, 
250, 149, 455, 149, 443, 150, 437, 149, 431, 149, 450, 150, 438, 
255, 149, 455, 149, 442, 150, 436, 149, 433, 150, 451, 150, 440, 
260, 150, 455, 149, 444, 150, 440, 149, 431, 150, 451, 150, 438, 
265, 150, 456, 149, 443, 149, 438, 149, 433, 149, 451, 150, 440, 
270, 150, 456, 149, 443, 150, 440, 149, 433, 150, 452, 150, 438, 
275, 150, 455, 149, 443, 149, 440, 149, 432, 149, 452, 150, 437, 
280, 149, 454, 150, 443, 150, 439, 149, 433, 150, 450, 150, 437, 
285, 150, 454, 149, 442, 149, 441, 149, 433, 150, 452, 150, 436, 
290, 149, 453, 149, 443, 150, 441, 149, 431, 150, 452, 149, 437, 
295, 150, 453, 149, 441, 150, 440, 149, 432, 150, 451, 149, 435, 
300, 149, 453, 149, 442, 150, 441, 150, 432, 150, 449, 150, 436, 
305, 150, 452, 149, 442, 150, 441, 150, 431, 150, 450, 150, 435, 
310, 149, 452, 149, 442, 149, 440, 149, 431, 149, 450, 150, 435, 
315, 150, 452, 149, 442, 150, 439, 150, 432, 149, 449, 150, 435, 
320, 150, 452, 150, 443, 150, 440, 149, 430, 150, 449, 150, 434, 
325, 150, 451, 149, 441, 149, 439, 149, 429, 150, 449, 150, 435, 
330, 150, 450, 150, 441, 150, 439, 149, 430, 150, 448, 150, 434, 
