t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 452, 150, 462, 150, 463, 150, 454, 149, 483, 150, 464, 
10, 150, 451, 149, 463, 150, 463, 150, 452, 150, 486, 149, 463, 
15, 150, 451, 150, 464, 149, 462, 149, 453, 150, 484, 150, 462, 
20, 150, 450, 149, 463, 150, 463, 150, 453, 150, 484, 149, 458, 
25, 150, 450, 150, 464, 150, 462, 150, 453, 150, 484, 150, 460, 
30, 150, 449, 149, 463, 150, 462, 149, 451, 149, 483, 150, 460, 
35, 150, 448, 149, 461, 150, 460, 150, 452, 150, 483, 150, 456, 
40, 150, 448, 150, 460, 150, 459, 150, 451, 150, 481, 150, 456, 
45, 150, 443, 149, 455, 150, 456, 150, 447, 150, 476, 150, 451, 
50, 149, 442, 149, 453, 149, 456, 149, 447, 150, 475, 149, 451, 
55, 150, 439, 149, 451, 149, 455, 149, 445, 150, 475, 149, 451, 
60, 150, 436, 149, 449, 149, 454, 150, 443, 150, 475, 150, 452, 
65, 149, 433, 150, 448, 150, 451, 149, 444, 150, 473, 150, 451, 
70, 150, 431, 149, 449, 150, 450, 149, 442, 149, 470, 150, 448, 
75, 150, 432, 149, 447, 150, 449, 150, 442, 150, 472, 150, 449, 
80, 150, 431, 150, 447, 150, 447, 149, 439, 149, 471, 149, 449, 
85, 150, 430, 149, 446, 150, 444, 149, 439, 150, 471, 150, 444, 
90, 150, 427, 150, 445, 150, 444, 150, 437, 150, 472, 150, 445, 
95, 149, 426, 149, 445, 149, 443, 149, 435, 149, 470, 150, 445, 
100, 150, 426, 149, 444, 150, 441, 150, 436, 150, 469, 150, 443, 
105, 150, 427, 150, 441, 149, 441, 149, 435, 150, 468, 150, 441, 
110, 150, 426, 149, 441, 149, 441, 150, 434, 149, 468, 150, 441, 
115, 150, 424, 150, 440, 150, 440, 149, 434, 149, 468, 150, 439, 
120, 150, 425, 150, 439, 149, 438, 149, 434, 150, 466, 150, 436, 
125, 150, 424, 149, 438, 150, 439, 149, 433, 150, 468, 150, 438, 
130, 149, 424, 149, 438, 150, 438, 149, 434, 150, 467, 150, 438, 
135, 149, 424, 149, 437, 149, 437, 150, 434, 149, 466, 150, 434, 
140, 150, 424, 150, 439, 149, 437, 149, 432, 150, 467, 150, 436, 
145, 150, 424, 149, 438, 150, 438, 150, 430, 149, 467, 150, 436, 
150, 150, 425, 149, 438, 150, 435, 149, 433, 149, 467, 150, 437, 
155, 150, 425, 149, 438, 149, 435, 149, 432, 149, 467, 149, 436, 
160, 150, 425, 149, 438, 150, 437, 150, 431, 150, 467, 150, 437, 
165, 150, 425, 149, 440, 150, 436, 149, 433, 150, 467, 149, 436, 
170, 150, 425, 149, 439, 150, 437, 149, 434, 149, 465, 150, 435, 
175, 149, 426, 149, 440, 150, 438, 150, 432, 150, 466, 149, 435, 
180, 150, 426, 150, 439, 150, 437, 150, 432, 149, 464, 150, 436, 
185, 150, 427, 149, 441, 150, 436, 150, 434, 150, 464, 150, 433, 
190, 150, 427, 149, 441, 150, 437, 149, 433, 150, 465, 150, 436, 
195, 149, 427, 149, 441, 149, 437, 149, 432, 150, 466, 150, 436, 
200, 150, 427, 149, 443, 149, 436, 150, 433, 150, 465, 150, 435, 
205, 149, 425, 150, 442, 149, 437, 149, 433, 149, 465, 149, 435, 
210, 150, 427, 149, 444, 150, 438, 149, 433, 149, 465, 150, 434, 
215, 149, 428, 150, 442, 149, 438, 149, 434, 150, 464, 150, 433, 
220, 149, 429, 149, 443, 149, 437, 149, 433, 149, 464, 150, 432, 
225, 150, 430, 149, 444, 149, 438, 150, 432, 149, 466, 150, 433, 
230, 150, 430, 149, 445, 150, 438, 149, 433, 149, 464, 150, 434, 
235, 150, 430, 149, 444, 150, 436, 149, 434, 150, 464, 150, 432, 
240, 150, 430, 150, 445, 149, 436, 149, 433, 150, 464, 149, 432, 
245, 150, 430, 149, 445, 150, 437, 149, 432, 150, 464, 150, 433, 
250, 150, 431, 149, 445, 149, 437, 149, 434, 149, 462, 150, 434, 
255, 149, 431, 149, 445, 150, 439, 150, 434, 149, 463, 149, 431, 
260, 150, 432, 149, 445, 150, 438, 150, 433, 150, 464, 150, 434, 
265, 150, 431, 150, 445, 150, 438, 149, 434, 149, 462, 149, 432, 
270, 150, 431, 149, 445, 149, 438, 149, 433, 149, 462, 150, 431, 
275, 150, 431, 149, 445, 150, 439, 149, 432, 149, 461, 150, 432, 
280, 150, 431, 149, 444, 149, 437, 149, 432, 149, 461, 149, 431, 
285, 149, 431, 149, 445, 150, 438, 149, 432, 150, 462, 150, 430, 
290, 149, 430, 149, 445, 150, 438, 149, 432, 150, 462, 149, 432, 
295, 150, 431, 149, 444, 149, 438, 149, 432, 149, 461, 150, 432, 
300, 150, 431, 149, 445, 150, 436, 149, 432, 150, 462, 150, 432, 
305, 149, 430, 150, 444, 149, 437, 149, 432, 150, 462, 150, 432, 
310, 150, 430, 149, 443, 149, 438, 149, 430, 150, 463, 150, 431, 
315, 150, 430, 149, 441, 150, 437, 150, 432, 150, 463, 150, 430, 
320, 150, 430, 149, 444, 149, 437, 150, 431, 150, 462, 150, 430, 
325, 150, 430, 149, 444, 150, 438, 150, 431, 150, 462, 150, 429, 
330, 150, 430, 149, 444, 150, 437, 149, 429, 150, 462, 149, 429, 
