t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 449, 149, 451, 149, 448, 149, 448, 150, 472, 149, 461, 
10, 150, 447, 149, 452, 149, 449, 150, 447, 150, 473, 150, 461, 
15, 150, 447, 150, 452, 150, 448, 149, 447, 150, 471, 150, 462, 
20, 150, 449, 150, 452, 150, 449, 150, 444, 150, 470, 149, 461, 
25, 150, 450, 150, 451, 150, 449, 150, 447, 149, 471, 150, 460, 
30, 150, 451, 150, 449, 150, 449, 150, 449, 149, 470, 150, 460, 
35, 150, 453, 149, 449, 150, 448, 149, 446, 149, 471, 150, 460, 
40, 150, 452, 150, 447, 150, 445, 150, 445, 150, 468, 149, 460, 
45, 149, 451, 150, 448, 149, 445, 149, 445, 149, 470, 150, 458, 
50, 149, 453, 149, 445, 150, 446, 150, 445, 150, 469, 149, 458, 
55, 150, 449, 149, 445, 150, 445, 149, 442, 149, 467, 150, 458, 
60, 150, 442, 149, 445, 150, 445, 150, 441, 150, 467, 150, 456, 
65, 150, 437, 149, 444, 149, 443, 150, 441, 149, 467, 150, 454, 
70, 150, 434, 150, 447, 150, 445, 149, 441, 150, 467, 149, 452, 
75, 150, 433, 150, 444, 150, 445, 149, 440, 150, 466, 150, 449, 
80, 150, 430, 149, 443, 149, 441, 150, 441, 149, 465, 149, 449, 
85, 150, 429, 150, 445, 149, 441, 150, 441, 150, 464, 150, 450, 
90, 150, 428, 150, 442, 150, 440, 150, 443, 149, 462, 150, 448, 
95, 150, 428, 149, 441, 150, 439, 150, 443, 150, 463, 149, 448, 
100, 150, 428, 149, 439, 150, 437, 150, 439, 149, 462, 149, 450, 
105, 149, 428, 149, 441, 149, 437, 150, 443, 150, 461, 150, 449, 
110, 149, 429, 149, 440, 149, 437, 149, 440, 149, 460, 150, 447, 
115, 150, 430, 149, 439, 149, 435, 150, 441, 150, 460, 150, 447, 
120, 150, 431, 149, 439, 150, 435, 149, 440, 150, 460, 149, 447, 
125, 150, 431, 150, 438, 149, 434, 150, 440, 149, 459, 150, 445, 
130, 150, 431, 149, 437, 150, 432, 149, 439, 150, 459, 150, 446, 
135, 150, 431, 150, 438, 150, 433, 150, 439, 150, 458, 150, 443, 
140, 150, 431, 149, 438, 150, 429, 149, 438, 150, 456, 150, 444, 
145, 150, 432, 149, 439, 150, 431, 149, 436, 150, 457, 150, 444, 
150, 150, 434, 149, 437, 150, 431, 149, 437, 149, 456, 150, 444, 
155, 150, 433, 149, 437, 149, 431, 149, 436, 149, 455, 149, 442, 
160, 150, 434, 150, 436, 149, 429, 149, 435, 149, 454, 149, 441, 
165, 150, 434, 149, 437, 150, 430, 149, 435, 150, 455, 149, 442, 
170, 150, 434, 150, 437, 149, 430, 149, 434, 150, 456, 149, 439, 
175, 150, 434, 149, 436, 150, 429, 150, 434, 149, 453, 149, 440, 
180, 150, 432, 150, 433, 150, 429, 149, 431, 150, 453, 150, 440, 
185, 150, 433, 149, 436, 150, 429, 150, 431, 150, 453, 149, 439, 
190, 150, 432, 150, 437, 150, 428, 150, 431, 150, 452, 150, 438, 
195, 149, 433, 150, 437, 150, 428, 149, 428, 149, 452, 150, 439, 
200, 150, 432, 149, 438, 150, 429, 150, 429, 150, 451, 150, 439, 
205, 150, 434, 150, 436, 150, 429, 149, 429, 150, 450, 149, 436, 
210, 150, 432, 149, 435, 150, 428, 150, 429, 150, 450, 150, 437, 
215, 150, 432, 149, 435, 150, 429, 149, 427, 150, 449, 149, 436, 
220, 150, 433, 149, 436, 149, 428, 150, 427, 149, 447, 150, 434, 
225, 150, 434, 149, 435, 150, 428, 150, 427, 150, 447, 150, 436, 
230, 150, 432, 149, 436, 150, 429, 150, 424, 150, 447, 149, 435, 
235, 150, 432, 149, 435, 150, 429, 150, 424, 149, 446, 150, 433, 
240, 150, 431, 149, 434, 150, 427, 150, 427, 150, 445, 149, 434, 
245, 150, 431, 149, 434, 150, 427, 150, 423, 150, 444, 150, 433, 
250, 150, 432, 149, 433, 150, 428, 150, 424, 150, 444, 150, 432, 
255, 150, 431, 149, 433, 149, 428, 150, 422, 150, 443, 150, 431, 
260, 149, 432, 149, 432, 150, 427, 150, 422, 150, 440, 150, 432, 
265, 150, 431, 149, 433, 149, 428, 149, 420, 150, 439, 149, 431, 
270, 150, 430, 149, 433, 150, 428, 149, 419, 149, 438, 150, 430, 
275, 149, 430, 150, 433, 150, 427, 149, 419, 149, 436, 150, 432, 
280, 150, 431, 149, 430, 149, 429, 149, 417, 150, 435, 150, 431, 
285, 150, 430, 149, 431, 150, 428, 150, 421, 150, 434, 149, 429, 
290, 150, 429, 149, 431, 149, 427, 149, 418, 150, 433, 149, 430, 
295, 150, 429, 150, 430, 150, 427, 150, 416, 149, 431, 150, 430, 
300, 150, 429, 149, 430, 150, 427, 150, 416, 150, 432, 150, 429, 
305, 150, 429, 149, 428, 149, 427, 150, 418, 150, 432, 150, 428, 
310, 150, 428, 149, 428, 150, 425, 149, 414, 149, 427, 150, 429, 
315, 150, 427, 150, 428, 149, 426, 149, 412, 149, 427, 149, 427, 
320, 150, 427, 149, 427, 150, 427, 149, 414, 150, 426, 150, 425, 
325, 150, 427, 149, 425, 150, 426, 150, 415, 150, 423, 150, 428, 
330, 149, 426, 149, 425, 150, 426, 150, 411, 150, 422, 150, 427, 
