t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 446, 149, 444, 150, 439, 151, 437, 150, 453, 150, 434, 
10, 150, 446, 149, 445, 149, 440, 149, 433, 150, 454, 150, 438, 
15, 150, 445, 149, 444, 150, 438, 150, 434, 150, 454, 150, 434, 
20, 150, 445, 149, 444, 149, 437, 149, 430, 150, 453, 150, 434, 
25, 150, 445, 150, 445, 150, 440, 150, 431, 150, 453, 150, 434, 
30, 150, 444, 149, 443, 149, 439, 150, 432, 149, 451, 150, 432, 
35, 150, 443, 150, 444, 150, 439, 150, 432, 150, 453, 150, 435, 
40, 150, 443, 149, 443, 150, 438, 149, 432, 150, 452, 150, 434, 
45, 150, 444, 150, 443, 150, 437, 149, 433, 150, 449, 150, 433, 
50, 150, 443, 149, 442, 150, 438, 149, 431, 150, 450, 150, 435, 
55, 150, 439, 150, 438, 150, 435, 150, 428, 149, 446, 150, 430, 
60, 150, 436, 149, 437, 150, 429, 150, 424, 149, 443, 150, 427, 
65, 149, 434, 149, 433, 150, 428, 150, 421, 150, 440, 150, 423, 
70, 149, 431, 150, 430, 150, 425, 150, 415, 149, 436, 150, 419, 
75, 150, 429, 149, 430, 150, 425, 150, 416, 149, 436, 149, 419, 
80, 150, 429, 150, 428, 150, 422, 149, 418, 150, 435, 150, 417, 
85, 150, 428, 149, 428, 150, 423, 150, 417, 149, 436, 150, 418, 
90, 149, 427, 149, 428, 150, 423, 149, 415, 150, 434, 150, 418, 
95, 150, 425, 150, 428, 149, 420, 150, 417, 150, 435, 150, 417, 
100, 149, 424, 149, 427, 149, 419, 150, 416, 150, 434, 150, 417, 
105, 150, 422, 150, 427, 150, 419, 150, 413, 149, 432, 150, 416, 
110, 150, 421, 149, 426, 149, 416, 150, 413, 150, 430, 150, 418, 
115, 150, 419, 149, 425, 150, 414, 149, 412, 150, 428, 150, 414, 
120, 150, 418, 150, 423, 150, 413, 149, 409, 149, 427, 150, 416, 
125, 150, 418, 149, 421, 149, 411, 149, 409, 150, 426, 150, 414, 
130, 150, 417, 149, 420, 150, 409, 149, 409, 150, 424, 150, 413, 
135, 150, 417, 149, 418, 150, 410, 150, 408, 149, 422, 149, 412, 
140, 149, 417, 149, 419, 150, 409, 150, 409, 150, 422, 150, 412, 
145, 150, 418, 149, 418, 150, 409, 150, 408, 150, 421, 150, 412, 
150, 149, 418, 149, 416, 149, 409, 149, 407, 149, 419, 150, 410, 
155, 150, 417, 150, 418, 150, 409, 149, 405, 150, 420, 150, 409, 
160, 149, 417, 149, 417, 150, 409, 150, 408, 150, 420, 150, 410, 
165, 150, 417, 149, 418, 150, 408, 149, 407, 150, 419, 150, 410, 
170, 150, 417, 150, 418, 150, 408, 149, 407, 149, 420, 150, 411, 
175, 149, 416, 149, 418, 150, 409, 150, 408, 150, 421, 150, 411, 
180, 150, 417, 150, 419, 150, 408, 150, 409, 150, 420, 150, 408, 
185, 150, 416, 150, 419, 150, 409, 150, 408, 149, 420, 150, 410, 
190, 150, 418, 149, 419, 149, 410, 149, 408, 150, 422, 150, 410, 
195, 150, 419, 150, 419, 150, 411, 150, 409, 150, 421, 150, 410, 
200, 150, 419, 149, 419, 149, 411, 149, 408, 150, 422, 150, 409, 
205, 150, 420, 150, 420, 150, 412, 150, 406, 149, 422, 150, 410, 
210, 150, 420, 149, 419, 150, 412, 150, 408, 149, 422, 150, 410, 
215, 150, 421, 149, 419, 150, 412, 149, 408, 150, 424, 150, 409, 
220, 150, 421, 150, 420, 150, 414, 151, 409, 150, 425, 150, 410, 
225, 150, 420, 149, 419, 149, 413, 150, 410, 150, 424, 149, 410, 
230, 150, 421, 150, 419, 150, 412, 150, 409, 150, 425, 150, 408, 
235, 150, 421, 149, 418, 150, 413, 150, 407, 149, 424, 150, 410, 
240, 150, 422, 149, 418, 150, 414, 150, 410, 150, 425, 150, 410, 
245, 150, 422, 150, 419, 150, 413, 150, 409, 150, 425, 150, 408, 
250, 150, 422, 149, 418, 150, 413, 149, 407, 150, 424, 150, 408, 
255, 150, 422, 150, 419, 150, 414, 149, 407, 150, 426, 150, 409, 
260, 150, 422, 149, 418, 150, 414, 149, 408, 150, 425, 150, 410, 
265, 150, 422, 150, 418, 150, 414, 150, 408, 150, 424, 150, 408, 
270, 150, 421, 150, 417, 149, 414, 150, 405, 149, 425, 150, 410, 
275, 150, 422, 150, 417, 149, 413, 150, 406, 150, 426, 149, 409, 
280, 150, 422, 149, 417, 150, 412, 149, 407, 149, 425, 150, 407, 
285, 150, 422, 149, 416, 150, 414, 150, 408, 149, 425, 150, 410, 
290, 150, 421, 149, 417, 150, 413, 149, 406, 150, 425, 149, 410, 
295, 150, 422, 149, 416, 150, 413, 150, 408, 150, 425, 150, 410, 
300, 150, 421, 149, 415, 149, 413, 150, 408, 150, 424, 150, 409, 
305, 150, 422, 149, 415, 150, 414, 149, 406, 150, 424, 150, 409, 
310, 150, 422, 149, 415, 150, 413, 150, 406, 149, 424, 150, 409, 
315, 150, 421, 149, 414, 149, 412, 149, 406, 150, 424, 149, 407, 
320, 150, 422, 149, 415, 150, 413, 150, 405, 150, 424, 150, 411, 
325, 150, 421, 149, 415, 149, 413, 149, 407, 149, 424, 149, 408, 
330, 149, 421, 149, 414, 150, 411, 150, 409, 150, 425, 150, 407, 
