t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 463, 149, 459, 150, 453, 150, 450, 149, 475, 150, 464, 
10, 150, 469, 149, 463, 149, 457, 150, 456, 149, 481, 150, 467, 
15, 150, 471, 149, 465, 150, 459, 150, 461, 150, 484, 150, 472, 
20, 150, 471, 150, 466, 150, 462, 149, 460, 150, 485, 149, 471, 
25, 150, 472, 149, 469, 150, 463, 150, 462, 149, 486, 149, 474, 
30, 150, 472, 149, 468, 149, 465, 149, 463, 150, 488, 150, 476, 
35, 150, 474, 150, 471, 149, 465, 149, 463, 150, 487, 150, 474, 
40, 150, 473, 149, 470, 150, 463, 150, 466, 149, 487, 150, 477, 
45, 150, 472, 149, 471, 150, 463, 149, 463, 150, 487, 149, 476, 
50, 150, 471, 149, 469, 150, 461, 149, 462, 150, 486, 150, 475, 
55, 150, 466, 149, 466, 150, 457, 150, 458, 149, 483, 149, 471, 
60, 150, 460, 149, 460, 149, 451, 149, 453, 150, 476, 150, 465, 
65, 150, 454, 149, 456, 150, 450, 150, 450, 150, 473, 149, 462, 
70, 150, 451, 150, 453, 149, 448, 151, 450, 150, 472, 150, 460, 
75, 150, 449, 149, 451, 150, 446, 150, 445, 150, 470, 150, 461, 
80, 150, 448, 150, 450, 150, 447, 150, 443, 149, 467, 150, 460, 
85, 150, 446, 150, 448, 149, 445, 149, 437, 150, 468, 150, 457, 
90, 150, 445, 149, 446, 150, 444, 150, 439, 149, 467, 150, 455, 
95, 150, 444, 150, 444, 150, 444, 149, 435, 150, 466, 149, 453, 
100, 150, 443, 149, 443, 150, 443, 150, 433, 149, 465, 150, 453, 
105, 150, 442, 150, 442, 149, 442, 150, 434, 149, 464, 149, 450, 
110, 150, 441, 149, 440, 150, 440, 150, 434, 149, 464, 150, 448, 
115, 150, 441, 149, 440, 150, 442, 150, 434, 150, 463, 150, 447, 
120, 150, 440, 150, 437, 150, 440, 149, 431, 150, 462, 150, 444, 
125, 150, 440, 149, 438, 150, 439, 150, 433, 150, 460, 150, 444, 
130, 150, 439, 150, 438, 149, 440, 150, 432, 149, 460, 149, 444, 
135, 150, 439, 149, 437, 149, 437, 149, 431, 149, 459, 150, 443, 
140, 150, 439, 150, 438, 150, 436, 149, 431, 150, 458, 150, 441, 
145, 150, 438, 149, 438, 149, 436, 149, 431, 149, 458, 150, 441, 
150, 150, 438, 149, 439, 150, 436, 150, 430, 150, 459, 150, 441, 
155, 150, 438, 150, 439, 150, 436, 149, 432, 150, 459, 150, 440, 
160, 149, 438, 149, 440, 150, 435, 149, 433, 150, 458, 150, 442, 
165, 149, 435, 149, 440, 150, 436, 150, 433, 150, 457, 150, 441, 
170, 150, 436, 150, 439, 150, 435, 150, 432, 149, 458, 150, 440, 
175, 150, 437, 149, 438, 150, 434, 149, 433, 150, 456, 150, 440, 
180, 149, 437, 150, 438, 150, 436, 149, 433, 150, 456, 149, 440, 
185, 150, 438, 149, 439, 149, 436, 150, 431, 150, 456, 150, 441, 
190, 150, 439, 150, 438, 150, 435, 150, 433, 149, 456, 149, 441, 
195, 149, 440, 149, 438, 150, 436, 150, 432, 150, 454, 150, 442, 
200, 149, 440, 149, 437, 150, 436, 150, 430, 149, 455, 150, 441, 
205, 149, 441, 149, 437, 150, 436, 150, 432, 150, 457, 149, 441, 
210, 149, 441, 149, 438, 149, 434, 149, 431, 150, 457, 150, 442, 
215, 150, 442, 150, 438, 150, 436, 149, 430, 150, 457, 149, 439, 
220, 150, 441, 150, 435, 149, 434, 149, 431, 150, 455, 150, 441, 
225, 149, 441, 149, 435, 150, 432, 150, 432, 149, 456, 150, 440, 
230, 150, 442, 150, 435, 150, 434, 149, 431, 150, 455, 149, 442, 
235, 150, 442, 149, 435, 150, 434, 149, 429, 150, 456, 150, 440, 
240, 150, 443, 149, 435, 150, 433, 150, 430, 150, 455, 149, 442, 
245, 150, 443, 150, 434, 150, 434, 149, 429, 149, 454, 149, 442, 
250, 150, 443, 149, 433, 150, 434, 149, 428, 150, 455, 150, 441, 
255, 150, 442, 149, 432, 150, 434, 149, 429, 150, 454, 149, 440, 
260, 150, 442, 149, 432, 149, 432, 150, 430, 149, 452, 149, 441, 
265, 150, 442, 149, 432, 150, 433, 150, 428, 150, 452, 150, 440, 
270, 150, 443, 149, 430, 149, 431, 150, 429, 150, 452, 149, 439, 
275, 150, 442, 149, 430, 150, 430, 149, 428, 149, 450, 150, 440, 
280, 150, 443, 150, 429, 150, 432, 149, 427, 149, 447, 150, 439, 
285, 149, 443, 149, 429, 150, 433, 149, 426, 150, 449, 150, 438, 
290, 150, 443, 150, 429, 150, 430, 150, 427, 150, 449, 149, 439, 
295, 150, 442, 149, 428, 149, 431, 149, 426, 150, 447, 150, 439, 
300, 150, 442, 149, 428, 150, 431, 149, 424, 150, 447, 150, 438, 
305, 150, 442, 149, 426, 150, 430, 149, 425, 150, 447, 150, 437, 
310, 150, 441, 150, 426, 149, 429, 150, 424, 150, 445, 150, 438, 
315, 150, 441, 150, 425, 150, 429, 150, 423, 150, 444, 150, 438, 
320, 150, 441, 149, 424, 150, 427, 150, 423, 149, 443, 149, 437, 
325, 149, 440, 149, 425, 149, 430, 149, 421, 149, 442, 149, 437, 
330, 150, 439, 149, 424, 150, 428, 150, 421, 150, 443, 150, 437, 
