t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 460, 149, 452, 149, 445, 149, 450, 150, 476, 150, 463, 
10, 150, 465, 150, 457, 150, 451, 150, 458, 149, 482, 149, 468, 
15, 150, 467, 149, 459, 150, 457, 149, 460, 150, 487, 150, 473, 
20, 149, 467, 149, 462, 150, 458, 149, 462, 150, 490, 149, 475, 
25, 149, 469, 150, 465, 150, 462, 149, 464, 150, 490, 150, 474, 
30, 149, 470, 149, 467, 149, 462, 149, 462, 150, 492, 150, 475, 
35, 149, 469, 150, 463, 150, 460, 150, 463, 149, 491, 150, 475, 
40, 150, 470, 149, 461, 150, 460, 150, 461, 149, 490, 150, 476, 
45, 150, 464, 149, 460, 149, 457, 149, 457, 149, 486, 149, 471, 
50, 150, 461, 149, 459, 150, 455, 149, 455, 149, 484, 150, 467, 
55, 150, 456, 149, 457, 149, 452, 150, 454, 150, 480, 149, 469, 
60, 150, 457, 149, 455, 150, 452, 149, 454, 150, 479, 150, 467, 
65, 150, 455, 149, 457, 150, 451, 149, 451, 150, 478, 149, 467, 
70, 150, 454, 149, 454, 150, 448, 149, 452, 149, 476, 150, 464, 
75, 150, 448, 150, 455, 150, 447, 149, 451, 150, 475, 150, 464, 
80, 150, 447, 149, 451, 150, 447, 149, 448, 149, 475, 150, 464, 
85, 150, 446, 149, 452, 150, 445, 150, 446, 149, 474, 149, 463, 
90, 150, 445, 150, 448, 149, 444, 149, 446, 150, 474, 150, 460, 
95, 150, 445, 149, 448, 149, 441, 150, 446, 149, 472, 149, 460, 
100, 149, 447, 149, 446, 149, 442, 149, 445, 150, 471, 150, 459, 
105, 149, 447, 149, 447, 149, 442, 150, 443, 150, 470, 150, 457, 
110, 149, 447, 150, 446, 150, 440, 149, 446, 150, 472, 150, 455, 
115, 150, 446, 149, 445, 149, 441, 149, 445, 150, 470, 150, 456, 
120, 150, 446, 150, 443, 150, 439, 150, 445, 149, 470, 150, 454, 
125, 149, 444, 149, 444, 150, 441, 150, 445, 150, 469, 150, 456, 
130, 150, 442, 149, 447, 150, 440, 150, 444, 149, 469, 150, 456, 
135, 149, 440, 150, 446, 150, 438, 149, 445, 150, 470, 150, 457, 
140, 150, 441, 149, 444, 150, 437, 149, 446, 149, 470, 149, 458, 
145, 150, 442, 149, 444, 150, 438, 150, 447, 149, 469, 150, 458, 
150, 150, 443, 149, 445, 149, 437, 149, 446, 149, 468, 150, 457, 
155, 150, 445, 150, 446, 150, 437, 149, 449, 149, 467, 150, 460, 
160, 149, 445, 150, 447, 150, 439, 150, 449, 150, 466, 150, 459, 
165, 150, 446, 149, 446, 149, 438, 150, 447, 149, 467, 149, 459, 
170, 150, 446, 150, 444, 150, 438, 150, 449, 150, 466, 150, 456, 
175, 149, 447, 150, 443, 150, 440, 149, 448, 150, 465, 150, 457, 
180, 150, 447, 149, 443, 149, 440, 150, 448, 149, 464, 150, 455, 
185, 150, 447, 150, 441, 150, 439, 149, 449, 150, 465, 149, 454, 
190, 150, 446, 149, 442, 150, 439, 149, 450, 150, 464, 150, 455, 
195, 150, 446, 150, 441, 149, 440, 149, 449, 150, 461, 149, 453, 
200, 150, 447, 149, 443, 149, 440, 149, 448, 150, 462, 149, 451, 
205, 150, 448, 149, 438, 149, 440, 150, 448, 150, 460, 149, 451, 
210, 150, 445, 150, 440, 149, 440, 149, 447, 150, 459, 150, 451, 
215, 150, 447, 149, 440, 150, 441, 149, 446, 150, 459, 150, 450, 
220, 150, 445, 149, 439, 150, 438, 149, 447, 150, 460, 150, 448, 
225, 150, 447, 149, 439, 150, 440, 149, 447, 150, 458, 150, 449, 
230, 150, 445, 150, 438, 150, 440, 150, 446, 150, 457, 149, 447, 
235, 150, 445, 150, 439, 150, 440, 149, 445, 150, 457, 149, 446, 
240, 150, 444, 149, 438, 149, 438, 150, 447, 150, 457, 150, 446, 
245, 150, 443, 150, 438, 150, 440, 150, 446, 150, 454, 150, 447, 
250, 150, 443, 149, 438, 149, 440, 150, 443, 150, 456, 150, 446, 
255, 150, 440, 149, 434, 150, 437, 150, 445, 149, 454, 149, 446, 
260, 150, 440, 150, 436, 149, 439, 149, 442, 150, 453, 150, 445, 
265, 150, 439, 149, 435, 149, 439, 149, 441, 149, 452, 150, 443, 
270, 150, 439, 149, 433, 150, 438, 149, 441, 149, 452, 149, 441, 
275, 150, 439, 149, 431, 149, 439, 149, 441, 150, 451, 150, 441, 
280, 149, 437, 149, 433, 149, 439, 150, 439, 149, 449, 149, 442, 
285, 150, 436, 149, 433, 150, 438, 149, 439, 150, 449, 150, 439, 
290, 150, 435, 149, 430, 149, 438, 149, 439, 150, 448, 150, 440, 
295, 150, 434, 149, 430, 150, 439, 150, 439, 150, 446, 149, 440, 
300, 150, 432, 149, 430, 149, 437, 149, 436, 150, 446, 150, 439, 
305, 150, 431, 149, 428, 150, 435, 150, 436, 149, 445, 150, 437, 
310, 150, 430, 149, 426, 149, 437, 149, 435, 150, 444, 150, 437, 
315, 150, 429, 149, 427, 149, 436, 149, 432, 150, 445, 150, 436, 
320, 150, 428, 150, 425, 150, 436, 150, 434, 149, 444, 149, 434, 
325, 150, 426, 149, 424, 149, 436, 149, 433, 150, 442, 150, 434, 
330, 149, 424, 149, 424, 150, 436, 149, 431, 149, 441, 149, 432, 
