t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 484, 149, 477, 150, 469, 149, 466, 150, 492, 150, 492, 
10, 150, 489, 150, 487, 150, 473, 149, 472, 149, 498, 150, 497, 
15, 150, 493, 149, 490, 150, 478, 149, 476, 150, 502, 149, 502, 
20, 150, 495, 149, 492, 149, 480, 149, 477, 150, 503, 149, 502, 
25, 150, 490, 150, 492, 150, 480, 149, 479, 150, 505, 150, 503, 
30, 150, 490, 149, 494, 149, 482, 149, 479, 150, 505, 149, 501, 
35, 150, 490, 149, 497, 149, 481, 149, 480, 150, 505, 150, 502, 
40, 150, 494, 149, 496, 150, 483, 150, 480, 150, 503, 150, 506, 
45, 150, 485, 150, 492, 150, 480, 150, 476, 149, 500, 149, 499, 
50, 150, 480, 149, 489, 149, 474, 150, 473, 150, 497, 150, 496, 
55, 150, 474, 149, 482, 149, 468, 149, 468, 149, 489, 150, 489, 
60, 150, 468, 149, 479, 150, 461, 149, 462, 150, 487, 150, 486, 
65, 150, 465, 149, 473, 150, 458, 149, 458, 150, 483, 150, 481, 
70, 150, 462, 150, 472, 149, 456, 150, 459, 150, 480, 149, 481, 
75, 150, 462, 149, 470, 150, 454, 149, 457, 149, 482, 150, 479, 
80, 150, 460, 149, 468, 150, 452, 149, 454, 150, 482, 149, 479, 
85, 150, 459, 150, 467, 150, 453, 150, 453, 150, 480, 150, 477, 
90, 150, 458, 149, 465, 150, 451, 149, 451, 150, 479, 150, 476, 
95, 149, 457, 150, 467, 150, 450, 151, 453, 149, 478, 150, 474, 
100, 150, 457, 149, 463, 150, 451, 150, 449, 150, 476, 150, 470, 
105, 150, 456, 149, 463, 150, 451, 150, 450, 150, 475, 149, 469, 
110, 150, 456, 149, 463, 150, 449, 149, 449, 150, 475, 149, 467, 
115, 150, 455, 149, 463, 149, 448, 149, 448, 149, 473, 150, 466, 
120, 150, 456, 149, 461, 150, 450, 150, 449, 150, 471, 149, 467, 
125, 149, 457, 150, 462, 150, 449, 149, 448, 150, 473, 149, 466, 
130, 150, 458, 149, 462, 150, 448, 150, 446, 149, 472, 150, 467, 
135, 150, 458, 149, 462, 149, 449, 149, 448, 149, 472, 150, 464, 
140, 150, 460, 149, 461, 150, 449, 149, 448, 149, 469, 150, 466, 
145, 150, 459, 150, 464, 150, 448, 150, 448, 149, 470, 150, 465, 
150, 150, 460, 149, 465, 149, 449, 149, 446, 149, 469, 149, 462, 
155, 150, 460, 149, 461, 150, 450, 150, 449, 150, 468, 150, 464, 
160, 150, 461, 150, 463, 150, 449, 149, 446, 150, 467, 149, 463, 
165, 150, 463, 150, 463, 150, 450, 150, 445, 149, 467, 150, 462, 
170, 149, 463, 149, 463, 149, 450, 150, 446, 149, 467, 150, 462, 
175, 150, 463, 150, 463, 149, 449, 149, 444, 150, 467, 150, 466, 
180, 149, 463, 150, 464, 150, 450, 150, 442, 150, 467, 150, 468, 
185, 150, 463, 149, 464, 149, 450, 150, 443, 149, 467, 149, 465, 
190, 150, 463, 149, 463, 150, 450, 150, 443, 149, 465, 150, 465, 
195, 150, 464, 150, 464, 150, 449, 150, 441, 150, 467, 149, 465, 
200, 150, 465, 149, 463, 150, 449, 149, 440, 150, 466, 149, 459, 
205, 150, 465, 149, 463, 150, 450, 150, 441, 150, 463, 149, 458, 
210, 150, 466, 150, 463, 149, 448, 150, 439, 149, 463, 150, 457, 
215, 150, 466, 149, 462, 150, 450, 149, 436, 150, 462, 149, 456, 
220, 150, 466, 149, 462, 150, 449, 150, 438, 150, 461, 150, 457, 
225, 149, 466, 150, 461, 150, 448, 149, 437, 149, 460, 150, 457, 
230, 150, 466, 149, 462, 149, 447, 149, 436, 150, 459, 149, 456, 
235, 149, 466, 149, 462, 149, 448, 149, 436, 149, 458, 150, 454, 
240, 150, 466, 149, 460, 150, 447, 149, 435, 150, 455, 149, 453, 
245, 150, 466, 150, 460, 150, 445, 149, 434, 149, 454, 150, 453, 
250, 150, 466, 149, 460, 150, 446, 149, 430, 149, 454, 149, 450, 
255, 150, 466, 149, 459, 150, 446, 150, 433, 149, 452, 150, 451, 
260, 149, 464, 149, 458, 149, 444, 149, 431, 150, 450, 150, 450, 
265, 150, 464, 149, 459, 150, 444, 149, 430, 150, 450, 150, 447, 
270, 150, 463, 150, 458, 149, 444, 149, 430, 150, 448, 150, 448, 
275, 149, 462, 150, 458, 150, 444, 149, 430, 150, 447, 149, 446, 
280, 149, 461, 150, 458, 150, 442, 149, 428, 150, 446, 150, 445, 
285, 150, 462, 150, 457, 150, 444, 150, 430, 150, 444, 150, 444, 
290, 150, 458, 150, 457, 149, 441, 150, 429, 150, 442, 149, 442, 
295, 150, 458, 149, 456, 150, 440, 150, 429, 150, 443, 149, 441, 
300, 150, 457, 149, 456, 150, 441, 150, 426, 150, 442, 149, 439, 
305, 150, 458, 149, 455, 150, 439, 150, 428, 149, 439, 150, 438, 
310, 150, 456, 150, 454, 150, 437, 150, 426, 150, 438, 149, 438, 
315, 150, 455, 149, 454, 150, 438, 149, 425, 149, 437, 150, 435, 
320, 150, 454, 150, 453, 150, 438, 150, 428, 150, 437, 149, 436, 
325, 150, 452, 149, 451, 150, 438, 149, 427, 150, 438, 149, 434, 
330, 150, 451, 149, 451, 150, 435, 150, 424, 150, 436, 149, 434, 
