t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 450, 150, 454, 150, 435, 150, 435, 150, 460, 150, 449, 
10, 149, 450, 149, 454, 150, 435, 150, 436, 149, 460, 150, 449, 
15, 150, 449, 150, 455, 150, 435, 150, 436, 150, 459, 150, 447, 
20, 150, 449, 149, 454, 149, 434, 150, 436, 150, 458, 149, 448, 
25, 150, 449, 149, 453, 150, 434, 150, 436, 150, 459, 150, 448, 
30, 150, 450, 149, 453, 149, 434, 149, 434, 149, 458, 149, 448, 
35, 150, 446, 149, 452, 150, 431, 149, 433, 150, 457, 150, 446, 
40, 149, 445, 150, 450, 149, 431, 150, 431, 150, 456, 150, 446, 
45, 150, 443, 149, 447, 149, 430, 149, 429, 149, 454, 150, 442, 
50, 150, 440, 150, 445, 149, 429, 149, 429, 150, 452, 150, 439, 
55, 150, 438, 150, 443, 150, 427, 149, 428, 149, 450, 150, 438, 
60, 150, 436, 149, 440, 149, 427, 149, 425, 149, 450, 150, 439, 
65, 150, 434, 149, 441, 150, 425, 150, 427, 149, 450, 150, 436, 
70, 150, 433, 149, 441, 150, 424, 149, 426, 150, 448, 150, 440, 
75, 150, 432, 150, 440, 150, 424, 150, 424, 149, 447, 150, 439, 
80, 150, 431, 149, 439, 150, 422, 149, 425, 150, 448, 150, 436, 
85, 150, 430, 149, 439, 150, 420, 150, 425, 149, 447, 149, 436, 
90, 149, 428, 149, 439, 149, 420, 150, 422, 150, 447, 150, 435, 
95, 150, 427, 150, 437, 150, 417, 150, 421, 150, 444, 150, 432, 
100, 149, 425, 149, 436, 150, 417, 150, 421, 150, 443, 150, 434, 
105, 150, 425, 150, 436, 150, 416, 150, 417, 150, 441, 150, 432, 
110, 150, 425, 149, 434, 150, 415, 150, 418, 150, 439, 149, 430, 
115, 150, 425, 149, 436, 150, 412, 150, 417, 150, 437, 150, 428, 
120, 150, 425, 150, 435, 150, 414, 150, 417, 150, 436, 150, 428, 
125, 150, 426, 149, 436, 149, 412, 150, 416, 149, 436, 149, 428, 
130, 150, 427, 150, 438, 150, 412, 150, 417, 150, 437, 150, 425, 
135, 150, 427, 149, 439, 149, 412, 150, 418, 149, 437, 150, 425, 
140, 150, 428, 149, 438, 150, 413, 150, 416, 150, 438, 150, 426, 
145, 150, 429, 150, 439, 150, 412, 150, 419, 149, 439, 150, 422, 
150, 150, 430, 149, 438, 150, 412, 150, 420, 150, 441, 149, 425, 
155, 149, 430, 149, 440, 150, 413, 150, 417, 150, 441, 150, 425, 
160, 150, 431, 149, 439, 150, 413, 150, 421, 150, 444, 149, 424, 
165, 150, 432, 149, 439, 150, 410, 149, 420, 149, 441, 149, 425, 
170, 150, 432, 150, 440, 150, 413, 150, 421, 150, 444, 150, 424, 
175, 150, 433, 150, 440, 149, 412, 149, 420, 150, 443, 150, 424, 
180, 150, 433, 150, 440, 149, 411, 149, 421, 150, 444, 150, 422, 
185, 150, 434, 149, 441, 149, 412, 150, 422, 149, 443, 150, 425, 
190, 149, 434, 149, 440, 150, 413, 150, 421, 150, 446, 149, 424, 
195, 149, 434, 150, 439, 149, 413, 150, 422, 150, 444, 150, 423, 
200, 150, 435, 149, 438, 149, 412, 149, 422, 150, 443, 150, 425, 
205, 149, 435, 149, 439, 150, 413, 149, 421, 150, 445, 149, 425, 
210, 150, 435, 149, 438, 150, 413, 149, 422, 150, 445, 150, 423, 
215, 150, 436, 149, 439, 150, 412, 150, 423, 149, 444, 149, 423, 
220, 150, 435, 150, 439, 150, 413, 149, 423, 150, 446, 150, 425, 
225, 150, 435, 149, 438, 149, 413, 149, 421, 149, 444, 150, 425, 
230, 150, 436, 149, 438, 150, 412, 150, 423, 150, 445, 149, 421, 
235, 150, 436, 149, 439, 149, 411, 149, 423, 149, 445, 150, 424, 
240, 149, 435, 149, 438, 149, 411, 150, 421, 150, 445, 150, 425, 
245, 150, 436, 149, 436, 149, 412, 149, 422, 149, 446, 150, 422, 
250, 150, 436, 149, 437, 149, 412, 149, 422, 149, 445, 150, 424, 
255, 150, 436, 150, 437, 150, 413, 150, 422, 150, 446, 149, 424, 
260, 150, 436, 149, 436, 149, 412, 150, 423, 149, 445, 150, 424, 
265, 150, 435, 149, 436, 150, 411, 150, 423, 150, 445, 150, 424, 
270, 150, 437, 150, 436, 150, 413, 150, 422, 150, 445, 150, 423, 
275, 150, 436, 149, 436, 149, 413, 149, 422, 150, 446, 150, 425, 
280, 150, 437, 149, 436, 150, 412, 150, 423, 150, 445, 150, 422, 
285, 150, 438, 149, 437, 150, 412, 150, 422, 149, 445, 150, 423, 
290, 150, 437, 149, 436, 150, 413, 150, 420, 150, 446, 149, 422, 
295, 150, 437, 150, 436, 150, 414, 150, 422, 150, 446, 150, 422, 
300, 150, 437, 149, 436, 150, 414, 150, 422, 149, 445, 149, 421, 
305, 150, 435, 149, 435, 149, 413, 150, 421, 150, 446, 150, 423, 
310, 150, 435, 149, 435, 149, 414, 149, 420, 150, 446, 150, 422, 
315, 150, 437, 149, 434, 150, 414, 150, 422, 149, 444, 150, 422, 
320, 150, 437, 149, 434, 150, 413, 149, 420, 149, 443, 150, 423, 
325, 150, 436, 149, 434, 150, 415, 150, 420, 149, 444, 149, 422, 
330, 150, 436, 149, 433, 150, 415, 150, 421, 149, 444, 150, 420, 
