t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 354, 150, 323, 150, 392, 150, 397, 150, 380, 149, 340, 
10, 149, 363, 150, 355, 150, 395, 149, 395, 149, 386, 150, 343, 
15, 150, 357, 149, 359, 149, 394, 150, 394, 150, 386, 150, 343, 
20, 150, 357, 149, 365, 150, 393, 150, 391, 149, 390, 150, 341, 
25, 150, 358, 149, 364, 150, 390, 150, 390, 150, 391, 150, 345, 
30, 150, 360, 149, 363, 150, 391, 150, 389, 149, 390, 149, 345, 
35, 150, 361, 149, 354, 150, 392, 151, 390, 149, 390, 150, 344, 
40, 150, 344, 149, 361, 150, 367, 150, 366, 149, 380, 149, 333, 
45, 149, 295, 150, 331, 150, 323, 149, 334, 150, 353, 150, 296, 
50, 150, 272, 149, 295, 149, 278, 150, 284, 149, 307, 149, 259, 
55, 150, 230, 149, 250, 150, 226, 150, 236, 149, 253, 150, 219, 
60, 150, 210, 149, 238, 150, 204, 149, 219, 149, 232, 149, 202, 
65, 150, 198, 149, 236, 149, 199, 151, 209, 150, 222, 150, 191, 
70, 150, 193, 149, 238, 149, 200, 149, 200, 150, 217, 150, 190, 
75, 150, 193, 149, 239, 149, 201, 150, 196, 149, 213, 150, 196, 
80, 150, 194, 149, 238, 149, 202, 150, 195, 150, 212, 150, 203, 
85, 150, 196, 150, 239, 150, 203, 150, 197, 150, 210, 150, 208, 
90, 149, 197, 149, 238, 149, 201, 149, 194, 150, 209, 150, 210, 
95, 150, 198, 149, 237, 150, 201, 150, 194, 149, 217, 149, 210, 
100, 150, 199, 150, 233, 150, 201, 150, 197, 150, 218, 150, 208, 
105, 150, 199, 149, 232, 149, 199, 149, 197, 150, 221, 150, 208, 
110, 150, 198, 150, 229, 149, 199, 150, 195, 149, 221, 150, 208, 
115, 150, 197, 149, 226, 149, 199, 150, 197, 150, 224, 150, 207, 
120, 150, 197, 150, 224, 150, 196, 150, 196, 150, 223, 149, 206, 
125, 150, 197, 149, 222, 150, 197, 149, 195, 149, 224, 150, 206, 
130, 149, 196, 149, 222, 150, 197, 150, 194, 150, 224, 150, 207, 
135, 150, 196, 150, 219, 150, 196, 149, 193, 149, 223, 149, 205, 
140, 150, 196, 149, 221, 149, 195, 149, 195, 149, 223, 150, 206, 
145, 150, 195, 149, 219, 150, 196, 150, 192, 150, 222, 150, 208, 
150, 150, 195, 150, 217, 149, 195, 149, 194, 150, 221, 150, 206, 
155, 150, 195, 149, 218, 150, 195, 149, 192, 149, 221, 150, 207, 
160, 149, 195, 149, 218, 149, 196, 149, 193, 149, 222, 149, 206, 
165, 150, 193, 149, 217, 150, 196, 149, 192, 150, 221, 150, 205, 
170, 150, 194, 149, 217, 149, 194, 150, 193, 149, 221, 150, 204, 
175, 150, 194, 149, 217, 150, 194, 150, 193, 150, 220, 150, 205, 
180, 150, 194, 149, 215, 150, 196, 150, 191, 150, 221, 149, 203, 
185, 150, 193, 149, 214, 149, 193, 149, 192, 150, 217, 149, 202, 
190, 150, 193, 149, 215, 150, 195, 149, 192, 149, 219, 150, 203, 
195, 150, 193, 149, 214, 150, 194, 150, 192, 149, 219, 149, 203, 
200, 150, 193, 149, 211, 150, 194, 150, 193, 149, 219, 150, 200, 
205, 150, 192, 149, 212, 150, 193, 150, 192, 150, 218, 150, 201, 
210, 150, 191, 149, 212, 150, 193, 150, 193, 150, 219, 150, 201, 
215, 150, 191, 149, 212, 150, 194, 150, 191, 150, 218, 150, 201, 
220, 150, 190, 149, 211, 150, 193, 150, 192, 150, 219, 149, 199, 
225, 150, 190, 149, 211, 150, 192, 150, 192, 150, 218, 150, 200, 
230, 150, 190, 149, 211, 150, 193, 150, 192, 150, 217, 150, 199, 
235, 150, 189, 149, 210, 149, 192, 150, 192, 149, 217, 150, 198, 
240, 150, 188, 149, 211, 150, 191, 150, 193, 150, 217, 150, 198, 
245, 150, 188, 149, 209, 149, 191, 150, 194, 149, 217, 150, 198, 
250, 150, 188, 149, 210, 150, 190, 150, 192, 150, 217, 150, 198, 
255, 150, 187, 149, 210, 150, 189, 150, 193, 149, 217, 150, 197, 
260, 150, 186, 149, 209, 149, 188, 150, 192, 149, 217, 150, 197, 
265, 150, 186, 149, 209, 149, 189, 150, 191, 149, 216, 150, 197, 
270, 150, 185, 150, 209, 150, 188, 150, 192, 150, 217, 150, 197, 
275, 150, 185, 149, 210, 150, 185, 150, 193, 150, 216, 150, 197, 
280, 149, 184, 149, 208, 150, 187, 150, 193, 149, 216, 150, 199, 
285, 150, 184, 149, 207, 149, 185, 150, 193, 150, 215, 150, 195, 
290, 150, 183, 150, 208, 150, 185, 150, 193, 150, 216, 150, 197, 
295, 150, 184, 149, 206, 149, 183, 150, 193, 149, 216, 150, 197, 
300, 150, 183, 149, 205, 150, 184, 150, 191, 150, 216, 150, 197, 
305, 150, 182, 150, 206, 150, 183, 150, 192, 149, 215, 150, 195, 
310, 150, 182, 149, 208, 149, 182, 150, 191, 150, 216, 150, 196, 
315, 149, 181, 149, 207, 149, 182, 149, 190, 150, 215, 150, 195, 
320, 150, 181, 150, 206, 149, 180, 150, 192, 149, 214, 150, 194, 
325, 150, 181, 150, 206, 150, 179, 150, 193, 150, 212, 150, 194, 
330, 150, 180, 149, 204, 150, 179, 150, 190, 149, 214, 150, 195, 
