t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 461, 150, 452, 150, 454, 149, 441, 149, 466, 150, 457, 
10, 150, 461, 149, 449, 150, 452, 150, 441, 150, 467, 150, 457, 
15, 150, 461, 149, 452, 150, 454, 150, 443, 149, 465, 149, 456, 
20, 150, 461, 150, 452, 149, 453, 150, 444, 149, 465, 149, 454, 
25, 150, 462, 149, 451, 150, 453, 150, 441, 150, 465, 149, 457, 
30, 150, 461, 149, 451, 149, 452, 149, 439, 149, 464, 149, 456, 
35, 150, 460, 150, 451, 150, 453, 149, 440, 150, 464, 150, 453, 
40, 150, 460, 149, 450, 149, 453, 150, 441, 150, 464, 149, 455, 
45, 149, 461, 149, 449, 149, 452, 150, 439, 150, 461, 150, 457, 
50, 150, 460, 149, 449, 150, 449, 150, 437, 150, 464, 149, 453, 
55, 150, 457, 150, 447, 150, 446, 149, 435, 149, 458, 150, 450, 
60, 149, 457, 149, 446, 150, 444, 150, 433, 150, 456, 150, 448, 
65, 150, 455, 150, 446, 150, 442, 150, 429, 150, 457, 150, 447, 
70, 150, 453, 149, 443, 150, 440, 150, 427, 150, 456, 149, 445, 
75, 150, 450, 150, 440, 150, 438, 150, 426, 150, 452, 150, 442, 
80, 150, 448, 149, 437, 150, 434, 150, 426, 150, 450, 150, 440, 
85, 149, 446, 149, 434, 150, 431, 150, 425, 150, 448, 149, 437, 
90, 150, 444, 149, 431, 149, 430, 150, 423, 149, 446, 150, 434, 
95, 150, 443, 149, 431, 150, 429, 151, 424, 149, 445, 150, 434, 
100, 150, 442, 150, 429, 150, 430, 150, 419, 150, 445, 150, 433, 
105, 149, 441, 150, 428, 150, 428, 150, 417, 149, 444, 150, 430, 
110, 150, 442, 150, 427, 149, 427, 149, 414, 150, 441, 149, 430, 
115, 150, 440, 149, 426, 150, 425, 150, 414, 150, 441, 149, 428, 
120, 149, 439, 149, 424, 150, 426, 150, 414, 149, 440, 149, 428, 
125, 150, 439, 150, 424, 150, 424, 150, 412, 149, 439, 149, 425, 
130, 150, 437, 149, 422, 150, 422, 150, 411, 150, 438, 150, 425, 
135, 150, 438, 150, 422, 149, 422, 150, 410, 149, 436, 150, 425, 
140, 150, 437, 149, 422, 150, 422, 150, 412, 150, 436, 150, 422, 
145, 149, 435, 149, 420, 150, 421, 150, 409, 149, 435, 150, 424, 
150, 150, 436, 149, 420, 150, 422, 149, 408, 150, 436, 149, 424, 
155, 149, 435, 149, 419, 150, 422, 150, 410, 150, 434, 150, 422, 
160, 150, 435, 150, 419, 150, 421, 149, 409, 149, 434, 149, 421, 
165, 149, 433, 149, 418, 150, 422, 151, 410, 150, 434, 150, 423, 
170, 149, 433, 150, 420, 150, 422, 150, 412, 150, 432, 150, 422, 
175, 149, 433, 149, 419, 150, 422, 149, 410, 150, 433, 149, 421, 
180, 150, 433, 149, 418, 150, 420, 150, 409, 150, 433, 150, 421, 
185, 149, 434, 149, 419, 150, 422, 149, 410, 150, 432, 149, 420, 
190, 150, 433, 149, 419, 150, 421, 149, 411, 150, 433, 150, 420, 
195, 150, 433, 149, 417, 150, 420, 150, 410, 150, 433, 150, 423, 
200, 150, 434, 149, 419, 150, 422, 149, 409, 150, 433, 150, 422, 
205, 150, 433, 149, 419, 149, 422, 150, 410, 150, 433, 150, 420, 
210, 150, 433, 150, 419, 150, 421, 149, 409, 150, 431, 149, 421, 
215, 150, 434, 150, 418, 149, 421, 150, 408, 150, 432, 149, 422, 
220, 149, 434, 149, 420, 150, 422, 150, 411, 149, 432, 150, 422, 
225, 149, 434, 150, 420, 149, 421, 150, 413, 150, 431, 150, 420, 
230, 150, 433, 149, 421, 150, 422, 150, 411, 149, 433, 150, 422, 
235, 150, 435, 150, 420, 149, 421, 150, 412, 150, 434, 150, 421, 
240, 149, 437, 149, 420, 150, 424, 150, 412, 149, 433, 150, 421, 
245, 150, 437, 149, 422, 150, 423, 150, 414, 149, 432, 150, 420, 
250, 149, 434, 149, 421, 149, 422, 149, 410, 149, 433, 150, 422, 
255, 149, 435, 149, 421, 150, 423, 150, 414, 150, 432, 150, 420, 
260, 150, 433, 149, 422, 150, 421, 150, 413, 149, 433, 149, 421, 
265, 150, 434, 149, 421, 150, 419, 150, 412, 150, 433, 150, 421, 
270, 150, 435, 149, 421, 150, 420, 150, 413, 149, 433, 150, 420, 
275, 150, 435, 149, 421, 149, 420, 150, 414, 150, 433, 150, 418, 
280, 150, 435, 149, 422, 150, 419, 150, 415, 149, 432, 150, 421, 
285, 150, 436, 149, 422, 149, 419, 149, 411, 149, 433, 149, 421, 
290, 150, 433, 149, 423, 149, 419, 150, 412, 150, 434, 150, 420, 
295, 150, 433, 150, 424, 150, 419, 150, 413, 150, 434, 149, 421, 
300, 149, 434, 149, 423, 150, 419, 150, 411, 149, 434, 149, 420, 
305, 149, 435, 149, 422, 149, 420, 150, 412, 149, 432, 150, 419, 
310, 149, 434, 149, 421, 150, 420, 150, 413, 150, 432, 149, 420, 
315, 149, 434, 149, 423, 150, 420, 150, 411, 150, 434, 150, 420, 
320, 149, 433, 149, 423, 150, 419, 150, 413, 149, 433, 150, 420, 
325, 150, 433, 149, 423, 149, 418, 149, 411, 150, 433, 150, 420, 
330, 150, 433, 149, 424, 149, 418, 149, 411, 150, 433, 150, 419, 
