t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 454, 149, 457, 149, 462, 149, 454, 150, 482, 150, 458, 
10, 150, 453, 150, 458, 150, 460, 149, 452, 150, 481, 150, 457, 
15, 150, 454, 149, 456, 150, 460, 150, 453, 150, 480, 149, 457, 
20, 150, 455, 149, 459, 149, 458, 149, 451, 150, 481, 150, 456, 
25, 150, 454, 149, 457, 149, 460, 149, 451, 150, 479, 150, 456, 
30, 150, 454, 150, 457, 150, 458, 150, 449, 149, 477, 150, 455, 
35, 150, 456, 149, 457, 150, 458, 150, 452, 149, 477, 149, 457, 
40, 149, 454, 149, 457, 150, 459, 149, 448, 149, 477, 149, 455, 
45, 150, 452, 149, 457, 150, 455, 150, 448, 150, 475, 149, 455, 
50, 150, 452, 149, 455, 150, 454, 149, 447, 149, 474, 150, 454, 
55, 149, 451, 149, 453, 150, 452, 149, 444, 149, 472, 149, 451, 
60, 149, 447, 150, 449, 150, 444, 149, 439, 150, 469, 149, 447, 
65, 149, 443, 149, 449, 150, 441, 150, 441, 149, 467, 150, 444, 
70, 150, 442, 149, 447, 150, 440, 150, 438, 149, 465, 150, 440, 
75, 150, 441, 150, 446, 150, 437, 150, 434, 150, 462, 150, 436, 
80, 149, 438, 149, 445, 150, 439, 149, 433, 150, 462, 149, 435, 
85, 150, 439, 150, 443, 149, 438, 149, 432, 150, 460, 150, 436, 
90, 150, 439, 150, 440, 150, 437, 150, 431, 150, 457, 149, 433, 
95, 150, 440, 149, 441, 150, 434, 149, 427, 150, 456, 150, 430, 
100, 150, 439, 150, 439, 150, 434, 150, 429, 149, 453, 150, 430, 
105, 150, 438, 149, 435, 149, 432, 150, 426, 149, 453, 149, 428, 
110, 150, 436, 149, 436, 150, 429, 150, 423, 150, 453, 150, 427, 
115, 150, 436, 149, 435, 150, 431, 150, 424, 150, 452, 149, 427, 
120, 150, 436, 149, 433, 150, 430, 149, 423, 149, 453, 150, 426, 
125, 150, 436, 149, 433, 150, 430, 150, 422, 149, 452, 150, 425, 
130, 150, 436, 149, 435, 150, 430, 151, 426, 150, 453, 150, 424, 
135, 150, 437, 149, 435, 150, 430, 149, 424, 150, 453, 150, 427, 
140, 150, 439, 149, 436, 150, 430, 150, 424, 149, 453, 150, 429, 
145, 149, 439, 149, 437, 150, 430, 150, 424, 150, 454, 149, 426, 
150, 150, 445, 149, 438, 149, 429, 149, 425, 149, 455, 150, 427, 
155, 150, 446, 149, 438, 150, 431, 150, 425, 150, 454, 149, 422, 
160, 149, 447, 150, 441, 150, 429, 149, 423, 150, 456, 150, 421, 
165, 150, 445, 149, 440, 150, 431, 150, 425, 150, 457, 149, 422, 
170, 150, 443, 149, 440, 149, 431, 149, 425, 150, 457, 150, 423, 
175, 150, 445, 150, 440, 149, 430, 150, 424, 150, 456, 150, 422, 
180, 150, 445, 149, 442, 150, 432, 150, 425, 149, 456, 150, 423, 
185, 150, 445, 150, 442, 150, 433, 149, 425, 150, 456, 150, 424, 
190, 150, 444, 149, 443, 150, 433, 149, 426, 150, 456, 150, 422, 
195, 150, 445, 149, 445, 150, 432, 151, 428, 150, 456, 149, 423, 
200, 149, 446, 149, 444, 150, 434, 150, 427, 149, 456, 150, 425, 
205, 150, 445, 150, 446, 149, 434, 149, 426, 150, 456, 149, 425, 
210, 150, 445, 150, 444, 150, 433, 150, 424, 150, 456, 150, 422, 
215, 150, 444, 149, 446, 150, 434, 150, 428, 150, 456, 149, 423, 
220, 150, 443, 149, 443, 149, 434, 149, 425, 150, 455, 150, 424, 
225, 150, 443, 149, 445, 150, 433, 150, 425, 149, 454, 150, 424, 
230, 150, 442, 149, 446, 150, 435, 150, 425, 150, 454, 149, 424, 
235, 149, 442, 150, 445, 150, 435, 150, 427, 149, 453, 150, 425, 
240, 149, 441, 149, 445, 150, 433, 150, 429, 150, 451, 150, 424, 
245, 150, 440, 149, 446, 150, 432, 150, 424, 149, 452, 149, 422, 
250, 150, 440, 149, 446, 150, 434, 150, 426, 149, 453, 150, 423, 
255, 150, 440, 149, 444, 149, 434, 150, 426, 150, 452, 149, 423, 
260, 150, 439, 149, 444, 150, 433, 150, 423, 149, 452, 150, 421, 
265, 150, 440, 149, 445, 149, 432, 150, 427, 149, 452, 150, 426, 
270, 150, 439, 149, 444, 150, 433, 149, 426, 149, 451, 150, 426, 
275, 150, 438, 149, 445, 150, 432, 150, 426, 149, 450, 150, 427, 
280, 150, 438, 149, 444, 149, 433, 149, 426, 149, 450, 150, 425, 
285, 150, 437, 150, 445, 150, 435, 150, 425, 150, 449, 149, 423, 
290, 150, 437, 149, 443, 150, 434, 150, 424, 150, 449, 150, 423, 
295, 149, 436, 150, 446, 149, 433, 149, 423, 150, 448, 150, 420, 
300, 149, 434, 149, 445, 149, 433, 151, 427, 149, 448, 150, 421, 
305, 149, 435, 149, 445, 149, 434, 150, 425, 150, 448, 149, 420, 
310, 150, 435, 149, 443, 150, 433, 150, 422, 149, 446, 150, 419, 
315, 150, 435, 149, 443, 150, 433, 150, 425, 150, 447, 150, 420, 
320, 149, 434, 150, 443, 149, 433, 150, 424, 149, 446, 150, 420, 
325, 150, 434, 150, 443, 150, 432, 150, 423, 149, 445, 150, 419, 
330, 149, 434, 149, 443, 149, 433, 150, 424, 150, 445, 149, 419, 
