t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 451, 149, 444, 150, 442, 149, 443, 150, 467, 150, 454, 
10, 150, 452, 149, 444, 150, 443, 149, 441, 150, 465, 150, 454, 
15, 149, 451, 149, 445, 149, 442, 150, 441, 149, 465, 150, 453, 
20, 150, 452, 149, 446, 149, 443, 149, 441, 149, 463, 149, 453, 
25, 150, 451, 150, 443, 149, 442, 150, 437, 150, 463, 150, 453, 
30, 150, 449, 149, 442, 150, 441, 150, 437, 149, 462, 150, 452, 
35, 150, 447, 149, 443, 149, 440, 149, 439, 149, 462, 150, 450, 
40, 150, 446, 150, 443, 150, 441, 150, 440, 150, 460, 150, 452, 
45, 149, 446, 149, 443, 150, 440, 149, 441, 150, 461, 149, 453, 
50, 150, 448, 150, 444, 150, 439, 150, 440, 149, 460, 150, 452, 
55, 150, 448, 149, 443, 150, 438, 149, 434, 149, 458, 150, 451, 
60, 150, 445, 149, 443, 150, 437, 149, 434, 150, 458, 150, 451, 
65, 150, 446, 149, 442, 150, 435, 150, 434, 150, 459, 150, 449, 
70, 149, 444, 149, 443, 150, 434, 149, 432, 150, 458, 150, 447, 
75, 150, 446, 150, 442, 150, 433, 150, 434, 149, 457, 150, 449, 
80, 149, 448, 150, 439, 150, 433, 149, 433, 150, 457, 149, 447, 
85, 150, 444, 149, 437, 150, 431, 149, 431, 149, 455, 149, 446, 
90, 149, 439, 149, 437, 150, 430, 150, 431, 150, 452, 149, 443, 
95, 150, 436, 149, 438, 150, 431, 149, 429, 150, 451, 150, 441, 
100, 149, 434, 149, 432, 150, 426, 150, 425, 150, 449, 150, 432, 
105, 150, 433, 149, 432, 149, 424, 150, 423, 150, 445, 150, 430, 
110, 150, 431, 149, 432, 150, 421, 149, 423, 150, 444, 150, 431, 
115, 150, 430, 149, 429, 150, 420, 149, 419, 150, 442, 150, 429, 
120, 149, 429, 149, 429, 149, 418, 149, 418, 150, 441, 149, 427, 
125, 149, 428, 150, 427, 150, 417, 149, 419, 149, 437, 150, 427, 
130, 150, 426, 150, 428, 150, 417, 150, 417, 149, 437, 150, 427, 
135, 150, 426, 149, 426, 150, 414, 150, 414, 150, 435, 150, 424, 
140, 150, 425, 149, 425, 149, 414, 150, 415, 149, 434, 150, 424, 
145, 150, 425, 149, 424, 150, 413, 149, 415, 150, 433, 150, 424, 
150, 150, 424, 149, 423, 150, 413, 150, 415, 149, 432, 150, 424, 
155, 150, 424, 149, 422, 150, 413, 149, 413, 150, 431, 149, 423, 
160, 150, 424, 149, 423, 150, 413, 150, 413, 149, 431, 150, 425, 
165, 150, 424, 149, 423, 150, 415, 150, 414, 149, 431, 150, 427, 
170, 150, 424, 149, 422, 150, 416, 149, 411, 150, 431, 150, 428, 
175, 149, 423, 150, 420, 150, 415, 149, 414, 150, 432, 150, 432, 
180, 149, 423, 149, 421, 150, 414, 149, 415, 149, 433, 150, 432, 
185, 150, 425, 149, 421, 150, 415, 149, 414, 150, 433, 150, 433, 
190, 150, 426, 149, 420, 150, 416, 149, 415, 150, 432, 150, 435, 
195, 150, 427, 149, 422, 149, 415, 150, 419, 149, 435, 149, 438, 
200, 150, 427, 149, 422, 150, 416, 149, 420, 150, 436, 150, 440, 
205, 150, 428, 149, 423, 150, 417, 149, 418, 150, 436, 150, 440, 
210, 149, 428, 149, 423, 150, 418, 149, 420, 150, 439, 150, 441, 
215, 149, 428, 149, 423, 149, 419, 150, 419, 150, 439, 150, 441, 
220, 150, 428, 149, 425, 149, 420, 150, 420, 149, 441, 149, 438, 
225, 150, 428, 149, 425, 150, 421, 149, 421, 149, 439, 150, 439, 
230, 150, 430, 149, 423, 150, 421, 149, 422, 149, 440, 149, 440, 
235, 150, 428, 149, 425, 150, 421, 150, 421, 149, 441, 150, 438, 
240, 149, 428, 150, 424, 150, 423, 150, 423, 150, 440, 150, 440, 
245, 150, 426, 149, 423, 149, 421, 149, 423, 150, 441, 149, 441, 
250, 150, 427, 150, 424, 150, 421, 150, 422, 149, 441, 150, 440, 
255, 150, 425, 149, 424, 150, 422, 150, 424, 149, 439, 149, 440, 
260, 150, 426, 150, 424, 149, 422, 149, 423, 150, 440, 150, 441, 
265, 150, 427, 150, 424, 150, 423, 149, 424, 150, 440, 150, 439, 
270, 150, 429, 149, 423, 150, 425, 150, 420, 150, 440, 150, 439, 
275, 150, 430, 150, 422, 150, 425, 150, 422, 150, 439, 149, 439, 
280, 150, 430, 149, 422, 150, 425, 149, 420, 150, 440, 149, 437, 
285, 149, 430, 149, 423, 150, 425, 149, 422, 149, 438, 150, 438, 
290, 150, 429, 149, 421, 149, 425, 149, 422, 150, 439, 149, 438, 
295, 150, 428, 149, 424, 150, 424, 150, 418, 149, 436, 150, 433, 
300, 149, 429, 149, 423, 150, 422, 149, 420, 150, 437, 150, 435, 
305, 150, 428, 150, 421, 150, 423, 149, 420, 150, 439, 150, 434, 
310, 150, 427, 149, 423, 150, 423, 149, 416, 150, 437, 150, 433, 
315, 150, 427, 149, 421, 150, 423, 149, 418, 150, 436, 150, 434, 
320, 150, 426, 150, 423, 150, 422, 149, 417, 150, 435, 150, 432, 
325, 149, 427, 149, 422, 149, 423, 149, 419, 150, 435, 150, 435, 
330, 150, 427, 149, 423, 149, 423, 150, 419, 149, 435, 150, 434, 
