t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 418, 149, 408, 149, 415, 149, 405, 150, 435, 149, 433, 
10, 150, 417, 149, 407, 150, 414, 150, 401, 150, 433, 150, 430, 
15, 150, 416, 149, 405, 150, 411, 150, 402, 150, 433, 150, 432, 
20, 150, 415, 149, 405, 149, 409, 149, 402, 149, 431, 150, 431, 
25, 150, 414, 150, 407, 150, 410, 150, 403, 150, 434, 150, 432, 
30, 150, 415, 149, 406, 149, 408, 149, 402, 149, 432, 150, 430, 
35, 150, 408, 150, 404, 150, 402, 150, 397, 150, 424, 149, 423, 
40, 150, 401, 149, 394, 150, 395, 150, 386, 150, 415, 150, 413, 
45, 150, 396, 149, 389, 149, 389, 149, 380, 149, 408, 150, 405, 
50, 150, 393, 149, 385, 149, 387, 150, 381, 150, 407, 150, 404, 
55, 150, 391, 149, 386, 150, 388, 150, 380, 150, 406, 150, 404, 
60, 149, 390, 149, 386, 150, 389, 150, 380, 150, 407, 150, 402, 
65, 150, 390, 150, 387, 149, 388, 150, 380, 150, 407, 150, 404, 
70, 150, 389, 149, 388, 149, 388, 149, 380, 149, 405, 150, 405, 
75, 149, 388, 149, 389, 149, 388, 150, 380, 149, 406, 149, 403, 
80, 150, 388, 149, 389, 150, 389, 149, 380, 150, 405, 149, 403, 
85, 150, 386, 149, 388, 149, 386, 149, 379, 150, 405, 149, 403, 
90, 150, 386, 150, 388, 149, 386, 150, 378, 150, 408, 150, 403, 
95, 150, 385, 149, 387, 149, 387, 150, 380, 150, 411, 149, 401, 
100, 150, 386, 149, 386, 149, 385, 149, 381, 150, 408, 150, 403, 
105, 150, 386, 150, 387, 150, 386, 149, 381, 150, 410, 149, 402, 
110, 150, 386, 149, 387, 149, 386, 149, 380, 149, 408, 150, 404, 
115, 150, 385, 150, 387, 150, 385, 151, 386, 150, 408, 150, 405, 
120, 150, 384, 149, 387, 150, 388, 149, 383, 149, 405, 149, 404, 
125, 149, 388, 149, 387, 150, 388, 150, 382, 149, 407, 150, 402, 
130, 149, 388, 149, 386, 150, 389, 150, 383, 149, 406, 150, 403, 
135, 150, 388, 149, 387, 150, 389, 150, 385, 150, 406, 149, 402, 
140, 150, 387, 149, 389, 150, 389, 150, 382, 150, 406, 150, 401, 
145, 150, 387, 149, 388, 149, 388, 150, 384, 150, 406, 150, 401, 
150, 150, 388, 149, 388, 150, 388, 149, 382, 149, 404, 150, 401, 
155, 150, 388, 150, 388, 150, 388, 150, 383, 150, 405, 150, 400, 
160, 150, 389, 149, 388, 150, 387, 149, 382, 150, 405, 150, 399, 
165, 150, 386, 149, 388, 150, 385, 149, 383, 150, 405, 150, 400, 
170, 150, 385, 149, 387, 150, 387, 150, 384, 150, 405, 149, 399, 
175, 150, 386, 149, 388, 149, 386, 149, 379, 149, 404, 150, 397, 
180, 150, 386, 150, 387, 150, 384, 150, 382, 150, 403, 150, 399, 
185, 150, 386, 149, 385, 149, 383, 149, 380, 149, 403, 149, 399, 
190, 150, 386, 149, 388, 149, 384, 150, 379, 149, 402, 150, 396, 
195, 150, 387, 149, 387, 150, 383, 149, 379, 149, 402, 150, 398, 
200, 150, 386, 150, 387, 150, 384, 150, 377, 150, 402, 150, 395, 
205, 150, 386, 149, 385, 150, 383, 149, 379, 149, 402, 150, 396, 
210, 150, 386, 149, 386, 150, 381, 149, 378, 150, 402, 150, 396, 
215, 150, 386, 149, 385, 150, 381, 150, 379, 150, 404, 150, 396, 
220, 150, 386, 149, 384, 150, 382, 150, 376, 150, 402, 150, 393, 
225, 150, 387, 149, 384, 150, 381, 149, 377, 149, 402, 150, 396, 
230, 150, 385, 149, 385, 150, 380, 150, 379, 150, 400, 150, 396, 
235, 150, 387, 150, 383, 150, 380, 149, 375, 150, 402, 150, 393, 
240, 150, 386, 149, 384, 149, 380, 150, 378, 149, 401, 150, 391, 
245, 150, 386, 149, 383, 150, 378, 149, 376, 150, 401, 150, 393, 
250, 150, 385, 149, 382, 149, 379, 150, 376, 150, 400, 150, 392, 
255, 150, 386, 150, 382, 150, 379, 149, 373, 150, 401, 150, 391, 
260, 150, 386, 149, 382, 149, 379, 150, 375, 149, 400, 150, 390, 
265, 150, 385, 149, 382, 150, 378, 150, 376, 149, 399, 150, 391, 
270, 149, 385, 149, 382, 150, 378, 150, 375, 149, 401, 149, 389, 
275, 150, 385, 149, 382, 149, 378, 150, 374, 150, 401, 150, 389, 
280, 150, 385, 150, 381, 150, 377, 150, 374, 150, 400, 149, 389, 
285, 150, 385, 149, 381, 149, 377, 150, 374, 150, 400, 150, 390, 
290, 150, 384, 149, 381, 150, 378, 150, 372, 150, 401, 150, 388, 
295, 150, 384, 149, 381, 150, 377, 150, 374, 150, 400, 150, 389, 
300, 150, 384, 149, 380, 150, 376, 150, 373, 149, 400, 150, 388, 
305, 150, 383, 149, 381, 150, 377, 150, 370, 150, 400, 150, 388, 
310, 150, 384, 149, 382, 149, 377, 150, 373, 149, 400, 149, 387, 
315, 150, 383, 149, 382, 150, 376, 150, 372, 149, 399, 150, 388, 
320, 150, 383, 149, 382, 150, 377, 149, 372, 149, 399, 150, 387, 
325, 150, 383, 149, 381, 149, 377, 150, 370, 149, 399, 150, 385, 
330, 150, 382, 149, 380, 150, 376, 149, 371, 149, 400, 150, 386, 
