t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 409, 149, 404, 149, 396, 150, 388, 150, 398, 150, 375, 
10, 150, 409, 149, 403, 149, 396, 149, 386, 150, 395, 150, 374, 
15, 150, 407, 149, 402, 150, 394, 149, 385, 150, 394, 149, 372, 
20, 149, 406, 149, 402, 150, 394, 149, 383, 149, 391, 150, 371, 
25, 150, 406, 149, 400, 150, 394, 149, 382, 149, 390, 150, 372, 
30, 150, 407, 149, 399, 149, 392, 149, 383, 150, 390, 150, 373, 
35, 150, 405, 149, 399, 149, 391, 149, 382, 150, 389, 150, 373, 
40, 150, 404, 149, 398, 149, 391, 149, 383, 150, 392, 149, 378, 
45, 149, 403, 149, 397, 149, 392, 150, 382, 150, 394, 150, 381, 
50, 149, 403, 149, 397, 150, 390, 149, 383, 150, 394, 150, 379, 
55, 150, 402, 149, 396, 149, 390, 149, 383, 150, 396, 150, 382, 
60, 149, 401, 149, 395, 149, 388, 150, 383, 150, 398, 150, 382, 
65, 150, 401, 150, 394, 150, 387, 149, 382, 150, 398, 150, 383, 
70, 149, 400, 149, 395, 150, 388, 149, 384, 150, 398, 150, 381, 
75, 150, 399, 149, 393, 150, 389, 149, 382, 150, 398, 150, 384, 
80, 150, 398, 149, 394, 149, 388, 149, 383, 150, 399, 150, 382, 
85, 150, 396, 149, 393, 149, 388, 149, 382, 149, 398, 149, 381, 
90, 150, 397, 150, 393, 150, 389, 149, 383, 149, 397, 149, 381, 
95, 150, 395, 149, 392, 149, 388, 149, 379, 150, 397, 150, 381, 
100, 150, 395, 149, 393, 149, 386, 149, 380, 150, 397, 150, 380, 
105, 150, 394, 149, 392, 149, 386, 150, 381, 150, 397, 149, 379, 
110, 150, 393, 149, 392, 149, 386, 149, 378, 150, 395, 150, 379, 
115, 150, 392, 149, 391, 150, 385, 149, 380, 150, 395, 150, 378, 
120, 149, 394, 149, 390, 150, 385, 149, 379, 149, 394, 150, 378, 
125, 150, 394, 149, 388, 150, 384, 149, 379, 150, 392, 149, 378, 
130, 150, 393, 149, 388, 150, 383, 149, 379, 149, 392, 150, 375, 
135, 150, 393, 150, 388, 150, 383, 149, 381, 149, 392, 150, 375, 
140, 150, 392, 149, 389, 149, 384, 149, 381, 149, 391, 150, 376, 
145, 150, 392, 149, 389, 150, 382, 150, 384, 149, 392, 150, 374, 
150, 150, 393, 149, 390, 150, 384, 149, 384, 150, 392, 149, 373, 
155, 150, 391, 149, 389, 149, 384, 149, 383, 149, 392, 150, 373, 
160, 150, 392, 150, 389, 150, 383, 150, 386, 149, 393, 150, 372, 
165, 150, 391, 149, 390, 150, 385, 149, 385, 150, 393, 150, 371, 
170, 150, 390, 149, 391, 150, 386, 149, 384, 149, 394, 150, 372, 
175, 150, 390, 149, 389, 150, 385, 150, 384, 149, 395, 150, 371, 
180, 150, 390, 149, 391, 149, 386, 149, 386, 150, 395, 150, 370, 
185, 150, 389, 149, 388, 150, 386, 150, 385, 150, 394, 150, 371, 
190, 149, 389, 149, 390, 149, 386, 149, 385, 150, 395, 149, 371, 
195, 150, 390, 149, 389, 150, 385, 150, 385, 149, 394, 149, 370, 
200, 150, 393, 149, 389, 150, 385, 149, 385, 150, 396, 150, 370, 
205, 150, 393, 149, 388, 149, 386, 149, 382, 149, 395, 150, 370, 
210, 150, 393, 149, 389, 150, 384, 150, 383, 150, 396, 150, 369, 
215, 149, 393, 149, 390, 149, 386, 149, 383, 150, 395, 150, 367, 
220, 150, 394, 149, 391, 150, 385, 150, 382, 150, 396, 150, 369, 
225, 150, 391, 149, 389, 149, 385, 150, 384, 150, 396, 150, 369, 
230, 149, 393, 149, 390, 150, 385, 149, 385, 150, 396, 150, 370, 
235, 150, 392, 149, 389, 150, 384, 150, 383, 150, 392, 150, 368, 
240, 149, 393, 150, 388, 150, 384, 149, 383, 149, 395, 150, 371, 
245, 150, 392, 149, 387, 150, 383, 150, 383, 149, 395, 150, 371, 
250, 150, 391, 149, 385, 150, 384, 150, 382, 150, 394, 150, 369, 
255, 150, 391, 149, 387, 150, 384, 149, 381, 150, 394, 150, 371, 
260, 150, 394, 150, 388, 150, 383, 150, 383, 149, 394, 150, 369, 
265, 150, 391, 149, 386, 149, 382, 150, 383, 150, 393, 149, 365, 
270, 149, 391, 149, 387, 149, 382, 150, 380, 150, 393, 150, 367, 
275, 150, 391, 149, 387, 150, 382, 150, 382, 150, 393, 150, 367, 
280, 150, 390, 149, 389, 149, 384, 149, 380, 150, 393, 150, 369, 
285, 150, 390, 149, 385, 149, 384, 150, 379, 149, 393, 150, 367, 
290, 149, 390, 150, 386, 150, 383, 150, 380, 149, 393, 150, 367, 
295, 150, 391, 149, 387, 150, 381, 150, 380, 149, 392, 149, 366, 
300, 149, 392, 149, 386, 150, 384, 150, 382, 150, 392, 150, 366, 
305, 150, 391, 149, 386, 150, 382, 150, 379, 150, 392, 150, 366, 
310, 149, 390, 150, 386, 150, 381, 150, 381, 149, 392, 150, 367, 
315, 150, 391, 149, 385, 150, 383, 150, 378, 149, 391, 149, 364, 
320, 150, 390, 149, 384, 150, 381, 149, 378, 150, 390, 150, 367, 
325, 150, 390, 149, 384, 150, 380, 149, 378, 150, 391, 150, 364, 
330, 150, 390, 150, 386, 150, 382, 150, 378, 150, 389, 150, 364, 
