t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 386, 149, 393, 149, 389, 150, 385, 149, 407, 150, 395, 
10, 149, 386, 149, 392, 150, 387, 149, 385, 150, 405, 150, 394, 
15, 150, 386, 149, 390, 149, 388, 150, 382, 150, 403, 150, 392, 
20, 150, 386, 149, 391, 150, 387, 150, 383, 150, 405, 149, 393, 
25, 150, 384, 149, 390, 149, 387, 149, 385, 150, 404, 150, 392, 
30, 150, 383, 149, 391, 150, 387, 149, 383, 149, 403, 150, 393, 
35, 150, 383, 149, 391, 150, 387, 149, 382, 150, 403, 149, 392, 
40, 150, 385, 149, 391, 150, 384, 150, 386, 150, 401, 150, 391, 
45, 150, 384, 149, 391, 149, 383, 149, 384, 149, 400, 149, 391, 
50, 149, 384, 149, 389, 150, 386, 150, 385, 150, 402, 150, 393, 
55, 150, 382, 149, 389, 149, 384, 149, 384, 150, 400, 149, 389, 
60, 150, 383, 149, 386, 150, 382, 150, 383, 150, 397, 150, 389, 
65, 150, 382, 149, 386, 150, 383, 150, 383, 150, 397, 150, 389, 
70, 150, 379, 149, 387, 149, 382, 150, 380, 149, 395, 149, 389, 
75, 150, 378, 150, 386, 150, 383, 150, 379, 150, 393, 150, 387, 
80, 150, 379, 149, 386, 149, 382, 149, 379, 150, 393, 149, 385, 
85, 150, 379, 150, 385, 150, 382, 149, 377, 149, 395, 150, 386, 
90, 150, 376, 149, 385, 150, 381, 150, 377, 150, 396, 150, 386, 
95, 150, 376, 149, 384, 149, 382, 149, 374, 150, 394, 150, 386, 
100, 150, 376, 150, 382, 149, 380, 150, 377, 150, 395, 150, 386, 
105, 149, 375, 149, 382, 150, 378, 149, 374, 150, 394, 150, 385, 
110, 150, 373, 150, 381, 149, 378, 150, 373, 149, 392, 150, 383, 
115, 150, 373, 149, 379, 150, 378, 149, 374, 150, 393, 149, 385, 
120, 150, 372, 149, 379, 150, 376, 150, 375, 149, 391, 150, 384, 
125, 150, 372, 149, 378, 150, 376, 150, 373, 149, 391, 150, 383, 
130, 150, 371, 149, 377, 150, 376, 150, 373, 150, 391, 150, 384, 
135, 150, 372, 149, 378, 149, 374, 150, 373, 150, 391, 150, 387, 
140, 150, 371, 149, 378, 149, 373, 149, 370, 149, 389, 149, 388, 
145, 150, 371, 149, 377, 149, 375, 149, 373, 149, 388, 150, 388, 
150, 150, 370, 150, 378, 149, 374, 150, 371, 150, 389, 149, 389, 
155, 150, 371, 149, 378, 150, 373, 150, 372, 150, 389, 150, 390, 
160, 150, 371, 149, 377, 149, 373, 150, 372, 150, 387, 150, 390, 
165, 150, 370, 149, 376, 149, 373, 150, 373, 150, 388, 150, 392, 
170, 150, 370, 149, 378, 150, 373, 149, 372, 150, 387, 150, 392, 
175, 150, 370, 150, 378, 150, 372, 150, 372, 150, 387, 150, 390, 
180, 150, 371, 149, 379, 150, 373, 150, 374, 149, 388, 149, 390, 
185, 150, 371, 149, 378, 150, 373, 149, 372, 150, 389, 150, 391, 
190, 150, 372, 149, 380, 150, 371, 150, 373, 150, 390, 149, 390, 
195, 150, 373, 149, 379, 150, 372, 150, 373, 149, 389, 150, 387, 
200, 150, 371, 149, 380, 149, 372, 149, 373, 150, 390, 150, 390, 
205, 150, 372, 149, 382, 150, 372, 149, 373, 149, 391, 149, 389, 
210, 150, 373, 149, 381, 150, 373, 149, 371, 150, 389, 150, 388, 
215, 150, 373, 149, 380, 149, 374, 150, 374, 150, 391, 149, 388, 
220, 150, 373, 149, 381, 149, 372, 149, 373, 149, 391, 150, 389, 
225, 150, 372, 149, 380, 149, 371, 150, 372, 150, 393, 150, 388, 
230, 150, 375, 149, 379, 150, 373, 150, 374, 150, 393, 150, 390, 
235, 150, 375, 149, 381, 150, 373, 150, 373, 149, 393, 150, 389, 
240, 150, 375, 149, 379, 150, 372, 149, 372, 150, 393, 150, 386, 
245, 150, 376, 149, 381, 150, 374, 149, 371, 150, 392, 150, 385, 
250, 150, 376, 150, 382, 149, 373, 150, 374, 150, 394, 150, 387, 
255, 150, 376, 149, 379, 150, 372, 150, 373, 149, 391, 149, 385, 
260, 149, 377, 150, 381, 150, 373, 150, 370, 150, 392, 150, 384, 
265, 150, 377, 149, 380, 149, 373, 150, 371, 149, 392, 150, 386, 
270, 150, 376, 149, 380, 150, 371, 149, 371, 150, 391, 150, 385, 
275, 150, 375, 150, 380, 150, 372, 150, 369, 150, 391, 149, 383, 
280, 150, 375, 149, 378, 150, 371, 150, 369, 150, 391, 150, 384, 
285, 150, 377, 150, 380, 149, 371, 149, 369, 150, 391, 150, 385, 
290, 150, 376, 149, 380, 150, 370, 149, 370, 150, 393, 150, 384, 
295, 150, 378, 149, 378, 150, 373, 149, 369, 150, 393, 150, 382, 
300, 149, 378, 150, 378, 150, 373, 149, 370, 149, 393, 150, 384, 
305, 150, 376, 149, 378, 149, 371, 149, 369, 149, 391, 150, 383, 
310, 150, 375, 149, 376, 150, 371, 150, 370, 149, 391, 149, 382, 
315, 150, 375, 150, 378, 150, 370, 149, 370, 150, 391, 150, 382, 
320, 149, 376, 149, 377, 150, 369, 150, 369, 150, 390, 149, 380, 
325, 149, 375, 149, 376, 150, 370, 149, 368, 149, 390, 150, 379, 
330, 150, 376, 150, 377, 149, 369, 150, 370, 149, 391, 149, 380, 
