t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 400, 149, 396, 149, 391, 150, 388, 150, 409, 150, 395, 
10, 149, 401, 149, 397, 150, 392, 150, 388, 150, 410, 150, 396, 
15, 150, 399, 149, 398, 149, 392, 150, 390, 149, 411, 150, 397, 
20, 149, 399, 150, 397, 150, 391, 150, 389, 149, 409, 150, 393, 
25, 150, 399, 149, 397, 150, 391, 150, 388, 149, 409, 150, 394, 
30, 150, 398, 149, 397, 150, 393, 150, 387, 150, 408, 150, 395, 
35, 149, 396, 149, 397, 149, 392, 149, 387, 149, 407, 150, 393, 
40, 150, 394, 149, 395, 149, 389, 149, 388, 149, 407, 150, 392, 
45, 149, 390, 149, 391, 150, 387, 150, 384, 149, 401, 150, 388, 
50, 149, 391, 149, 390, 150, 386, 150, 385, 150, 400, 150, 385, 
55, 150, 388, 149, 390, 150, 384, 150, 383, 149, 397, 150, 385, 
60, 150, 389, 149, 390, 150, 384, 150, 384, 150, 397, 150, 386, 
65, 149, 383, 149, 386, 150, 380, 149, 379, 149, 394, 150, 379, 
70, 150, 382, 149, 381, 150, 378, 150, 378, 150, 392, 150, 377, 
75, 150, 382, 149, 381, 150, 377, 149, 375, 150, 392, 150, 379, 
80, 150, 382, 149, 382, 150, 378, 149, 374, 150, 394, 150, 378, 
85, 150, 380, 149, 382, 149, 377, 149, 375, 149, 393, 150, 378, 
90, 150, 381, 149, 382, 149, 378, 149, 374, 149, 394, 150, 378, 
95, 150, 380, 149, 381, 149, 379, 150, 375, 149, 393, 150, 377, 
100, 149, 380, 150, 381, 150, 377, 149, 376, 149, 394, 150, 381, 
105, 149, 379, 149, 382, 150, 377, 150, 373, 150, 393, 149, 380, 
110, 150, 377, 149, 382, 150, 378, 149, 375, 149, 393, 150, 379, 
115, 150, 376, 149, 383, 150, 378, 149, 374, 150, 396, 150, 379, 
120, 150, 375, 149, 383, 150, 379, 149, 375, 149, 395, 150, 380, 
125, 150, 373, 150, 385, 150, 379, 149, 375, 150, 397, 149, 382, 
130, 149, 373, 150, 385, 150, 380, 149, 377, 149, 399, 150, 384, 
135, 150, 372, 149, 385, 149, 379, 149, 376, 149, 400, 149, 388, 
140, 150, 371, 149, 386, 150, 381, 150, 377, 150, 402, 150, 387, 
145, 149, 370, 149, 385, 149, 382, 150, 378, 150, 403, 150, 387, 
150, 150, 373, 150, 385, 149, 380, 149, 377, 150, 402, 150, 388, 
155, 150, 372, 149, 383, 149, 380, 150, 374, 150, 401, 150, 387, 
160, 150, 372, 149, 384, 149, 380, 149, 375, 149, 401, 150, 386, 
165, 150, 372, 149, 384, 149, 378, 149, 375, 150, 399, 150, 385, 
170, 149, 371, 149, 384, 150, 379, 149, 375, 149, 399, 150, 385, 
175, 150, 371, 149, 383, 150, 377, 149, 374, 150, 398, 150, 382, 
180, 149, 371, 149, 381, 149, 376, 149, 374, 150, 397, 150, 380, 
185, 150, 372, 149, 381, 150, 375, 149, 374, 150, 396, 150, 381, 
190, 150, 369, 150, 381, 150, 377, 149, 372, 149, 396, 150, 379, 
195, 149, 369, 149, 381, 149, 375, 150, 376, 149, 394, 150, 377, 
200, 150, 370, 149, 381, 150, 373, 149, 373, 149, 394, 150, 378, 
205, 150, 368, 149, 379, 150, 374, 150, 371, 150, 392, 149, 377, 
210, 150, 369, 149, 379, 150, 374, 150, 372, 149, 394, 150, 377, 
215, 150, 368, 149, 380, 149, 372, 149, 372, 150, 393, 150, 376, 
220, 150, 371, 149, 378, 150, 373, 150, 370, 150, 394, 150, 376, 
225, 150, 371, 149, 379, 150, 373, 149, 372, 149, 394, 150, 376, 
230, 150, 370, 150, 379, 150, 371, 149, 371, 150, 393, 150, 374, 
235, 150, 369, 149, 378, 150, 372, 150, 371, 149, 392, 150, 376, 
240, 150, 367, 149, 374, 150, 370, 149, 369, 150, 392, 150, 374, 
245, 150, 366, 149, 376, 149, 370, 149, 369, 150, 391, 150, 374, 
250, 149, 366, 149, 375, 150, 369, 149, 369, 150, 390, 150, 375, 
255, 150, 366, 149, 375, 150, 370, 149, 366, 149, 390, 150, 374, 
260, 149, 365, 149, 375, 149, 368, 150, 368, 149, 390, 150, 374, 
265, 149, 365, 149, 375, 150, 368, 150, 367, 149, 390, 149, 374, 
270, 149, 365, 149, 374, 149, 369, 149, 369, 150, 390, 150, 372, 
275, 150, 365, 149, 374, 150, 367, 149, 366, 150, 389, 150, 371, 
280, 150, 365, 149, 373, 150, 368, 150, 366, 149, 389, 149, 372, 
285, 150, 365, 149, 374, 150, 368, 150, 367, 149, 389, 150, 372, 
290, 149, 365, 149, 375, 150, 367, 149, 365, 149, 389, 149, 372, 
295, 149, 366, 149, 373, 149, 368, 150, 366, 150, 389, 150, 372, 
300, 150, 367, 149, 373, 149, 369, 150, 366, 149, 388, 149, 371, 
305, 150, 367, 149, 373, 149, 367, 149, 366, 150, 388, 150, 370, 
310, 150, 367, 149, 373, 150, 368, 150, 366, 150, 388, 150, 371, 
315, 150, 366, 149, 371, 150, 368, 149, 366, 150, 388, 150, 370, 
320, 149, 365, 149, 373, 149, 368, 149, 367, 150, 388, 150, 370, 
325, 150, 363, 150, 372, 150, 367, 149, 367, 150, 386, 149, 369, 
330, 150, 363, 149, 370, 149, 367, 149, 365, 149, 388, 150, 370, 
