t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 460, 149, 460, 150, 450, 150, 435, 150, 450, 150, 424, 
10, 150, 458, 149, 459, 150, 448, 149, 437, 150, 451, 149, 424, 
15, 150, 458, 149, 460, 150, 446, 150, 435, 150, 454, 150, 424, 
20, 149, 459, 149, 461, 150, 448, 149, 439, 150, 452, 150, 426, 
25, 150, 459, 149, 461, 149, 447, 150, 439, 150, 451, 150, 427, 
30, 150, 458, 149, 461, 149, 447, 150, 439, 150, 452, 150, 426, 
35, 150, 450, 149, 452, 150, 440, 149, 430, 149, 444, 150, 423, 
40, 149, 440, 149, 441, 150, 431, 150, 420, 150, 432, 149, 414, 
45, 149, 427, 149, 427, 150, 421, 150, 413, 150, 426, 150, 410, 
50, 150, 420, 149, 421, 150, 418, 150, 407, 150, 423, 150, 406, 
55, 150, 419, 149, 423, 150, 418, 150, 407, 150, 422, 150, 406, 
60, 150, 422, 149, 422, 149, 417, 149, 409, 150, 421, 150, 406, 
65, 150, 422, 149, 424, 150, 417, 149, 406, 150, 422, 150, 404, 
70, 150, 422, 149, 425, 149, 419, 149, 409, 150, 422, 150, 405, 
75, 150, 421, 149, 425, 150, 417, 149, 408, 150, 420, 150, 405, 
80, 150, 420, 149, 424, 150, 416, 151, 410, 150, 423, 150, 404, 
85, 150, 421, 149, 425, 150, 416, 149, 405, 149, 419, 150, 404, 
90, 150, 420, 149, 425, 149, 415, 149, 407, 150, 419, 149, 403, 
95, 150, 420, 149, 425, 149, 414, 149, 404, 149, 418, 150, 401, 
100, 150, 419, 149, 424, 150, 414, 149, 403, 149, 418, 150, 404, 
105, 150, 419, 149, 425, 150, 414, 150, 404, 150, 417, 150, 404, 
110, 150, 418, 149, 425, 149, 413, 150, 403, 149, 419, 150, 406, 
115, 150, 418, 149, 423, 149, 412, 149, 401, 150, 419, 150, 405, 
120, 150, 415, 149, 424, 150, 412, 150, 401, 150, 420, 150, 406, 
125, 150, 414, 149, 425, 150, 410, 149, 401, 150, 420, 149, 404, 
130, 150, 414, 149, 425, 150, 408, 149, 400, 150, 422, 150, 405, 
135, 150, 416, 149, 425, 150, 410, 150, 399, 150, 422, 150, 403, 
140, 150, 414, 149, 425, 149, 408, 150, 400, 150, 421, 150, 406, 
145, 150, 414, 149, 425, 150, 407, 149, 400, 149, 423, 150, 402, 
150, 150, 416, 149, 424, 149, 409, 150, 398, 149, 421, 150, 402, 
155, 150, 415, 149, 425, 150, 408, 150, 400, 150, 419, 149, 402, 
160, 150, 416, 150, 425, 149, 406, 149, 398, 149, 420, 150, 403, 
165, 150, 415, 149, 422, 150, 408, 150, 401, 149, 421, 149, 401, 
170, 150, 416, 149, 421, 150, 410, 149, 401, 150, 420, 150, 404, 
175, 150, 413, 150, 420, 150, 409, 149, 401, 150, 419, 149, 402, 
180, 150, 416, 149, 420, 150, 408, 150, 401, 150, 420, 150, 401, 
185, 150, 414, 150, 422, 150, 408, 149, 401, 150, 418, 150, 403, 
190, 150, 415, 149, 421, 150, 409, 149, 401, 150, 416, 150, 403, 
195, 149, 414, 149, 421, 150, 406, 150, 400, 150, 418, 150, 400, 
200, 150, 413, 150, 421, 150, 407, 149, 400, 150, 416, 150, 403, 
205, 149, 414, 149, 421, 150, 407, 150, 400, 150, 416, 150, 403, 
210, 150, 415, 149, 420, 150, 405, 150, 402, 150, 418, 150, 401, 
215, 150, 415, 149, 419, 150, 405, 150, 399, 150, 415, 150, 399, 
220, 150, 415, 149, 419, 150, 406, 150, 402, 150, 416, 150, 401, 
225, 150, 416, 149, 420, 150, 407, 150, 400, 150, 417, 150, 400, 
230, 149, 416, 150, 420, 150, 406, 150, 399, 150, 417, 150, 399, 
235, 150, 417, 149, 419, 150, 406, 150, 403, 149, 417, 150, 399, 
240, 149, 414, 149, 419, 149, 406, 149, 401, 150, 419, 150, 402, 
245, 150, 416, 149, 418, 150, 404, 150, 402, 150, 417, 150, 398, 
250, 150, 416, 150, 420, 150, 406, 149, 400, 150, 417, 150, 399, 
255, 150, 416, 149, 419, 149, 406, 149, 401, 150, 415, 150, 399, 
260, 150, 417, 149, 420, 150, 404, 149, 401, 150, 416, 149, 398, 
265, 150, 417, 150, 419, 150, 406, 149, 399, 150, 417, 149, 398, 
270, 150, 417, 149, 419, 150, 406, 150, 401, 150, 415, 150, 399, 
275, 150, 417, 149, 419, 149, 405, 149, 399, 149, 416, 150, 398, 
280, 150, 416, 149, 419, 150, 404, 150, 399, 149, 416, 149, 396, 
285, 150, 415, 149, 417, 150, 404, 150, 400, 150, 416, 150, 398, 
290, 149, 417, 149, 417, 149, 405, 149, 400, 149, 415, 150, 399, 
295, 150, 415, 149, 418, 149, 404, 149, 400, 150, 415, 149, 397, 
300, 150, 419, 150, 418, 149, 406, 149, 399, 150, 416, 150, 399, 
305, 150, 416, 149, 416, 149, 404, 150, 400, 150, 414, 149, 396, 
310, 150, 418, 150, 418, 150, 403, 150, 401, 150, 412, 150, 398, 
315, 149, 418, 149, 417, 150, 404, 150, 399, 150, 414, 150, 397, 
320, 150, 417, 149, 416, 150, 403, 149, 398, 150, 413, 150, 397, 
325, 150, 416, 149, 416, 149, 405, 149, 398, 150, 414, 150, 399, 
330, 150, 416, 149, 416, 150, 404, 150, 399, 150, 416, 149, 397, 
