t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 393, 149, 397, 150, 395, 149, 389, 150, 407, 150, 395, 
10, 149, 393, 149, 397, 150, 394, 149, 389, 150, 408, 150, 396, 
15, 149, 392, 150, 399, 150, 393, 149, 387, 150, 409, 150, 397, 
20, 150, 391, 149, 399, 150, 395, 149, 388, 149, 409, 149, 394, 
25, 150, 392, 149, 398, 150, 395, 149, 388, 150, 408, 150, 394, 
30, 150, 390, 149, 399, 149, 395, 149, 390, 149, 408, 150, 396, 
35, 150, 390, 149, 394, 149, 392, 149, 386, 150, 404, 150, 391, 
40, 149, 385, 150, 393, 150, 388, 149, 382, 150, 401, 150, 389, 
45, 149, 383, 149, 391, 150, 386, 149, 378, 149, 399, 150, 387, 
50, 150, 385, 149, 390, 149, 386, 149, 377, 149, 397, 150, 384, 
55, 150, 385, 149, 390, 150, 386, 149, 377, 150, 398, 150, 385, 
60, 150, 385, 149, 390, 149, 384, 149, 376, 150, 398, 149, 384, 
65, 149, 385, 149, 389, 150, 385, 149, 379, 149, 399, 150, 383, 
70, 150, 385, 149, 391, 149, 385, 149, 379, 150, 399, 150, 384, 
75, 150, 384, 149, 390, 150, 386, 149, 376, 150, 399, 150, 386, 
80, 150, 383, 149, 390, 150, 386, 150, 379, 149, 400, 150, 384, 
85, 150, 383, 149, 391, 150, 387, 149, 379, 150, 399, 150, 384, 
90, 149, 380, 149, 390, 150, 387, 149, 377, 149, 400, 150, 384, 
95, 150, 383, 149, 390, 150, 386, 149, 378, 150, 399, 150, 384, 
100, 150, 383, 149, 389, 150, 387, 149, 376, 150, 399, 150, 382, 
105, 150, 383, 149, 392, 150, 387, 150, 378, 149, 400, 150, 384, 
110, 150, 385, 150, 391, 150, 385, 149, 377, 150, 402, 150, 384, 
115, 150, 387, 149, 392, 150, 387, 149, 377, 150, 401, 150, 382, 
120, 150, 388, 149, 390, 149, 385, 150, 377, 150, 400, 150, 382, 
125, 150, 388, 149, 392, 150, 383, 149, 377, 149, 402, 150, 380, 
130, 150, 386, 149, 393, 150, 383, 149, 378, 149, 401, 150, 380, 
135, 150, 386, 149, 394, 150, 383, 150, 377, 150, 402, 150, 381, 
140, 150, 386, 149, 393, 150, 382, 150, 375, 150, 402, 149, 380, 
145, 149, 385, 150, 394, 149, 381, 150, 378, 149, 402, 150, 378, 
150, 150, 386, 149, 394, 150, 380, 149, 375, 150, 402, 149, 378, 
155, 150, 386, 150, 393, 150, 380, 150, 373, 149, 400, 150, 380, 
160, 150, 386, 150, 393, 149, 378, 150, 375, 150, 400, 150, 377, 
165, 150, 384, 149, 394, 150, 379, 150, 374, 150, 399, 150, 377, 
170, 149, 382, 149, 392, 149, 377, 150, 373, 150, 400, 150, 378, 
175, 149, 381, 150, 391, 150, 377, 149, 373, 150, 400, 150, 378, 
180, 150, 381, 150, 391, 150, 377, 149, 373, 149, 399, 150, 377, 
185, 150, 380, 150, 391, 149, 377, 149, 373, 150, 399, 150, 379, 
190, 150, 380, 149, 390, 149, 375, 149, 372, 150, 397, 150, 378, 
195, 150, 381, 149, 390, 150, 377, 149, 371, 150, 397, 150, 377, 
200, 150, 380, 149, 389, 150, 377, 150, 369, 149, 397, 150, 376, 
205, 150, 380, 150, 389, 149, 374, 149, 369, 150, 396, 150, 375, 
210, 149, 379, 149, 389, 150, 376, 150, 371, 149, 395, 150, 374, 
215, 150, 379, 149, 388, 149, 376, 150, 370, 149, 395, 150, 377, 
220, 150, 377, 150, 388, 150, 374, 149, 369, 150, 395, 150, 375, 
225, 150, 377, 149, 387, 150, 375, 150, 370, 150, 395, 150, 373, 
230, 149, 376, 150, 387, 150, 376, 149, 370, 150, 394, 150, 375, 
235, 150, 378, 149, 386, 150, 375, 149, 367, 149, 394, 149, 374, 
240, 150, 376, 149, 386, 149, 374, 150, 368, 149, 393, 150, 373, 
245, 149, 374, 149, 386, 150, 374, 149, 366, 149, 393, 150, 374, 
250, 150, 374, 150, 385, 149, 375, 149, 369, 150, 391, 150, 375, 
255, 150, 376, 149, 385, 150, 373, 150, 369, 149, 389, 150, 373, 
260, 150, 376, 150, 385, 150, 373, 149, 368, 150, 391, 150, 372, 
265, 150, 375, 149, 385, 149, 373, 150, 364, 150, 391, 150, 371, 
270, 149, 377, 150, 384, 149, 373, 149, 369, 150, 391, 149, 371, 
275, 149, 376, 149, 383, 150, 371, 150, 368, 149, 391, 149, 372, 
280, 150, 375, 149, 383, 150, 374, 149, 366, 149, 388, 150, 370, 
285, 150, 375, 149, 382, 149, 373, 150, 365, 150, 390, 150, 371, 
290, 150, 375, 150, 382, 150, 370, 150, 366, 150, 389, 150, 371, 
295, 150, 371, 149, 382, 149, 373, 149, 366, 150, 391, 149, 369, 
300, 149, 375, 149, 382, 149, 373, 150, 367, 150, 389, 149, 370, 
305, 150, 373, 149, 381, 150, 372, 149, 365, 150, 390, 150, 372, 
310, 150, 373, 149, 382, 150, 372, 149, 366, 150, 390, 149, 371, 
315, 150, 373, 149, 381, 149, 373, 149, 366, 149, 389, 150, 372, 
320, 150, 373, 149, 381, 150, 371, 149, 367, 149, 390, 150, 372, 
325, 150, 372, 149, 381, 150, 373, 149, 367, 150, 389, 150, 370, 
330, 150, 373, 149, 380, 150, 373, 149, 366, 150, 387, 150, 372, 
