t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 380, 149, 384, 150, 379, 150, 375, 149, 390, 149, 381, 
10, 149, 378, 149, 384, 150, 378, 150, 372, 150, 388, 150, 377, 
15, 150, 375, 149, 381, 150, 375, 149, 372, 149, 385, 150, 378, 
20, 150, 373, 149, 382, 150, 376, 150, 371, 150, 386, 149, 377, 
25, 150, 373, 149, 382, 150, 376, 149, 371, 150, 384, 150, 378, 
30, 150, 373, 149, 383, 150, 377, 150, 370, 150, 386, 149, 376, 
35, 149, 374, 149, 383, 150, 377, 149, 372, 150, 386, 150, 379, 
40, 150, 375, 149, 383, 150, 378, 150, 376, 149, 388, 150, 379, 
45, 150, 375, 149, 385, 150, 378, 149, 375, 150, 387, 150, 378, 
50, 150, 378, 150, 385, 150, 380, 150, 375, 150, 385, 149, 379, 
55, 150, 380, 149, 387, 150, 379, 149, 376, 150, 388, 150, 382, 
60, 149, 379, 149, 388, 150, 380, 150, 378, 150, 389, 150, 382, 
65, 150, 380, 150, 388, 149, 379, 149, 376, 150, 389, 149, 380, 
70, 150, 380, 149, 389, 150, 379, 150, 379, 149, 389, 150, 381, 
75, 150, 377, 149, 390, 150, 377, 150, 378, 150, 390, 150, 382, 
80, 150, 379, 149, 389, 150, 377, 150, 377, 150, 390, 150, 381, 
85, 150, 381, 149, 391, 150, 378, 150, 378, 150, 390, 150, 382, 
90, 150, 381, 149, 391, 150, 378, 150, 379, 150, 393, 150, 383, 
95, 150, 381, 149, 390, 150, 378, 149, 379, 150, 392, 150, 383, 
100, 150, 381, 150, 392, 149, 378, 150, 376, 150, 392, 150, 381, 
105, 150, 382, 149, 392, 150, 376, 149, 376, 150, 392, 150, 381, 
110, 150, 382, 149, 390, 150, 376, 149, 376, 149, 392, 150, 382, 
115, 150, 381, 149, 390, 149, 375, 150, 374, 150, 391, 149, 381, 
120, 150, 382, 149, 389, 150, 373, 149, 375, 150, 393, 150, 380, 
125, 150, 382, 149, 389, 150, 374, 150, 374, 150, 392, 150, 380, 
130, 150, 381, 149, 388, 150, 374, 149, 372, 150, 391, 150, 377, 
135, 149, 381, 150, 388, 150, 373, 149, 374, 149, 391, 149, 379, 
140, 150, 381, 149, 387, 150, 373, 149, 372, 150, 392, 150, 377, 
145, 150, 380, 149, 386, 150, 371, 150, 372, 149, 390, 149, 378, 
150, 150, 380, 150, 386, 149, 371, 150, 372, 149, 390, 149, 377, 
155, 150, 380, 149, 385, 150, 372, 150, 370, 150, 389, 150, 379, 
160, 150, 381, 150, 386, 150, 370, 150, 367, 150, 387, 149, 377, 
165, 149, 382, 149, 384, 150, 369, 150, 368, 150, 388, 150, 377, 
170, 150, 382, 149, 384, 149, 369, 150, 368, 150, 388, 150, 378, 
175, 150, 381, 149, 383, 149, 369, 150, 367, 149, 386, 150, 377, 
180, 149, 382, 149, 381, 150, 367, 150, 368, 150, 385, 150, 377, 
185, 150, 381, 150, 380, 149, 367, 149, 366, 150, 384, 150, 378, 
190, 150, 381, 149, 380, 149, 366, 150, 366, 149, 385, 150, 375, 
195, 149, 381, 149, 380, 150, 367, 150, 366, 149, 383, 150, 376, 
200, 150, 380, 149, 379, 150, 366, 149, 366, 150, 382, 150, 376, 
205, 150, 380, 149, 378, 150, 365, 150, 364, 150, 384, 150, 377, 
210, 149, 381, 149, 378, 150, 364, 149, 361, 150, 380, 150, 375, 
215, 150, 379, 149, 376, 150, 362, 150, 362, 149, 379, 150, 376, 
220, 150, 378, 149, 375, 150, 363, 149, 362, 150, 378, 150, 375, 
225, 149, 379, 150, 376, 149, 361, 150, 361, 150, 378, 150, 374, 
230, 150, 379, 149, 376, 150, 360, 150, 361, 150, 378, 150, 375, 
235, 150, 379, 150, 375, 150, 360, 150, 361, 150, 378, 150, 374, 
240, 149, 377, 149, 373, 149, 360, 150, 358, 150, 376, 150, 372, 
245, 150, 377, 149, 374, 150, 359, 149, 358, 149, 376, 150, 373, 
250, 150, 378, 149, 372, 149, 358, 150, 358, 149, 376, 150, 373, 
255, 150, 378, 149, 372, 150, 359, 149, 355, 149, 374, 150, 371, 
260, 150, 377, 149, 372, 149, 357, 149, 355, 149, 375, 149, 371, 
265, 150, 377, 149, 371, 149, 357, 150, 355, 150, 375, 150, 372, 
270, 150, 377, 149, 371, 150, 358, 150, 355, 150, 373, 150, 371, 
275, 150, 377, 149, 370, 149, 355, 149, 352, 150, 371, 150, 368, 
280, 150, 373, 149, 370, 149, 354, 149, 353, 150, 371, 150, 369, 
285, 150, 374, 149, 371, 150, 355, 150, 352, 149, 370, 150, 368, 
290, 150, 373, 149, 369, 149, 356, 150, 351, 150, 369, 149, 365, 
295, 150, 374, 149, 370, 150, 354, 149, 352, 150, 370, 150, 367, 
300, 150, 375, 150, 369, 149, 354, 149, 352, 150, 368, 150, 366, 
305, 150, 375, 149, 369, 150, 354, 149, 351, 150, 367, 149, 364, 
310, 150, 375, 149, 368, 149, 354, 149, 349, 149, 367, 150, 365, 
315, 150, 375, 149, 367, 150, 353, 150, 349, 149, 366, 150, 364, 
320, 150, 374, 149, 367, 150, 354, 149, 348, 150, 366, 150, 363, 
325, 150, 374, 149, 367, 149, 351, 149, 348, 150, 365, 150, 362, 
330, 150, 373, 149, 366, 150, 352, 149, 348, 150, 365, 150, 362, 
