t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 403, 149, 396, 150, 391, 151, 391, 150, 420, 150, 405, 
10, 149, 405, 150, 396, 149, 394, 149, 388, 150, 420, 150, 403, 
15, 150, 405, 150, 396, 149, 395, 150, 386, 150, 420, 150, 404, 
20, 150, 408, 149, 396, 150, 397, 149, 387, 150, 420, 149, 404, 
25, 150, 409, 150, 395, 149, 394, 150, 388, 150, 421, 150, 404, 
30, 150, 410, 149, 396, 150, 397, 149, 387, 150, 421, 150, 402, 
35, 150, 411, 150, 394, 150, 395, 149, 387, 149, 421, 149, 404, 
40, 150, 410, 150, 395, 150, 395, 149, 386, 149, 420, 149, 407, 
45, 150, 412, 149, 392, 150, 393, 149, 386, 149, 418, 150, 403, 
50, 150, 413, 149, 392, 150, 392, 150, 386, 149, 419, 150, 404, 
55, 150, 415, 150, 392, 149, 390, 149, 382, 150, 418, 150, 404, 
60, 150, 414, 149, 392, 150, 390, 150, 386, 150, 419, 150, 404, 
65, 150, 406, 150, 390, 149, 390, 150, 385, 150, 418, 149, 404, 
70, 150, 399, 149, 389, 150, 388, 149, 382, 150, 416, 150, 402, 
75, 150, 394, 149, 387, 149, 385, 150, 384, 150, 416, 149, 399, 
80, 150, 391, 149, 385, 150, 383, 149, 383, 150, 415, 150, 397, 
85, 150, 389, 149, 383, 150, 383, 150, 382, 149, 413, 150, 392, 
90, 150, 389, 149, 382, 150, 383, 149, 381, 150, 411, 149, 395, 
95, 150, 388, 150, 380, 150, 379, 149, 381, 149, 409, 149, 395, 
100, 150, 389, 149, 380, 150, 379, 150, 381, 150, 408, 149, 396, 
105, 150, 389, 149, 379, 149, 380, 150, 380, 150, 408, 150, 397, 
110, 150, 390, 150, 379, 150, 377, 150, 381, 149, 408, 150, 396, 
115, 150, 389, 150, 380, 150, 378, 150, 382, 150, 406, 150, 394, 
120, 150, 390, 149, 379, 150, 379, 150, 378, 149, 406, 150, 395, 
125, 149, 391, 150, 380, 150, 377, 151, 382, 149, 405, 150, 396, 
130, 150, 392, 150, 378, 149, 377, 150, 380, 150, 408, 150, 395, 
135, 150, 392, 150, 380, 150, 379, 150, 378, 149, 405, 149, 397, 
140, 149, 393, 150, 379, 149, 378, 149, 378, 150, 408, 150, 397, 
145, 149, 395, 150, 380, 150, 377, 150, 380, 149, 407, 150, 401, 
150, 150, 397, 150, 380, 149, 378, 150, 380, 150, 408, 150, 397, 
155, 150, 399, 149, 380, 149, 377, 150, 380, 150, 409, 150, 397, 
160, 150, 401, 149, 380, 149, 376, 150, 381, 150, 409, 149, 401, 
165, 150, 401, 150, 381, 149, 376, 150, 384, 149, 411, 150, 400, 
170, 150, 401, 149, 381, 150, 378, 150, 386, 149, 409, 150, 403, 
175, 149, 402, 150, 381, 149, 377, 150, 383, 150, 411, 150, 402, 
180, 150, 402, 149, 383, 150, 378, 150, 386, 150, 411, 149, 401, 
185, 150, 403, 149, 381, 150, 378, 149, 384, 150, 410, 150, 402, 
190, 150, 403, 149, 382, 149, 377, 150, 386, 150, 412, 150, 402, 
195, 150, 403, 149, 384, 150, 379, 150, 387, 149, 410, 149, 402, 
200, 150, 403, 150, 386, 149, 379, 149, 386, 149, 411, 150, 403, 
205, 150, 402, 149, 385, 150, 381, 150, 386, 149, 409, 150, 405, 
210, 150, 403, 149, 385, 150, 380, 150, 387, 150, 410, 150, 403, 
215, 149, 403, 149, 387, 150, 380, 150, 387, 149, 408, 150, 402, 
220, 150, 402, 149, 385, 150, 379, 150, 385, 150, 409, 150, 404, 
225, 150, 401, 150, 385, 149, 380, 149, 386, 149, 408, 150, 405, 
230, 149, 402, 149, 386, 150, 379, 149, 386, 150, 409, 150, 403, 
235, 149, 400, 150, 387, 150, 379, 150, 388, 149, 408, 150, 402, 
240, 149, 400, 150, 386, 150, 379, 150, 387, 150, 407, 150, 403, 
245, 150, 400, 150, 388, 150, 381, 150, 387, 149, 408, 149, 402, 
250, 150, 399, 149, 387, 149, 381, 150, 384, 150, 406, 149, 402, 
255, 150, 399, 149, 388, 150, 381, 150, 387, 150, 406, 149, 401, 
260, 150, 399, 150, 387, 150, 380, 150, 387, 150, 407, 150, 401, 
265, 149, 398, 149, 387, 150, 381, 150, 384, 150, 404, 150, 402, 
270, 150, 398, 149, 389, 149, 380, 150, 385, 150, 406, 150, 402, 
275, 150, 398, 149, 387, 150, 380, 150, 385, 149, 405, 150, 403, 
280, 150, 397, 149, 388, 150, 380, 150, 387, 150, 402, 150, 400, 
285, 149, 398, 150, 385, 150, 381, 150, 386, 149, 404, 149, 399, 
290, 150, 397, 149, 385, 150, 380, 150, 385, 150, 403, 149, 400, 
295, 150, 396, 150, 385, 150, 381, 149, 385, 150, 403, 150, 399, 
300, 150, 396, 149, 385, 150, 382, 149, 384, 149, 402, 150, 402, 
305, 150, 396, 150, 386, 149, 381, 150, 384, 150, 402, 150, 399, 
310, 150, 396, 149, 385, 149, 379, 150, 385, 150, 402, 150, 399, 
315, 150, 396, 150, 385, 150, 380, 150, 384, 149, 400, 150, 399, 
320, 150, 396, 149, 384, 149, 379, 150, 385, 150, 401, 150, 398, 
325, 150, 395, 149, 385, 150, 378, 150, 383, 149, 400, 150, 397, 
330, 149, 395, 149, 385, 150, 379, 150, 384, 149, 401, 150, 395, 
