t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 7, 149, 419, 150, 424, 150, 418, 149, 430, 150, 214, 
10, 149, 6, 149, 420, 150, 424, 149, 420, 150, 431, 150, 213, 
15, 149, 7, 149, 421, 149, 426, 149, 420, 150, 431, 150, 212, 
20, 150, 7, 149, 422, 150, 424, 149, 418, 149, 432, 150, 213, 
25, 150, 7, 149, 420, 150, 426, 150, 420, 150, 430, 149, 211, 
30, 150, 6, 149, 420, 150, 425, 149, 421, 150, 431, 150, 212, 
35, 150, 6, 149, 420, 150, 426, 149, 419, 149, 431, 150, 211, 
40, 150, 6, 150, 419, 149, 425, 149, 421, 150, 432, 150, 212, 
45, 149, 6, 149, 418, 150, 422, 149, 420, 150, 431, 150, 211, 
50, 149, 7, 149, 415, 149, 423, 149, 419, 149, 430, 150, 213, 
55, 149, 6, 149, 410, 149, 418, 150, 414, 149, 427, 150, 207, 
60, 149, 6, 149, 406, 150, 412, 150, 410, 150, 423, 150, 206, 
65, 149, 6, 150, 401, 149, 404, 150, 403, 150, 417, 150, 203, 
70, 149, 6, 149, 397, 150, 401, 150, 401, 149, 411, 150, 361, 
75, 149, 6, 149, 394, 149, 398, 149, 397, 150, 411, 149, 364, 
80, 150, 5, 149, 391, 150, 394, 149, 392, 149, 408, 150, 363, 
85, 150, 6, 149, 389, 150, 392, 149, 391, 149, 405, 150, 359, 
90, 150, 6, 149, 387, 150, 391, 150, 391, 150, 403, 150, 356, 
95, 150, 189, 149, 386, 150, 389, 150, 389, 150, 404, 150, 356, 
100, 150, 194, 149, 387, 149, 387, 150, 388, 149, 402, 150, 354, 
105, 150, 190, 149, 386, 150, 386, 150, 389, 150, 401, 149, 351, 
110, 150, 186, 150, 385, 150, 386, 149, 386, 150, 400, 150, 353, 
115, 150, 182, 149, 385, 150, 385, 150, 388, 150, 400, 150, 354, 
120, 150, 181, 149, 384, 150, 384, 150, 388, 150, 399, 149, 348, 
125, 150, 178, 150, 383, 150, 384, 150, 386, 150, 401, 150, 344, 
130, 150, 177, 149, 384, 150, 384, 150, 384, 149, 400, 149, 342, 
135, 150, 173, 149, 383, 150, 384, 150, 386, 149, 402, 150, 338, 
140, 150, 168, 149, 382, 149, 382, 150, 384, 150, 402, 150, 337, 
145, 150, 163, 149, 383, 149, 385, 150, 384, 150, 402, 150, 332, 
150, 150, 159, 149, 384, 150, 386, 150, 385, 150, 404, 150, 331, 
155, 150, 348, 149, 384, 150, 386, 150, 384, 150, 404, 149, 324, 
160, 150, 345, 149, 385, 150, 386, 150, 382, 150, 403, 150, 322, 
165, 150, 340, 149, 385, 149, 385, 150, 383, 149, 404, 150, 318, 
170, 150, 331, 150, 387, 150, 388, 149, 383, 149, 404, 150, 315, 
175, 149, 323, 149, 388, 150, 387, 151, 384, 150, 403, 149, 317, 
180, 150, 318, 150, 387, 149, 387, 149, 382, 149, 404, 149, 315, 
185, 150, 315, 149, 386, 150, 389, 150, 385, 149, 404, 149, 313, 
190, 150, 312, 149, 387, 150, 389, 150, 384, 150, 405, 149, 314, 
195, 150, 308, 149, 384, 149, 388, 149, 381, 150, 404, 150, 312, 
200, 150, 304, 149, 388, 150, 389, 150, 385, 150, 404, 149, 310, 
205, 150, 299, 150, 386, 149, 388, 150, 384, 150, 405, 150, 309, 
210, 150, 291, 149, 386, 150, 387, 150, 382, 150, 405, 150, 309, 
215, 150, 288, 150, 387, 150, 388, 151, 386, 149, 404, 150, 307, 
220, 150, 282, 149, 386, 149, 387, 150, 386, 150, 404, 150, 306, 
225, 150, 274, 149, 385, 150, 387, 150, 384, 149, 403, 150, 307, 
230, 150, 269, 149, 386, 149, 385, 150, 383, 149, 401, 150, 308, 
235, 150, 263, 149, 385, 150, 387, 150, 384, 150, 402, 150, 306, 
240, 150, 259, 149, 384, 150, 385, 150, 384, 150, 403, 149, 306, 
245, 150, 254, 150, 384, 150, 384, 151, 384, 149, 402, 150, 306, 
250, 150, 249, 149, 383, 150, 385, 150, 384, 150, 401, 149, 304, 
255, 150, 244, 150, 384, 149, 386, 149, 382, 149, 401, 149, 302, 
260, 150, 241, 149, 384, 150, 384, 150, 384, 150, 402, 150, 302, 
265, 150, 236, 149, 381, 150, 383, 149, 380, 150, 399, 149, 301, 
270, 150, 233, 149, 383, 150, 385, 151, 386, 150, 399, 150, 298, 
275, 150, 230, 149, 382, 150, 384, 150, 381, 150, 399, 150, 299, 
280, 149, 226, 149, 382, 149, 383, 149, 381, 150, 399, 150, 300, 
285, 150, 224, 149, 383, 150, 382, 150, 382, 150, 397, 149, 297, 
290, 150, 222, 149, 382, 149, 381, 149, 381, 149, 397, 150, 296, 
295, 150, 218, 149, 380, 150, 382, 149, 381, 150, 397, 150, 295, 
300, 150, 217, 150, 383, 149, 381, 150, 382, 150, 396, 150, 294, 
305, 150, 214, 149, 381, 150, 379, 150, 380, 150, 396, 150, 294, 
310, 150, 214, 149, 380, 150, 381, 150, 381, 149, 395, 150, 293, 
315, 150, 211, 149, 380, 149, 381, 149, 380, 149, 394, 150, 292, 
320, 150, 209, 149, 380, 150, 379, 150, 382, 150, 394, 150, 293, 
325, 150, 208, 149, 378, 150, 379, 150, 380, 149, 392, 149, 293, 
330, 150, 205, 149, 380, 150, 381, 149, 378, 150, 393, 150, 291, 
