t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 376, 149, 377, 150, 369, 150, 370, 149, 391, 150, 379, 
10, 150, 378, 150, 380, 149, 372, 149, 370, 150, 392, 150, 381, 
15, 150, 379, 149, 380, 149, 372, 149, 368, 150, 392, 149, 379, 
20, 150, 380, 149, 379, 149, 373, 150, 369, 150, 392, 149, 380, 
25, 150, 381, 150, 378, 149, 371, 149, 368, 150, 391, 150, 379, 
30, 150, 384, 149, 378, 150, 373, 150, 368, 150, 390, 150, 379, 
35, 150, 386, 149, 377, 149, 371, 149, 368, 149, 388, 150, 381, 
40, 150, 388, 149, 377, 149, 371, 149, 368, 150, 389, 149, 379, 
45, 150, 388, 149, 376, 150, 371, 150, 367, 150, 388, 150, 380, 
50, 150, 387, 149, 374, 149, 369, 150, 366, 150, 387, 150, 382, 
55, 150, 384, 149, 374, 150, 368, 150, 365, 149, 385, 150, 383, 
60, 149, 378, 149, 370, 149, 365, 150, 364, 150, 383, 149, 378, 
65, 149, 368, 149, 367, 150, 363, 150, 360, 149, 382, 150, 373, 
70, 150, 360, 150, 365, 149, 361, 150, 358, 150, 380, 150, 369, 
75, 150, 356, 149, 363, 150, 361, 149, 357, 150, 378, 149, 367, 
80, 150, 354, 149, 362, 150, 358, 150, 355, 150, 375, 150, 363, 
85, 149, 353, 149, 361, 149, 357, 150, 354, 150, 374, 150, 364, 
90, 150, 353, 149, 360, 149, 357, 149, 354, 150, 372, 149, 364, 
95, 150, 352, 149, 357, 150, 357, 150, 352, 149, 372, 150, 366, 
100, 150, 353, 150, 358, 150, 354, 150, 353, 150, 372, 149, 365, 
105, 150, 351, 149, 358, 150, 356, 149, 351, 150, 371, 150, 365, 
110, 150, 351, 150, 357, 149, 356, 150, 352, 150, 372, 149, 368, 
115, 149, 351, 149, 354, 150, 355, 150, 353, 150, 372, 149, 372, 
120, 150, 352, 150, 357, 149, 355, 150, 354, 150, 371, 150, 370, 
125, 150, 351, 149, 356, 150, 355, 149, 352, 150, 372, 150, 373, 
130, 150, 352, 150, 356, 149, 358, 150, 354, 150, 374, 149, 373, 
135, 150, 350, 149, 355, 150, 357, 150, 357, 149, 373, 150, 374, 
140, 150, 351, 149, 357, 150, 359, 150, 356, 150, 372, 149, 373, 
145, 150, 350, 149, 357, 150, 361, 150, 355, 150, 372, 150, 374, 
150, 149, 351, 150, 359, 149, 361, 150, 357, 150, 372, 150, 373, 
155, 149, 352, 149, 360, 150, 363, 150, 356, 149, 373, 150, 374, 
160, 150, 351, 149, 360, 149, 363, 149, 356, 150, 371, 150, 374, 
165, 150, 353, 149, 361, 150, 364, 150, 356, 150, 370, 150, 373, 
170, 150, 352, 150, 361, 149, 364, 150, 357, 150, 371, 149, 371, 
175, 150, 353, 149, 361, 150, 363, 150, 358, 150, 371, 150, 372, 
180, 150, 352, 150, 362, 150, 363, 149, 356, 150, 369, 150, 370, 
185, 149, 353, 149, 361, 150, 365, 150, 356, 149, 371, 150, 370, 
190, 150, 352, 150, 363, 149, 363, 150, 356, 149, 370, 150, 371, 
195, 150, 354, 149, 361, 150, 364, 149, 356, 150, 367, 149, 370, 
200, 150, 354, 149, 363, 149, 363, 150, 358, 150, 370, 150, 368, 
205, 149, 354, 149, 362, 150, 365, 149, 354, 149, 369, 150, 368, 
210, 149, 354, 149, 363, 149, 363, 150, 357, 150, 368, 150, 369, 
215, 150, 355, 149, 362, 150, 362, 149, 357, 150, 367, 149, 367, 
220, 150, 355, 149, 362, 149, 364, 150, 357, 149, 366, 150, 366, 
225, 149, 355, 149, 363, 149, 364, 149, 355, 150, 367, 150, 367, 
230, 150, 355, 149, 362, 149, 362, 150, 357, 149, 366, 150, 368, 
235, 149, 355, 149, 362, 150, 364, 150, 354, 150, 367, 150, 365, 
240, 150, 355, 149, 362, 149, 362, 150, 356, 150, 366, 150, 367, 
245, 150, 356, 149, 361, 150, 363, 149, 356, 149, 366, 150, 367, 
250, 150, 355, 149, 362, 149, 361, 149, 355, 150, 364, 150, 367, 
255, 150, 356, 149, 364, 150, 361, 150, 354, 150, 364, 150, 363, 
260, 150, 357, 149, 361, 149, 360, 150, 356, 150, 364, 150, 363, 
265, 150, 356, 149, 362, 150, 361, 149, 355, 149, 363, 150, 363, 
270, 149, 355, 149, 362, 149, 361, 150, 355, 150, 364, 150, 366, 
275, 150, 356, 149, 363, 150, 359, 150, 354, 149, 362, 150, 362, 
280, 150, 356, 149, 361, 150, 360, 150, 356, 149, 362, 149, 362, 
285, 150, 356, 149, 361, 150, 361, 150, 354, 150, 363, 150, 363, 
290, 150, 355, 150, 362, 149, 360, 149, 355, 150, 362, 150, 362, 
295, 150, 356, 149, 360, 150, 360, 150, 355, 150, 360, 150, 363, 
300, 150, 355, 149, 360, 150, 361, 149, 354, 150, 362, 150, 362, 
305, 150, 355, 149, 360, 150, 361, 150, 354, 150, 361, 150, 361, 
310, 150, 355, 149, 359, 149, 360, 150, 356, 150, 361, 150, 361, 
315, 150, 353, 149, 360, 150, 360, 150, 355, 149, 360, 150, 360, 
320, 150, 355, 149, 360, 149, 359, 150, 355, 150, 360, 150, 361, 
325, 150, 352, 149, 359, 150, 359, 150, 354, 149, 360, 150, 361, 
330, 150, 354, 149, 360, 149, 359, 150, 356, 149, 361, 149, 360, 
