t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 380, 149, 379, 150, 381, 150, 382, 150, 392, 150, 384, 
10, 149, 380, 149, 378, 150, 382, 149, 381, 150, 394, 149, 381, 
15, 150, 381, 149, 378, 150, 384, 150, 382, 150, 392, 150, 380, 
20, 150, 380, 149, 379, 150, 382, 149, 381, 150, 393, 150, 379, 
25, 150, 380, 149, 378, 150, 382, 150, 382, 150, 392, 149, 379, 
30, 150, 378, 149, 379, 150, 382, 150, 381, 150, 391, 149, 379, 
35, 149, 379, 149, 378, 149, 382, 149, 384, 150, 391, 150, 379, 
40, 150, 378, 149, 376, 150, 381, 149, 381, 149, 392, 150, 380, 
45, 150, 377, 149, 377, 150, 383, 149, 380, 150, 392, 149, 379, 
50, 150, 374, 150, 376, 150, 381, 149, 381, 149, 390, 150, 378, 
55, 150, 373, 149, 376, 149, 377, 149, 379, 149, 389, 150, 378, 
60, 150, 369, 149, 374, 149, 376, 149, 375, 149, 387, 150, 377, 
65, 150, 365, 149, 371, 149, 374, 150, 373, 149, 386, 149, 374, 
70, 150, 363, 150, 368, 150, 372, 150, 371, 149, 384, 150, 372, 
75, 150, 361, 149, 366, 149, 369, 150, 370, 150, 381, 150, 371, 
80, 150, 360, 149, 365, 150, 367, 150, 368, 149, 381, 150, 372, 
85, 150, 358, 149, 363, 149, 366, 149, 368, 150, 380, 149, 370, 
90, 149, 358, 150, 362, 150, 366, 149, 367, 149, 380, 150, 371, 
95, 150, 358, 149, 361, 150, 364, 150, 368, 150, 380, 150, 369, 
100, 149, 359, 149, 361, 149, 363, 150, 367, 150, 378, 149, 369, 
105, 150, 358, 149, 359, 150, 363, 149, 365, 150, 379, 150, 369, 
110, 149, 358, 150, 359, 150, 364, 150, 368, 149, 378, 150, 369, 
115, 150, 357, 149, 357, 150, 364, 149, 364, 150, 378, 150, 370, 
120, 150, 357, 150, 357, 149, 362, 150, 364, 149, 376, 149, 368, 
125, 150, 358, 149, 357, 150, 364, 150, 365, 149, 377, 150, 367, 
130, 150, 358, 149, 357, 150, 364, 149, 365, 150, 374, 150, 366, 
135, 150, 359, 149, 357, 149, 363, 149, 363, 150, 375, 150, 365, 
140, 150, 358, 149, 358, 150, 365, 149, 364, 149, 375, 150, 365, 
145, 150, 359, 149, 358, 149, 364, 150, 366, 149, 375, 149, 363, 
150, 150, 359, 150, 358, 150, 363, 149, 365, 150, 376, 150, 364, 
155, 150, 358, 149, 358, 149, 364, 150, 366, 150, 375, 149, 363, 
160, 150, 359, 150, 360, 150, 366, 150, 368, 149, 375, 150, 363, 
165, 150, 359, 149, 359, 150, 366, 149, 367, 150, 375, 150, 363, 
170, 150, 357, 149, 359, 150, 365, 150, 365, 149, 376, 150, 364, 
175, 149, 358, 149, 359, 150, 366, 149, 365, 150, 375, 149, 363, 
180, 150, 360, 149, 360, 149, 364, 150, 367, 150, 375, 150, 363, 
185, 150, 359, 149, 360, 150, 367, 150, 364, 149, 375, 149, 363, 
190, 149, 359, 149, 360, 150, 367, 150, 367, 150, 374, 150, 361, 
195, 150, 359, 149, 360, 149, 367, 149, 367, 150, 374, 150, 362, 
200, 150, 359, 149, 360, 149, 367, 150, 365, 150, 376, 150, 362, 
205, 150, 357, 149, 360, 149, 365, 150, 364, 150, 375, 149, 362, 
210, 150, 360, 149, 361, 150, 367, 150, 366, 150, 373, 150, 362, 
215, 150, 360, 149, 361, 149, 368, 150, 366, 150, 375, 149, 360, 
220, 149, 359, 149, 360, 150, 365, 149, 365, 150, 377, 150, 362, 
225, 150, 358, 149, 361, 150, 367, 150, 363, 150, 376, 149, 360, 
230, 150, 358, 150, 362, 150, 367, 150, 365, 150, 374, 150, 359, 
235, 150, 360, 149, 362, 149, 367, 150, 365, 149, 375, 150, 361, 
240, 150, 358, 149, 361, 150, 366, 150, 365, 150, 376, 150, 361, 
245, 150, 360, 149, 361, 150, 368, 150, 363, 150, 375, 149, 360, 
250, 150, 360, 149, 361, 150, 368, 149, 362, 150, 375, 150, 360, 
255, 150, 359, 149, 362, 149, 367, 150, 363, 150, 375, 150, 360, 
260, 150, 360, 149, 362, 150, 367, 150, 361, 149, 375, 150, 362, 
265, 150, 361, 149, 361, 150, 368, 150, 363, 150, 374, 149, 360, 
270, 150, 360, 150, 362, 150, 368, 150, 364, 150, 374, 150, 360, 
275, 149, 360, 149, 361, 149, 368, 149, 362, 150, 374, 149, 361, 
280, 150, 360, 149, 362, 150, 367, 150, 363, 150, 373, 150, 359, 
285, 150, 360, 149, 362, 149, 368, 149, 362, 150, 374, 149, 360, 
290, 150, 359, 149, 360, 149, 367, 149, 362, 150, 376, 149, 360, 
295, 150, 360, 149, 361, 150, 366, 150, 361, 150, 374, 149, 359, 
300, 150, 360, 150, 363, 150, 367, 150, 361, 150, 373, 150, 358, 
305, 150, 359, 149, 361, 150, 367, 150, 361, 150, 375, 150, 361, 
310, 150, 361, 149, 363, 149, 366, 150, 360, 150, 374, 150, 360, 
315, 150, 361, 149, 360, 150, 366, 150, 359, 149, 374, 149, 360, 
320, 150, 359, 149, 360, 149, 365, 150, 361, 150, 372, 150, 359, 
325, 150, 360, 149, 361, 149, 366, 150, 361, 150, 373, 149, 359, 
330, 150, 359, 149, 360, 150, 364, 149, 360, 150, 374, 150, 359, 
