t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 382, 149, 382, 149, 382, 150, 370, 150, 396, 149, 391, 
10, 149, 381, 149, 384, 150, 385, 150, 373, 149, 398, 150, 390, 
15, 150, 383, 149, 382, 150, 385, 149, 373, 149, 399, 150, 393, 
20, 150, 384, 149, 384, 150, 382, 150, 377, 149, 397, 149, 391, 
25, 150, 384, 149, 382, 150, 384, 150, 376, 150, 398, 149, 391, 
30, 149, 385, 150, 382, 150, 385, 150, 380, 149, 397, 150, 390, 
35, 150, 388, 149, 382, 150, 385, 150, 379, 149, 395, 149, 391, 
40, 150, 390, 149, 382, 150, 385, 149, 379, 150, 397, 149, 390, 
45, 150, 388, 149, 381, 150, 386, 149, 377, 149, 396, 150, 391, 
50, 150, 385, 149, 381, 150, 385, 149, 372, 149, 393, 150, 389, 
55, 150, 381, 149, 380, 150, 383, 150, 375, 149, 392, 149, 389, 
60, 150, 373, 149, 378, 150, 381, 149, 366, 150, 389, 149, 388, 
65, 150, 366, 149, 376, 150, 380, 149, 359, 150, 389, 150, 386, 
70, 150, 363, 149, 372, 149, 379, 150, 357, 150, 389, 150, 385, 
75, 150, 362, 150, 371, 149, 376, 150, 355, 149, 386, 149, 383, 
80, 150, 361, 149, 371, 150, 375, 149, 350, 150, 387, 150, 383, 
85, 149, 361, 149, 370, 150, 375, 150, 347, 149, 385, 150, 382, 
90, 150, 361, 150, 369, 150, 374, 150, 342, 149, 384, 149, 382, 
95, 150, 360, 150, 369, 149, 372, 150, 339, 150, 384, 150, 381, 
100, 149, 360, 149, 368, 150, 371, 149, 335, 150, 382, 150, 383, 
105, 150, 359, 150, 368, 150, 371, 149, 327, 150, 382, 150, 379, 
110, 150, 360, 149, 365, 150, 371, 150, 329, 150, 381, 150, 380, 
115, 150, 359, 149, 366, 150, 369, 150, 325, 150, 380, 149, 378, 
120, 150, 357, 150, 365, 150, 369, 150, 320, 149, 381, 150, 378, 
125, 150, 358, 149, 363, 150, 370, 150, 311, 150, 379, 149, 377, 
130, 150, 357, 149, 365, 149, 368, 150, 306, 149, 379, 150, 378, 
135, 150, 358, 149, 364, 150, 366, 149, 303, 150, 379, 149, 377, 
140, 150, 359, 150, 363, 149, 367, 150, 296, 150, 378, 149, 377, 
145, 150, 359, 149, 363, 150, 368, 150, 293, 150, 379, 149, 377, 
150, 150, 358, 149, 364, 149, 367, 150, 286, 149, 376, 150, 378, 
155, 150, 359, 149, 364, 150, 367, 150, 285, 150, 375, 149, 378, 
160, 150, 361, 149, 364, 150, 368, 149, 282, 149, 376, 150, 378, 
165, 150, 361, 150, 364, 150, 368, 150, 278, 150, 376, 150, 377, 
170, 150, 362, 150, 365, 149, 369, 149, 274, 149, 377, 150, 378, 
175, 150, 362, 149, 366, 149, 369, 150, 275, 150, 376, 149, 379, 
180, 150, 362, 149, 368, 149, 369, 149, 273, 150, 375, 150, 377, 
185, 150, 362, 149, 368, 150, 370, 150, 274, 149, 377, 150, 378, 
190, 149, 362, 150, 370, 149, 369, 150, 272, 149, 376, 150, 379, 
195, 150, 363, 149, 369, 150, 371, 150, 272, 150, 375, 149, 379, 
200, 150, 363, 149, 369, 150, 371, 149, 271, 149, 375, 150, 378, 
205, 150, 364, 149, 370, 149, 370, 150, 272, 150, 377, 150, 379, 
210, 150, 364, 149, 370, 150, 370, 149, 270, 150, 375, 150, 379, 
215, 150, 364, 149, 370, 150, 371, 150, 271, 150, 374, 149, 378, 
220, 149, 364, 149, 370, 150, 371, 149, 270, 150, 374, 150, 378, 
225, 150, 365, 149, 371, 150, 372, 149, 266, 150, 375, 150, 376, 
230, 150, 364, 149, 370, 149, 371, 149, 269, 150, 374, 150, 379, 
235, 150, 365, 149, 372, 149, 369, 150, 271, 150, 374, 149, 378, 
240, 150, 365, 149, 372, 150, 372, 149, 271, 150, 374, 150, 376, 
245, 150, 364, 149, 369, 150, 372, 150, 268, 149, 375, 150, 376, 
250, 150, 364, 149, 370, 150, 370, 150, 265, 150, 374, 150, 378, 
255, 150, 365, 150, 371, 149, 371, 150, 265, 150, 373, 150, 376, 
260, 150, 365, 149, 369, 149, 369, 150, 268, 150, 372, 150, 375, 
265, 150, 364, 149, 369, 150, 370, 150, 269, 150, 375, 150, 376, 
270, 149, 365, 149, 370, 149, 370, 149, 265, 149, 374, 150, 376, 
275, 150, 365, 149, 370, 149, 368, 150, 262, 149, 373, 150, 374, 
280, 150, 365, 149, 370, 150, 369, 149, 261, 150, 373, 150, 374, 
285, 150, 365, 149, 371, 149, 369, 150, 261, 149, 373, 150, 375, 
290, 150, 365, 149, 370, 150, 369, 149, 260, 150, 373, 150, 375, 
295, 149, 364, 149, 369, 150, 369, 150, 261, 150, 372, 149, 374, 
300, 150, 365, 149, 368, 149, 369, 149, 259, 150, 373, 150, 373, 
305, 149, 364, 149, 368, 149, 369, 150, 259, 150, 373, 150, 374, 
310, 150, 364, 150, 368, 150, 369, 149, 257, 150, 373, 150, 374, 
315, 150, 363, 149, 368, 150, 368, 150, 257, 149, 373, 149, 373, 
320, 149, 362, 149, 366, 150, 369, 150, 257, 150, 373, 150, 373, 
325, 150, 363, 150, 366, 149, 369, 150, 254, 149, 372, 150, 372, 
330, 150, 364, 150, 368, 150, 367, 149, 256, 150, 373, 150, 373, 
