t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 400, 149, 389, 150, 381, 150, 379, 150, 404, 150, 390, 
10, 150, 399, 149, 389, 150, 382, 150, 382, 150, 404, 150, 390, 
15, 150, 399, 149, 389, 150, 382, 150, 381, 149, 404, 149, 391, 
20, 150, 400, 149, 389, 150, 381, 149, 380, 149, 406, 149, 391, 
25, 150, 399, 149, 390, 149, 383, 150, 381, 150, 406, 150, 390, 
30, 150, 400, 150, 391, 150, 382, 150, 382, 150, 406, 150, 391, 
35, 150, 402, 149, 390, 149, 382, 149, 381, 149, 407, 149, 391, 
40, 149, 403, 149, 390, 149, 381, 150, 382, 149, 406, 150, 391, 
45, 150, 404, 149, 387, 149, 382, 149, 379, 150, 406, 150, 389, 
50, 150, 403, 149, 389, 149, 382, 149, 381, 150, 403, 150, 393, 
55, 150, 398, 149, 389, 149, 382, 149, 381, 149, 403, 150, 392, 
60, 150, 396, 149, 392, 149, 385, 150, 383, 150, 404, 150, 394, 
65, 150, 397, 149, 393, 150, 387, 150, 383, 149, 407, 150, 400, 
70, 149, 398, 150, 392, 149, 388, 149, 384, 150, 407, 149, 400, 
75, 150, 398, 149, 393, 150, 388, 150, 383, 149, 406, 150, 399, 
80, 150, 396, 150, 392, 150, 385, 149, 381, 149, 405, 150, 399, 
85, 149, 395, 149, 390, 150, 386, 150, 381, 150, 404, 150, 398, 
90, 149, 394, 149, 390, 149, 384, 150, 382, 150, 403, 149, 398, 
95, 150, 392, 149, 390, 150, 384, 150, 381, 150, 402, 149, 398, 
100, 150, 392, 149, 389, 150, 383, 149, 381, 149, 402, 150, 396, 
105, 150, 392, 149, 388, 150, 382, 149, 380, 150, 401, 150, 396, 
110, 150, 390, 148, 384, 150, 382, 149, 379, 150, 398, 149, 396, 
115, 150, 391, 149, 387, 150, 381, 150, 380, 150, 400, 149, 394, 
120, 150, 390, 150, 388, 150, 379, 149, 377, 150, 399, 150, 394, 
125, 150, 390, 149, 385, 149, 378, 149, 378, 150, 399, 149, 393, 
130, 150, 390, 149, 385, 150, 378, 149, 378, 150, 398, 150, 396, 
135, 150, 389, 149, 384, 150, 379, 149, 377, 150, 401, 149, 393, 
140, 149, 387, 149, 385, 150, 377, 149, 378, 150, 399, 149, 391, 
145, 150, 389, 149, 383, 149, 376, 150, 376, 150, 397, 149, 390, 
150, 149, 388, 149, 382, 150, 377, 149, 374, 149, 396, 150, 391, 
155, 150, 388, 149, 382, 149, 378, 150, 377, 149, 396, 150, 390, 
160, 150, 388, 150, 382, 150, 376, 149, 375, 149, 394, 150, 389, 
165, 150, 389, 150, 382, 150, 378, 150, 375, 150, 394, 149, 388, 
170, 150, 387, 149, 382, 150, 378, 149, 374, 149, 395, 150, 390, 
175, 150, 387, 150, 381, 149, 377, 150, 375, 150, 395, 149, 389, 
180, 150, 388, 149, 381, 149, 375, 149, 375, 149, 395, 150, 387, 
185, 150, 388, 149, 381, 150, 377, 149, 373, 150, 395, 150, 388, 
190, 149, 387, 149, 381, 150, 376, 150, 374, 149, 394, 150, 387, 
195, 150, 386, 150, 381, 150, 375, 149, 373, 150, 395, 150, 390, 
200, 150, 385, 149, 382, 150, 375, 150, 374, 149, 395, 150, 388, 
205, 150, 386, 150, 381, 149, 373, 149, 374, 149, 393, 150, 387, 
210, 150, 387, 149, 381, 150, 374, 150, 373, 150, 393, 150, 387, 
215, 150, 387, 149, 381, 150, 375, 149, 372, 150, 395, 149, 387, 
220, 150, 386, 149, 381, 149, 375, 149, 372, 150, 393, 150, 388, 
225, 150, 387, 149, 382, 150, 377, 150, 373, 150, 395, 150, 388, 
230, 150, 386, 149, 380, 149, 376, 150, 373, 149, 394, 150, 389, 
235, 150, 387, 150, 382, 149, 376, 149, 372, 150, 394, 150, 386, 
240, 149, 387, 149, 381, 150, 374, 150, 371, 150, 393, 149, 388, 
245, 150, 386, 150, 383, 150, 373, 149, 372, 149, 392, 150, 390, 
250, 150, 386, 149, 381, 149, 373, 150, 375, 150, 394, 150, 387, 
255, 149, 387, 149, 382, 149, 373, 150, 374, 150, 395, 150, 389, 
260, 149, 386, 150, 383, 150, 376, 150, 371, 150, 393, 150, 385, 
265, 150, 386, 150, 381, 149, 375, 149, 374, 150, 393, 150, 387, 
270, 150, 387, 149, 382, 150, 374, 149, 374, 150, 395, 150, 388, 
275, 150, 386, 149, 383, 149, 374, 149, 372, 150, 393, 150, 386, 
280, 150, 385, 149, 384, 150, 374, 149, 372, 150, 393, 150, 388, 
285, 150, 384, 149, 382, 150, 374, 149, 372, 150, 392, 149, 386, 
290, 150, 385, 149, 383, 150, 373, 150, 373, 149, 391, 150, 388, 
295, 150, 385, 149, 383, 150, 374, 149, 370, 150, 392, 150, 387, 
300, 150, 384, 149, 383, 149, 375, 149, 372, 149, 393, 150, 388, 
305, 150, 385, 149, 384, 150, 375, 150, 373, 150, 393, 150, 387, 
310, 150, 384, 149, 383, 150, 374, 150, 371, 150, 391, 150, 386, 
315, 150, 385, 149, 382, 150, 374, 149, 372, 150, 391, 150, 387, 
320, 150, 385, 149, 383, 150, 374, 149, 373, 149, 390, 150, 387, 
325, 150, 385, 150, 384, 150, 373, 149, 372, 150, 391, 149, 385, 
330, 150, 384, 150, 383, 150, 375, 149, 372, 149, 388, 150, 385, 
