t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 406, 150, 401, 150, 401, 150, 405, 150, 419, 150, 410, 
10, 150, 404, 150, 402, 150, 401, 149, 404, 150, 420, 150, 412, 
15, 150, 404, 149, 401, 150, 402, 150, 403, 149, 418, 150, 411, 
20, 150, 404, 149, 404, 150, 400, 150, 403, 150, 419, 149, 408, 
25, 150, 404, 149, 403, 150, 401, 149, 403, 150, 419, 150, 410, 
30, 150, 405, 149, 402, 150, 401, 150, 402, 150, 417, 150, 409, 
35, 150, 404, 149, 399, 150, 401, 150, 399, 149, 416, 150, 410, 
40, 149, 405, 149, 398, 149, 399, 149, 401, 150, 416, 150, 408, 
45, 150, 407, 149, 397, 150, 399, 149, 400, 150, 415, 149, 407, 
50, 150, 402, 149, 393, 150, 398, 149, 398, 150, 412, 150, 406, 
55, 150, 394, 150, 392, 150, 396, 149, 396, 149, 412, 150, 406, 
60, 150, 390, 149, 390, 149, 393, 151, 399, 150, 412, 149, 404, 
65, 149, 386, 150, 387, 150, 393, 149, 395, 150, 409, 150, 405, 
70, 149, 384, 149, 386, 149, 391, 149, 392, 149, 410, 150, 404, 
75, 150, 384, 149, 384, 150, 391, 150, 395, 149, 408, 150, 404, 
80, 149, 383, 149, 384, 150, 391, 150, 393, 150, 407, 150, 403, 
85, 150, 382, 150, 383, 149, 389, 150, 390, 149, 407, 150, 402, 
90, 150, 382, 149, 382, 150, 389, 150, 392, 150, 407, 150, 403, 
95, 150, 383, 150, 381, 149, 389, 150, 390, 150, 407, 150, 403, 
100, 149, 384, 149, 380, 149, 389, 149, 390, 150, 408, 150, 404, 
105, 149, 384, 150, 381, 150, 389, 150, 392, 150, 408, 150, 404, 
110, 149, 384, 150, 379, 149, 389, 150, 391, 150, 410, 150, 405, 
115, 150, 385, 149, 380, 150, 389, 150, 392, 150, 409, 150, 405, 
120, 150, 385, 150, 380, 150, 389, 150, 395, 150, 411, 150, 405, 
125, 150, 386, 149, 378, 150, 390, 149, 390, 150, 408, 150, 406, 
130, 150, 387, 149, 380, 150, 389, 150, 394, 149, 410, 150, 404, 
135, 150, 387, 149, 381, 149, 390, 149, 394, 150, 410, 150, 405, 
140, 150, 387, 149, 381, 150, 390, 149, 393, 149, 408, 150, 405, 
145, 150, 388, 150, 381, 150, 389, 150, 394, 150, 409, 150, 404, 
150, 149, 389, 150, 382, 149, 387, 150, 395, 149, 408, 150, 404, 
155, 150, 389, 150, 381, 150, 388, 150, 394, 150, 407, 150, 404, 
160, 150, 390, 149, 381, 149, 386, 150, 393, 150, 409, 150, 403, 
165, 150, 389, 149, 383, 150, 386, 150, 394, 150, 408, 150, 403, 
170, 150, 389, 149, 383, 149, 386, 150, 393, 150, 408, 150, 402, 
175, 150, 390, 150, 384, 150, 387, 150, 393, 150, 406, 150, 402, 
180, 150, 390, 149, 384, 149, 386, 150, 391, 149, 405, 150, 400, 
185, 150, 390, 149, 386, 150, 384, 149, 393, 149, 405, 150, 399, 
190, 150, 390, 149, 385, 150, 385, 149, 393, 150, 406, 150, 401, 
195, 149, 390, 149, 385, 150, 386, 150, 392, 150, 405, 150, 401, 
200, 150, 390, 150, 386, 150, 384, 150, 393, 149, 405, 150, 397, 
205, 149, 390, 149, 387, 150, 385, 149, 392, 149, 405, 150, 399, 
210, 149, 390, 150, 386, 150, 385, 149, 391, 150, 405, 150, 399, 
215, 150, 390, 149, 385, 149, 384, 149, 390, 149, 404, 150, 398, 
220, 150, 390, 149, 387, 150, 383, 149, 391, 150, 405, 150, 398, 
225, 150, 390, 150, 387, 149, 383, 150, 390, 150, 404, 150, 399, 
230, 150, 389, 149, 387, 149, 384, 150, 389, 150, 403, 150, 398, 
235, 150, 389, 150, 387, 150, 383, 149, 390, 150, 404, 150, 398, 
240, 150, 389, 149, 388, 150, 384, 149, 391, 150, 403, 150, 397, 
245, 150, 389, 150, 387, 150, 384, 149, 390, 150, 402, 150, 397, 
250, 150, 388, 150, 389, 149, 384, 149, 390, 149, 404, 150, 397, 
255, 149, 388, 149, 387, 150, 382, 150, 390, 149, 404, 150, 396, 
260, 150, 388, 149, 388, 150, 383, 149, 389, 150, 401, 149, 396, 
265, 150, 387, 149, 387, 149, 383, 149, 388, 150, 402, 150, 396, 
270, 150, 387, 149, 388, 150, 383, 149, 389, 150, 402, 150, 396, 
275, 150, 386, 149, 388, 149, 384, 149, 389, 150, 402, 149, 395, 
280, 150, 385, 149, 387, 149, 384, 150, 388, 150, 402, 150, 395, 
285, 150, 385, 149, 388, 150, 383, 150, 389, 150, 402, 149, 394, 
290, 150, 384, 149, 387, 150, 382, 150, 389, 150, 402, 150, 393, 
295, 150, 384, 149, 388, 150, 382, 149, 388, 150, 401, 150, 394, 
300, 149, 384, 149, 388, 149, 382, 149, 388, 150, 402, 150, 394, 
305, 150, 383, 149, 387, 150, 384, 150, 388, 150, 400, 150, 395, 
310, 149, 383, 149, 388, 150, 383, 149, 387, 149, 400, 150, 396, 
315, 150, 382, 149, 387, 150, 382, 149, 388, 149, 401, 150, 393, 
320, 150, 382, 149, 386, 150, 383, 150, 387, 150, 399, 150, 393, 
325, 150, 381, 149, 386, 149, 383, 149, 385, 149, 400, 150, 393, 
330, 149, 381, 150, 386, 150, 381, 150, 386, 150, 399, 149, 392, 
