t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 413, 149, 404, 150, 207, 149, 204, 149, 210, 149, 211, 
10, 150, 411, 149, 402, 149, 207, 150, 205, 149, 210, 150, 211, 
15, 150, 413, 150, 404, 150, 205, 150, 203, 150, 210, 150, 212, 
20, 150, 412, 150, 403, 150, 206, 149, 205, 149, 212, 150, 212, 
25, 150, 413, 149, 404, 150, 206, 150, 204, 150, 209, 150, 211, 
30, 150, 416, 149, 402, 149, 205, 149, 203, 149, 210, 150, 212, 
35, 150, 416, 149, 403, 150, 206, 149, 203, 149, 210, 149, 211, 
40, 149, 417, 149, 400, 150, 205, 149, 202, 149, 209, 150, 212, 
45, 150, 420, 150, 401, 150, 204, 149, 203, 150, 209, 150, 211, 
50, 150, 420, 149, 398, 150, 204, 150, 203, 149, 208, 150, 210, 
55, 150, 421, 149, 399, 150, 203, 149, 204, 150, 207, 150, 208, 
60, 150, 421, 149, 399, 150, 203, 150, 203, 150, 205, 150, 209, 
65, 150, 411, 149, 398, 149, 202, 150, 201, 150, 205, 150, 209, 
70, 150, 406, 149, 396, 149, 200, 150, 202, 149, 204, 150, 206, 
75, 150, 402, 149, 395, 150, 200, 149, 202, 150, 203, 150, 207, 
80, 150, 399, 149, 393, 149, 200, 149, 202, 150, 202, 149, 206, 
85, 150, 397, 150, 393, 149, 198, 149, 200, 150, 203, 149, 206, 
90, 150, 394, 149, 389, 150, 199, 150, 200, 149, 202, 150, 203, 
95, 150, 393, 149, 389, 150, 197, 149, 200, 150, 201, 149, 204, 
100, 150, 391, 149, 386, 149, 197, 150, 200, 149, 199, 150, 204, 
105, 150, 390, 150, 386, 150, 197, 150, 198, 150, 200, 150, 204, 
110, 150, 389, 149, 385, 149, 197, 149, 197, 150, 201, 150, 202, 
115, 150, 388, 150, 384, 150, 197, 150, 197, 149, 200, 150, 203, 
120, 150, 387, 149, 384, 149, 197, 150, 197, 149, 200, 150, 203, 
125, 150, 386, 150, 386, 150, 196, 149, 196, 150, 200, 149, 202, 
130, 150, 386, 149, 383, 149, 194, 150, 197, 150, 199, 149, 202, 
135, 150, 386, 149, 382, 150, 196, 150, 197, 150, 200, 150, 203, 
140, 150, 386, 149, 383, 150, 195, 150, 196, 149, 198, 150, 203, 
145, 150, 385, 149, 382, 150, 196, 150, 197, 150, 199, 150, 203, 
150, 150, 385, 149, 381, 149, 196, 150, 202, 150, 198, 150, 205, 
155, 150, 385, 149, 381, 150, 195, 150, 239, 149, 199, 150, 205, 
160, 150, 384, 149, 381, 150, 196, 150, 381, 149, 199, 150, 206, 
165, 150, 384, 149, 382, 150, 196, 150, 373, 150, 199, 150, 204, 
170, 150, 384, 149, 381, 150, 197, 150, 360, 150, 199, 150, 206, 
175, 150, 383, 150, 382, 150, 392, 150, 352, 150, 199, 150, 207, 
180, 150, 384, 149, 382, 150, 390, 150, 347, 150, 198, 150, 206, 
185, 149, 384, 150, 383, 150, 391, 149, 338, 150, 199, 150, 206, 
190, 150, 383, 149, 383, 150, 387, 150, 335, 149, 199, 149, 206, 
195, 150, 385, 149, 383, 150, 382, 150, 311, 149, 201, 150, 207, 
200, 150, 384, 149, 382, 150, 380, 150, 291, 149, 201, 150, 206, 
205, 150, 385, 150, 384, 149, 379, 149, 276, 150, 200, 149, 206, 
210, 150, 386, 149, 383, 150, 379, 150, 249, 149, 202, 150, 207, 
215, 150, 385, 149, 384, 149, 377, 150, 218, 150, 202, 150, 207, 
220, 150, 385, 149, 384, 150, 372, 149, 216, 150, 201, 150, 207, 
225, 150, 387, 149, 384, 149, 367, 150, 202, 150, 202, 150, 207, 
230, 149, 386, 150, 384, 150, 360, 149, 201, 149, 203, 150, 206, 
235, 150, 386, 149, 385, 150, 354, 149, 203, 149, 203, 150, 206, 
240, 150, 386, 149, 384, 149, 347, 149, 202, 149, 203, 150, 208, 
245, 149, 387, 150, 385, 149, 341, 150, 202, 150, 203, 150, 209, 
250, 150, 388, 149, 385, 150, 334, 150, 204, 149, 203, 150, 208, 
255, 149, 387, 150, 386, 150, 332, 150, 373, 149, 203, 150, 207, 
260, 150, 388, 150, 385, 149, 327, 150, 369, 150, 202, 150, 207, 
265, 150, 389, 149, 386, 150, 321, 150, 367, 150, 202, 149, 207, 
270, 150, 390, 149, 386, 150, 319, 150, 368, 149, 202, 149, 206, 
275, 149, 389, 150, 387, 150, 317, 150, 370, 149, 201, 150, 205, 
280, 150, 390, 149, 387, 149, 313, 150, 365, 149, 201, 150, 205, 
285, 150, 389, 149, 387, 149, 311, 150, 364, 150, 203, 150, 206, 
290, 149, 390, 149, 388, 150, 312, 150, 358, 150, 202, 150, 205, 
295, 150, 390, 150, 388, 150, 313, 149, 345, 150, 202, 150, 205, 
300, 150, 391, 149, 388, 149, 312, 150, 335, 149, 201, 150, 204, 
305, 150, 391, 149, 388, 149, 311, 150, 325, 150, 200, 150, 204, 
310, 150, 391, 149, 388, 149, 311, 149, 317, 150, 202, 150, 204, 
315, 150, 391, 149, 389, 149, 310, 150, 311, 150, 201, 150, 204, 
320, 150, 391, 149, 389, 150, 308, 149, 310, 150, 202, 149, 204, 
325, 150, 391, 149, 389, 149, 308, 149, 307, 150, 201, 150, 202, 
330, 149, 392, 149, 387, 149, 307, 150, 306, 149, 201, 150, 204, 
