t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 422, 149, 431, 150, 428, 150, 421, 150, 438, 150, 421, 
10, 150, 422, 149, 431, 150, 430, 149, 418, 149, 439, 150, 422, 
15, 150, 421, 149, 430, 150, 429, 150, 419, 150, 440, 150, 422, 
20, 150, 421, 149, 432, 150, 428, 149, 417, 150, 439, 150, 422, 
25, 150, 420, 149, 431, 150, 427, 150, 417, 150, 440, 150, 421, 
30, 149, 419, 149, 430, 150, 430, 151, 421, 149, 438, 150, 422, 
35, 150, 421, 149, 429, 149, 428, 150, 418, 150, 439, 150, 419, 
40, 150, 422, 150, 429, 150, 427, 150, 416, 149, 437, 150, 419, 
45, 150, 423, 150, 429, 150, 428, 150, 418, 150, 435, 150, 420, 
50, 150, 426, 149, 428, 150, 427, 150, 416, 149, 435, 149, 418, 
55, 150, 426, 149, 425, 150, 421, 150, 413, 150, 433, 150, 415, 
60, 149, 419, 150, 417, 149, 413, 150, 404, 150, 423, 150, 406, 
65, 150, 416, 149, 411, 149, 407, 150, 403, 150, 416, 150, 401, 
70, 150, 414, 149, 407, 150, 404, 150, 396, 150, 413, 149, 397, 
75, 150, 412, 149, 403, 150, 400, 150, 392, 150, 414, 150, 394, 
80, 150, 394, 150, 395, 149, 393, 150, 384, 150, 405, 150, 388, 
85, 150, 383, 149, 389, 150, 387, 150, 380, 150, 397, 150, 381, 
90, 150, 376, 149, 384, 150, 383, 150, 373, 150, 392, 150, 374, 
95, 150, 371, 149, 382, 150, 381, 150, 371, 150, 390, 150, 366, 
100, 150, 370, 149, 381, 149, 380, 149, 371, 149, 388, 150, 368, 
105, 150, 369, 150, 381, 150, 379, 149, 369, 149, 389, 150, 366, 
110, 150, 370, 149, 379, 150, 380, 150, 371, 150, 389, 150, 366, 
115, 150, 370, 150, 378, 149, 378, 149, 369, 149, 389, 150, 368, 
120, 150, 370, 149, 378, 150, 377, 150, 370, 150, 391, 150, 371, 
125, 150, 368, 149, 377, 149, 376, 149, 367, 150, 390, 149, 370, 
130, 150, 368, 149, 378, 149, 377, 150, 369, 150, 390, 150, 375, 
135, 150, 368, 149, 378, 150, 376, 150, 367, 150, 392, 149, 379, 
140, 150, 369, 149, 379, 149, 377, 150, 367, 150, 395, 150, 380, 
145, 150, 367, 149, 379, 150, 379, 150, 368, 150, 391, 150, 387, 
150, 150, 368, 149, 380, 150, 379, 149, 368, 150, 393, 149, 388, 
155, 150, 368, 149, 382, 150, 378, 149, 370, 150, 393, 149, 387, 
160, 150, 368, 149, 381, 150, 381, 149, 372, 150, 394, 150, 390, 
165, 150, 369, 149, 381, 150, 382, 150, 374, 149, 393, 150, 390, 
170, 150, 369, 149, 382, 150, 382, 150, 374, 149, 394, 150, 390, 
175, 149, 368, 149, 383, 149, 382, 150, 374, 149, 396, 149, 388, 
180, 150, 368, 149, 382, 150, 384, 150, 375, 149, 396, 150, 390, 
185, 150, 369, 149, 384, 149, 383, 150, 376, 150, 396, 150, 390, 
190, 149, 369, 149, 384, 149, 382, 149, 375, 149, 396, 150, 386, 
195, 150, 370, 149, 384, 150, 383, 150, 379, 150, 398, 150, 391, 
200, 149, 369, 150, 383, 150, 384, 149, 377, 150, 397, 150, 390, 
205, 150, 369, 150, 384, 150, 383, 149, 379, 150, 399, 150, 388, 
210, 150, 369, 149, 384, 150, 383, 149, 376, 149, 397, 150, 389, 
215, 149, 369, 149, 383, 150, 383, 149, 377, 150, 397, 150, 390, 
220, 150, 369, 149, 384, 150, 383, 150, 377, 149, 399, 149, 389, 
225, 150, 369, 150, 385, 149, 382, 150, 375, 149, 397, 149, 387, 
230, 149, 369, 150, 384, 150, 383, 150, 377, 150, 397, 150, 391, 
235, 150, 369, 149, 383, 150, 383, 149, 378, 149, 397, 150, 389, 
240, 150, 370, 150, 384, 150, 382, 149, 376, 150, 398, 150, 385, 
245, 150, 369, 149, 384, 150, 384, 149, 377, 150, 398, 150, 385, 
250, 150, 370, 150, 385, 149, 384, 150, 377, 149, 397, 150, 385, 
255, 150, 370, 150, 384, 150, 383, 150, 378, 150, 398, 150, 386, 
260, 149, 370, 150, 385, 149, 384, 150, 377, 149, 398, 150, 385, 
265, 150, 370, 149, 382, 149, 384, 150, 378, 150, 397, 150, 384, 
270, 150, 370, 149, 383, 149, 383, 149, 377, 150, 397, 150, 383, 
275, 150, 370, 150, 384, 149, 381, 150, 376, 149, 397, 150, 383, 
280, 150, 369, 149, 383, 150, 383, 150, 377, 150, 398, 149, 383, 
285, 150, 369, 150, 384, 149, 381, 149, 376, 150, 398, 150, 383, 
290, 150, 369, 149, 385, 149, 383, 149, 377, 150, 398, 150, 383, 
295, 150, 369, 149, 383, 149, 382, 149, 376, 150, 398, 150, 382, 
300, 150, 368, 150, 383, 150, 382, 150, 375, 150, 397, 150, 380, 
305, 150, 368, 149, 383, 150, 383, 150, 376, 149, 397, 150, 382, 
310, 150, 368, 149, 382, 150, 383, 150, 376, 149, 396, 150, 382, 
315, 150, 367, 149, 382, 150, 381, 150, 377, 150, 397, 150, 385, 
320, 149, 367, 150, 383, 150, 382, 149, 373, 149, 398, 150, 382, 
325, 150, 366, 149, 383, 149, 381, 150, 378, 150, 395, 150, 383, 
330, 150, 367, 149, 382, 150, 381, 149, 374, 150, 397, 150, 383, 
