t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 450, 149, 461, 150, 453, 150, 444, 150, 473, 149, 232, 
10, 150, 450, 150, 462, 150, 452, 149, 443, 149, 474, 149, 231, 
15, 150, 449, 149, 461, 150, 453, 149, 442, 150, 475, 149, 232, 
20, 150, 450, 149, 461, 149, 453, 149, 443, 149, 474, 150, 234, 
25, 149, 453, 149, 462, 150, 452, 149, 443, 150, 475, 150, 233, 
30, 150, 456, 149, 459, 150, 453, 150, 443, 149, 473, 150, 234, 
35, 149, 459, 149, 457, 149, 450, 149, 445, 150, 474, 149, 233, 
40, 150, 457, 149, 456, 149, 449, 149, 442, 149, 471, 149, 231, 
45, 150, 453, 149, 453, 150, 446, 149, 439, 149, 469, 150, 228, 
50, 150, 453, 149, 451, 150, 441, 149, 433, 149, 465, 150, 225, 
55, 150, 446, 149, 447, 150, 441, 150, 431, 150, 462, 150, 223, 
60, 150, 436, 150, 444, 150, 438, 150, 429, 150, 460, 150, 223, 
65, 149, 429, 149, 442, 149, 437, 150, 426, 149, 457, 150, 222, 
70, 149, 425, 149, 439, 150, 435, 149, 425, 149, 454, 150, 222, 
75, 149, 422, 149, 439, 150, 433, 150, 424, 149, 453, 150, 221, 
80, 150, 422, 149, 435, 150, 433, 150, 423, 150, 455, 150, 222, 
85, 150, 421, 150, 434, 150, 432, 149, 422, 150, 453, 150, 221, 
90, 149, 421, 149, 433, 149, 431, 150, 424, 150, 452, 150, 221, 
95, 150, 418, 149, 433, 149, 431, 150, 422, 150, 451, 150, 219, 
100, 150, 418, 149, 433, 150, 429, 150, 421, 149, 449, 150, 218, 
105, 150, 418, 149, 432, 150, 429, 150, 418, 149, 449, 149, 219, 
110, 150, 418, 149, 430, 149, 427, 149, 419, 149, 447, 149, 217, 
115, 150, 420, 149, 430, 149, 429, 149, 418, 150, 446, 150, 218, 
120, 150, 419, 150, 431, 149, 427, 151, 422, 150, 447, 150, 219, 
125, 150, 419, 149, 429, 150, 426, 149, 419, 149, 446, 150, 217, 
130, 150, 420, 149, 429, 150, 430, 150, 418, 150, 446, 150, 218, 
135, 150, 421, 150, 429, 150, 429, 150, 422, 150, 445, 149, 217, 
140, 150, 421, 149, 431, 150, 429, 150, 422, 150, 446, 149, 219, 
145, 150, 421, 149, 429, 150, 430, 149, 422, 150, 448, 150, 219, 
150, 149, 421, 150, 431, 150, 430, 150, 424, 150, 448, 150, 218, 
155, 150, 422, 150, 433, 150, 432, 150, 422, 150, 449, 150, 220, 
160, 150, 422, 150, 430, 150, 433, 149, 425, 150, 450, 149, 220, 
165, 150, 423, 149, 431, 150, 433, 150, 425, 150, 448, 150, 220, 
170, 150, 421, 150, 432, 149, 433, 150, 427, 149, 451, 150, 219, 
175, 149, 422, 149, 434, 149, 432, 150, 427, 150, 452, 150, 220, 
180, 149, 423, 150, 434, 149, 433, 150, 426, 150, 454, 149, 219, 
185, 149, 422, 150, 434, 150, 433, 150, 428, 149, 453, 149, 221, 
190, 150, 422, 149, 435, 149, 433, 149, 427, 150, 451, 150, 220, 
195, 150, 424, 149, 435, 150, 434, 149, 426, 149, 451, 150, 220, 
200, 150, 424, 149, 437, 150, 431, 150, 425, 150, 454, 150, 221, 
205, 150, 423, 150, 436, 150, 435, 151, 428, 149, 453, 149, 222, 
210, 150, 425, 149, 435, 150, 434, 149, 426, 149, 454, 150, 221, 
215, 150, 423, 149, 435, 149, 433, 150, 426, 150, 452, 150, 221, 
220, 150, 423, 150, 435, 150, 434, 150, 426, 149, 454, 150, 222, 
225, 150, 423, 150, 438, 150, 433, 150, 427, 150, 453, 150, 221, 
230, 150, 423, 150, 438, 149, 433, 149, 425, 149, 453, 149, 222, 
235, 150, 424, 150, 439, 149, 434, 149, 426, 149, 454, 150, 222, 
240, 150, 424, 149, 440, 149, 434, 149, 425, 150, 454, 150, 222, 
245, 150, 424, 149, 437, 149, 431, 150, 427, 150, 454, 150, 221, 
250, 150, 424, 149, 438, 150, 432, 150, 426, 150, 453, 149, 220, 
255, 150, 422, 149, 439, 150, 433, 150, 424, 150, 453, 149, 221, 
260, 150, 422, 149, 438, 150, 432, 149, 425, 149, 453, 150, 220, 
265, 150, 421, 149, 439, 149, 432, 149, 424, 150, 450, 150, 221, 
270, 150, 421, 150, 438, 150, 431, 150, 427, 149, 451, 149, 221, 
275, 150, 422, 150, 439, 150, 431, 149, 426, 150, 453, 150, 220, 
280, 150, 422, 149, 439, 150, 431, 149, 424, 149, 450, 149, 220, 
285, 150, 421, 149, 438, 150, 432, 150, 426, 150, 453, 150, 220, 
290, 150, 421, 149, 438, 150, 432, 149, 425, 149, 452, 150, 220, 
295, 150, 421, 149, 439, 150, 431, 149, 424, 149, 451, 150, 220, 
300, 150, 421, 150, 439, 150, 428, 149, 424, 150, 449, 150, 219, 
305, 150, 421, 149, 440, 149, 432, 149, 422, 149, 449, 149, 219, 
310, 150, 420, 149, 438, 150, 430, 150, 423, 150, 450, 150, 219, 
315, 150, 420, 149, 438, 149, 429, 150, 423, 149, 447, 150, 219, 
320, 149, 420, 149, 437, 149, 429, 150, 423, 149, 448, 150, 219, 
325, 150, 420, 150, 438, 150, 428, 150, 423, 150, 448, 150, 218, 
330, 150, 419, 149, 438, 150, 428, 149, 422, 149, 448, 150, 220, 
