t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 483, 150, 482, 149, 486, 150, 467, 150, 495, 150, 478, 
10, 150, 481, 149, 482, 150, 487, 150, 466, 149, 498, 150, 481, 
15, 150, 482, 149, 483, 150, 486, 150, 469, 149, 497, 149, 479, 
20, 150, 485, 149, 481, 150, 486, 150, 467, 150, 497, 150, 479, 
25, 150, 488, 149, 482, 150, 486, 149, 467, 150, 497, 149, 477, 
30, 149, 489, 149, 482, 150, 487, 149, 465, 149, 498, 149, 478, 
35, 150, 492, 149, 481, 150, 484, 150, 467, 150, 497, 150, 477, 
40, 150, 491, 149, 478, 150, 481, 149, 463, 150, 494, 149, 476, 
45, 150, 496, 149, 471, 150, 479, 150, 462, 150, 491, 150, 473, 
50, 150, 493, 150, 471, 150, 477, 149, 459, 150, 489, 150, 472, 
55, 150, 479, 149, 466, 150, 474, 150, 459, 149, 485, 150, 470, 
60, 149, 466, 149, 465, 150, 471, 149, 455, 150, 482, 150, 468, 
65, 150, 460, 149, 463, 150, 470, 151, 457, 150, 481, 150, 466, 
70, 150, 456, 150, 464, 150, 468, 149, 453, 150, 481, 149, 465, 
75, 150, 454, 149, 462, 149, 469, 149, 451, 150, 481, 150, 464, 
80, 150, 453, 149, 459, 149, 467, 150, 453, 150, 480, 150, 464, 
85, 150, 452, 149, 460, 149, 466, 150, 449, 150, 480, 149, 462, 
90, 150, 451, 149, 459, 149, 465, 149, 448, 150, 477, 150, 463, 
95, 150, 451, 150, 460, 149, 463, 149, 447, 150, 477, 150, 463, 
100, 150, 454, 149, 461, 149, 463, 150, 445, 150, 477, 150, 462, 
105, 150, 451, 149, 460, 149, 464, 150, 446, 150, 477, 149, 463, 
110, 150, 451, 150, 463, 150, 465, 150, 446, 150, 478, 149, 466, 
115, 149, 452, 149, 462, 149, 465, 150, 445, 150, 478, 150, 468, 
120, 150, 450, 150, 464, 150, 465, 150, 444, 150, 479, 150, 471, 
125, 150, 450, 150, 464, 150, 465, 150, 446, 149, 479, 150, 472, 
130, 150, 450, 149, 463, 149, 466, 150, 448, 150, 481, 150, 472, 
135, 150, 451, 149, 465, 150, 466, 150, 447, 149, 481, 150, 471, 
140, 150, 452, 149, 466, 150, 468, 150, 447, 149, 482, 150, 472, 
145, 150, 453, 150, 467, 150, 467, 149, 448, 150, 482, 149, 472, 
150, 150, 452, 149, 467, 150, 468, 150, 451, 149, 482, 150, 472, 
155, 150, 453, 149, 467, 150, 469, 149, 450, 150, 482, 149, 472, 
160, 150, 455, 149, 465, 150, 470, 150, 452, 149, 482, 150, 470, 
165, 150, 454, 149, 467, 149, 469, 149, 449, 150, 483, 150, 470, 
170, 150, 454, 149, 466, 150, 471, 149, 449, 149, 482, 150, 470, 
175, 150, 454, 150, 466, 149, 472, 150, 451, 149, 480, 150, 470, 
180, 150, 454, 149, 466, 149, 471, 150, 450, 150, 482, 150, 468, 
185, 150, 454, 149, 466, 149, 472, 149, 449, 150, 482, 150, 470, 
190, 150, 454, 149, 465, 149, 472, 150, 451, 149, 480, 150, 469, 
195, 150, 455, 149, 468, 150, 471, 150, 451, 150, 481, 150, 468, 
200, 150, 456, 149, 465, 149, 472, 150, 450, 150, 480, 150, 466, 
205, 150, 456, 149, 464, 150, 471, 149, 451, 149, 479, 150, 466, 
210, 150, 457, 149, 465, 150, 471, 149, 450, 150, 479, 149, 466, 
215, 150, 457, 149, 464, 149, 472, 150, 450, 150, 479, 149, 464, 
220, 150, 457, 149, 463, 150, 472, 150, 448, 150, 479, 149, 465, 
225, 150, 457, 149, 464, 149, 472, 149, 450, 150, 478, 150, 465, 
230, 150, 458, 149, 463, 149, 471, 150, 450, 150, 477, 150, 463, 
235, 150, 459, 149, 463, 150, 473, 150, 450, 150, 477, 149, 462, 
240, 150, 457, 149, 463, 149, 472, 150, 451, 150, 477, 150, 462, 
245, 150, 457, 149, 461, 150, 471, 150, 449, 150, 475, 149, 462, 
250, 149, 457, 149, 461, 149, 471, 150, 451, 149, 476, 150, 459, 
255, 150, 457, 149, 461, 150, 470, 150, 448, 150, 477, 149, 457, 
260, 150, 457, 149, 458, 149, 472, 150, 448, 150, 475, 150, 458, 
265, 150, 457, 149, 460, 150, 472, 149, 447, 150, 475, 149, 458, 
270, 149, 456, 149, 460, 150, 471, 149, 446, 149, 475, 149, 458, 
275, 149, 455, 149, 458, 150, 472, 150, 447, 150, 474, 150, 455, 
280, 150, 455, 149, 458, 150, 472, 150, 445, 150, 474, 150, 455, 
285, 150, 456, 149, 458, 150, 470, 149, 444, 150, 473, 150, 454, 
290, 150, 454, 149, 458, 150, 470, 149, 444, 149, 472, 150, 452, 
295, 150, 454, 149, 458, 150, 469, 150, 443, 150, 472, 149, 451, 
300, 150, 453, 149, 457, 150, 470, 149, 442, 149, 472, 150, 450, 
305, 150, 452, 149, 457, 150, 471, 150, 443, 150, 472, 149, 449, 
310, 150, 452, 150, 457, 150, 470, 150, 440, 150, 472, 150, 447, 
315, 150, 451, 150, 456, 150, 469, 149, 441, 149, 470, 150, 448, 
320, 150, 452, 149, 456, 150, 468, 150, 439, 150, 470, 149, 447, 
325, 150, 450, 149, 455, 150, 469, 150, 440, 149, 470, 149, 445, 
330, 150, 450, 150, 454, 150, 468, 150, 442, 150, 470, 150, 447, 
