t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 444, 149, 437, 150, 436, 149, 423, 149, 452, 149, 442, 
10, 150, 442, 149, 437, 149, 438, 150, 426, 149, 451, 150, 442, 
15, 149, 440, 150, 437, 150, 436, 151, 427, 149, 453, 150, 441, 
20, 150, 442, 149, 435, 149, 435, 150, 426, 150, 452, 149, 440, 
25, 150, 444, 150, 436, 150, 435, 150, 423, 149, 452, 150, 440, 
30, 150, 445, 149, 434, 150, 436, 150, 426, 150, 452, 150, 438, 
35, 150, 447, 149, 433, 149, 434, 149, 423, 149, 450, 150, 439, 
40, 150, 448, 150, 435, 150, 432, 149, 423, 150, 450, 149, 439, 
45, 150, 449, 149, 436, 150, 434, 149, 423, 150, 452, 150, 438, 
50, 149, 452, 149, 434, 149, 433, 150, 424, 150, 450, 150, 440, 
55, 150, 447, 149, 433, 149, 429, 149, 420, 150, 451, 149, 436, 
60, 150, 444, 149, 436, 149, 429, 149, 422, 150, 450, 149, 435, 
65, 150, 440, 149, 436, 150, 428, 150, 420, 150, 447, 150, 432, 
70, 150, 438, 150, 436, 149, 425, 150, 417, 149, 446, 150, 432, 
75, 150, 441, 150, 435, 149, 427, 149, 417, 150, 445, 149, 430, 
80, 150, 436, 150, 428, 150, 425, 149, 415, 149, 441, 150, 428, 
85, 150, 430, 149, 422, 150, 422, 150, 412, 150, 439, 149, 425, 
90, 150, 422, 149, 417, 149, 419, 150, 408, 149, 440, 150, 422, 
95, 150, 417, 149, 413, 150, 419, 150, 409, 150, 437, 150, 421, 
100, 150, 420, 149, 415, 149, 420, 149, 407, 150, 434, 150, 421, 
105, 150, 417, 149, 414, 150, 417, 149, 406, 149, 433, 150, 422, 
110, 150, 416, 149, 415, 150, 419, 149, 406, 150, 435, 149, 421, 
115, 150, 417, 150, 412, 150, 419, 150, 407, 149, 432, 150, 421, 
120, 150, 414, 149, 410, 150, 417, 150, 405, 149, 432, 149, 420, 
125, 150, 414, 149, 412, 149, 418, 150, 407, 150, 433, 149, 418, 
130, 149, 413, 149, 411, 149, 417, 150, 406, 149, 432, 150, 419, 
135, 150, 414, 149, 411, 150, 417, 150, 406, 150, 432, 149, 421, 
140, 149, 414, 150, 410, 149, 415, 149, 403, 149, 431, 150, 421, 
145, 150, 417, 149, 411, 150, 417, 149, 405, 149, 433, 149, 423, 
150, 150, 416, 149, 411, 149, 416, 149, 405, 149, 432, 150, 425, 
155, 150, 414, 149, 410, 150, 416, 151, 405, 149, 431, 150, 427, 
160, 149, 413, 149, 409, 149, 416, 149, 403, 150, 432, 150, 427, 
165, 149, 416, 150, 411, 150, 417, 150, 404, 150, 430, 150, 429, 
170, 150, 414, 149, 408, 149, 417, 150, 404, 149, 430, 149, 430, 
175, 149, 413, 150, 411, 150, 415, 150, 405, 150, 432, 150, 429, 
180, 150, 414, 149, 411, 150, 418, 150, 404, 150, 434, 150, 430, 
185, 150, 415, 150, 410, 149, 417, 150, 403, 150, 434, 150, 430, 
190, 149, 415, 149, 411, 149, 417, 150, 404, 150, 432, 150, 431, 
195, 149, 413, 150, 409, 150, 420, 150, 407, 150, 433, 149, 430, 
200, 149, 414, 149, 411, 150, 419, 150, 403, 149, 433, 150, 431, 
205, 150, 417, 149, 409, 149, 419, 150, 407, 150, 434, 150, 430, 
210, 150, 417, 149, 410, 150, 420, 149, 406, 150, 434, 150, 430, 
215, 149, 419, 149, 410, 150, 419, 149, 406, 150, 433, 149, 430, 
220, 150, 421, 150, 414, 150, 420, 150, 405, 150, 433, 150, 427, 
225, 150, 419, 149, 413, 150, 420, 150, 407, 149, 434, 150, 427, 
230, 150, 421, 149, 411, 149, 419, 149, 407, 150, 435, 150, 428, 
235, 149, 421, 150, 412, 150, 419, 149, 405, 150, 436, 150, 426, 
240, 150, 422, 149, 414, 150, 421, 150, 409, 150, 436, 149, 428, 
245, 150, 422, 150, 413, 150, 421, 149, 409, 150, 436, 150, 427, 
250, 149, 420, 150, 414, 150, 421, 151, 410, 149, 434, 150, 426, 
255, 150, 423, 149, 415, 150, 420, 149, 409, 150, 434, 150, 426, 
260, 149, 420, 149, 417, 150, 421, 151, 411, 150, 438, 150, 428, 
265, 150, 422, 149, 416, 150, 421, 149, 409, 150, 434, 149, 427, 
270, 150, 422, 150, 416, 150, 419, 150, 407, 150, 437, 150, 426, 
275, 149, 419, 149, 417, 150, 420, 150, 409, 150, 434, 150, 426, 
280, 150, 419, 149, 416, 149, 420, 149, 408, 150, 435, 150, 427, 
285, 150, 419, 149, 414, 150, 421, 150, 408, 149, 435, 149, 424, 
290, 149, 418, 149, 415, 149, 420, 149, 408, 149, 435, 150, 426, 
295, 150, 419, 149, 415, 150, 419, 150, 409, 150, 435, 149, 426, 
300, 150, 419, 149, 417, 150, 421, 149, 408, 149, 435, 149, 424, 
305, 150, 418, 149, 416, 150, 421, 149, 409, 149, 434, 150, 426, 
310, 150, 419, 149, 416, 150, 420, 149, 408, 150, 434, 149, 425, 
315, 150, 419, 149, 418, 150, 418, 150, 408, 149, 435, 150, 423, 
320, 150, 417, 149, 419, 150, 421, 149, 409, 150, 434, 149, 425, 
325, 150, 417, 149, 419, 149, 418, 150, 410, 150, 434, 150, 422, 
330, 150, 417, 149, 419, 150, 420, 150, 411, 150, 434, 150, 424, 
