t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 363, 149, 392, 149, 396, 150, 396, 149, 402, 150, 399, 
10, 149, 370, 149, 397, 150, 402, 150, 401, 150, 406, 149, 402, 
15, 150, 378, 149, 403, 150, 407, 150, 404, 150, 411, 150, 405, 
20, 150, 383, 149, 405, 150, 412, 150, 408, 150, 416, 149, 404, 
25, 150, 387, 149, 407, 150, 414, 150, 410, 150, 415, 150, 407, 
30, 150, 390, 149, 407, 150, 411, 150, 407, 150, 415, 150, 405, 
35, 150, 391, 149, 408, 149, 410, 149, 407, 150, 412, 149, 406, 
40, 150, 317, 149, 329, 150, 319, 149, 310, 149, 339, 150, 300, 
45, 150, 324, 149, 324, 150, 315, 149, 327, 150, 342, 150, 292, 
50, 150, 317, 150, 322, 150, 297, 149, 310, 150, 333, 149, 278, 
55, 150, 230, 149, 241, 150, 218, 149, 221, 150, 237, 150, 191, 
60, 150, 204, 149, 210, 149, 201, 149, 197, 149, 214, 149, 165, 
65, 150, 189, 149, 194, 150, 192, 149, 189, 150, 201, 149, 162, 
70, 150, 179, 149, 185, 150, 185, 150, 184, 149, 191, 150, 164, 
75, 150, 179, 149, 180, 150, 185, 150, 181, 150, 192, 150, 167, 
80, 150, 179, 149, 180, 150, 188, 149, 184, 149, 197, 150, 172, 
85, 150, 180, 149, 186, 150, 193, 150, 189, 150, 199, 149, 175, 
90, 150, 182, 149, 193, 149, 198, 150, 195, 149, 203, 150, 182, 
95, 149, 184, 149, 199, 150, 200, 149, 197, 150, 207, 150, 187, 
100, 150, 187, 149, 205, 150, 204, 149, 201, 149, 212, 149, 192, 
105, 150, 191, 149, 208, 150, 208, 150, 204, 149, 216, 150, 196, 
110, 150, 194, 149, 209, 149, 210, 149, 208, 150, 218, 150, 202, 
115, 150, 195, 149, 213, 150, 211, 150, 212, 149, 219, 150, 204, 
120, 149, 197, 149, 214, 149, 213, 149, 213, 150, 220, 150, 207, 
125, 150, 199, 149, 215, 149, 214, 149, 216, 149, 221, 150, 206, 
130, 150, 202, 149, 216, 150, 215, 150, 217, 150, 220, 149, 209, 
135, 150, 201, 149, 218, 149, 214, 150, 218, 149, 220, 150, 209, 
140, 149, 202, 149, 218, 149, 217, 149, 218, 150, 221, 150, 209, 
145, 150, 205, 149, 220, 150, 216, 150, 218, 149, 221, 149, 209, 
150, 150, 204, 149, 219, 150, 217, 150, 219, 150, 222, 150, 209, 
155, 150, 206, 150, 220, 150, 216, 150, 220, 150, 222, 150, 210, 
160, 150, 206, 150, 222, 149, 215, 150, 219, 150, 221, 150, 211, 
165, 150, 204, 149, 221, 150, 216, 150, 219, 150, 221, 150, 212, 
170, 150, 204, 150, 221, 150, 216, 150, 221, 150, 221, 149, 210, 
175, 150, 204, 150, 220, 149, 216, 150, 220, 150, 221, 150, 212, 
180, 150, 205, 149, 221, 150, 215, 150, 220, 150, 219, 150, 211, 
185, 150, 205, 149, 221, 150, 215, 150, 219, 149, 219, 150, 213, 
190, 149, 205, 149, 220, 150, 215, 150, 221, 149, 219, 150, 211, 
195, 150, 205, 150, 221, 149, 214, 149, 221, 150, 220, 150, 213, 
200, 149, 204, 149, 221, 150, 212, 150, 221, 149, 217, 150, 213, 
205, 150, 205, 150, 221, 150, 214, 150, 220, 149, 219, 150, 212, 
210, 150, 207, 149, 222, 149, 211, 149, 220, 149, 219, 150, 213, 
215, 149, 208, 149, 220, 149, 212, 150, 218, 150, 218, 150, 211, 
220, 149, 208, 150, 221, 149, 212, 150, 218, 149, 218, 150, 209, 
225, 150, 207, 149, 221, 150, 210, 150, 219, 150, 219, 150, 209, 
230, 150, 208, 149, 220, 150, 210, 150, 219, 149, 217, 150, 211, 
235, 149, 207, 150, 220, 149, 209, 150, 218, 149, 216, 150, 209, 
240, 150, 207, 149, 219, 150, 209, 150, 218, 150, 215, 149, 210, 
245, 150, 206, 150, 218, 149, 208, 150, 215, 150, 215, 150, 210, 
250, 150, 203, 149, 218, 150, 207, 150, 215, 149, 214, 149, 212, 
255, 150, 203, 149, 218, 150, 207, 149, 214, 149, 213, 150, 210, 
260, 150, 203, 149, 217, 149, 206, 150, 216, 150, 212, 150, 209, 
265, 150, 202, 149, 215, 150, 206, 150, 214, 150, 211, 150, 210, 
270, 150, 201, 149, 215, 149, 202, 150, 213, 150, 209, 149, 209, 
275, 150, 201, 149, 214, 149, 205, 150, 212, 150, 210, 150, 210, 
280, 149, 200, 149, 213, 150, 205, 150, 214, 150, 209, 150, 209, 
285, 150, 200, 150, 212, 150, 202, 149, 212, 150, 208, 150, 209, 
290, 150, 200, 149, 213, 150, 202, 150, 212, 150, 208, 149, 207, 
295, 150, 199, 149, 211, 149, 202, 150, 210, 150, 206, 149, 209, 
300, 149, 199, 149, 210, 150, 201, 149, 211, 150, 207, 149, 207, 
305, 149, 199, 150, 210, 149, 199, 149, 210, 150, 206, 149, 208, 
310, 150, 198, 149, 207, 149, 199, 149, 210, 150, 204, 149, 210, 
315, 150, 198, 149, 206, 149, 200, 149, 209, 150, 203, 150, 207, 
320, 150, 196, 149, 206, 149, 199, 149, 208, 149, 203, 149, 209, 
325, 149, 198, 150, 205, 150, 195, 149, 208, 150, 202, 150, 209, 
330, 150, 196, 149, 205, 149, 196, 149, 207, 149, 202, 149, 205, 
