t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 418, 149, 417, 149, 418, 150, 414, 149, 433, 150, 427, 
10, 150, 418, 149, 417, 150, 417, 150, 417, 150, 435, 150, 426, 
15, 150, 418, 150, 414, 150, 418, 150, 417, 150, 432, 150, 425, 
20, 150, 419, 149, 413, 150, 417, 150, 414, 150, 433, 150, 428, 
25, 150, 421, 149, 414, 150, 416, 149, 414, 149, 432, 150, 426, 
30, 150, 423, 149, 414, 149, 415, 150, 416, 150, 430, 149, 425, 
35, 150, 424, 149, 414, 150, 417, 150, 412, 150, 433, 150, 425, 
40, 150, 424, 149, 415, 150, 414, 150, 414, 150, 430, 150, 424, 
45, 150, 420, 149, 411, 150, 413, 149, 411, 150, 427, 150, 423, 
50, 149, 411, 150, 407, 149, 412, 150, 410, 150, 425, 150, 422, 
55, 150, 406, 150, 407, 150, 409, 150, 409, 150, 424, 150, 420, 
60, 150, 402, 150, 405, 150, 408, 150, 406, 150, 421, 150, 420, 
65, 150, 401, 149, 402, 150, 409, 149, 405, 150, 418, 150, 420, 
70, 150, 399, 149, 401, 150, 408, 150, 404, 149, 418, 150, 420, 
75, 150, 400, 149, 402, 150, 406, 149, 404, 150, 417, 149, 420, 
80, 150, 400, 149, 399, 150, 407, 150, 405, 150, 416, 150, 418, 
85, 149, 397, 150, 399, 149, 406, 150, 401, 149, 414, 149, 419, 
90, 150, 398, 149, 399, 149, 404, 150, 400, 149, 413, 149, 419, 
95, 150, 399, 149, 398, 150, 405, 149, 400, 149, 411, 149, 417, 
100, 149, 398, 149, 397, 150, 405, 150, 400, 149, 412, 150, 418, 
105, 150, 399, 149, 398, 149, 405, 150, 398, 150, 411, 149, 416, 
110, 150, 399, 149, 398, 149, 404, 150, 397, 149, 411, 149, 415, 
115, 150, 399, 149, 397, 150, 404, 149, 397, 150, 409, 150, 414, 
120, 150, 398, 149, 398, 149, 403, 149, 396, 149, 411, 150, 415, 
125, 150, 399, 149, 393, 150, 402, 150, 397, 150, 411, 149, 414, 
130, 150, 397, 150, 394, 150, 403, 149, 397, 150, 410, 150, 413, 
135, 150, 398, 149, 393, 149, 403, 150, 396, 150, 411, 149, 414, 
140, 150, 396, 149, 393, 150, 401, 150, 394, 150, 409, 150, 411, 
145, 150, 396, 150, 394, 150, 402, 149, 396, 150, 409, 149, 410, 
150, 150, 397, 149, 392, 150, 401, 150, 394, 150, 409, 150, 411, 
155, 150, 395, 150, 393, 150, 401, 149, 392, 149, 408, 149, 411, 
160, 150, 396, 149, 394, 150, 400, 150, 394, 150, 409, 150, 411, 
165, 150, 395, 149, 393, 150, 401, 150, 394, 150, 410, 150, 411, 
170, 150, 396, 149, 393, 150, 399, 149, 392, 149, 410, 150, 411, 
175, 150, 396, 149, 395, 150, 398, 150, 393, 150, 412, 150, 409, 
180, 150, 396, 150, 394, 150, 399, 149, 393, 149, 411, 150, 408, 
185, 150, 396, 149, 391, 149, 399, 150, 394, 150, 411, 150, 409, 
190, 149, 397, 149, 393, 150, 398, 149, 391, 150, 411, 150, 409, 
195, 150, 397, 149, 394, 150, 399, 150, 392, 149, 409, 150, 408, 
200, 150, 396, 149, 393, 150, 399, 150, 393, 150, 411, 150, 408, 
205, 150, 397, 149, 394, 149, 399, 150, 392, 150, 411, 149, 409, 
210, 150, 396, 150, 394, 149, 398, 150, 394, 150, 410, 150, 408, 
215, 150, 396, 150, 393, 150, 399, 150, 392, 150, 411, 150, 407, 
220, 150, 397, 149, 395, 149, 398, 150, 390, 150, 410, 150, 408, 
225, 150, 397, 149, 396, 150, 398, 150, 390, 150, 410, 150, 408, 
230, 150, 397, 150, 396, 150, 399, 150, 393, 150, 409, 150, 406, 
235, 150, 396, 150, 395, 150, 399, 150, 392, 150, 411, 150, 408, 
240, 150, 396, 149, 396, 150, 398, 150, 389, 149, 411, 149, 407, 
245, 150, 397, 149, 395, 149, 398, 149, 390, 150, 409, 150, 406, 
250, 150, 397, 150, 396, 150, 400, 150, 392, 150, 410, 150, 406, 
255, 150, 397, 149, 395, 150, 398, 150, 391, 150, 409, 150, 406, 
260, 150, 396, 149, 396, 150, 397, 150, 392, 150, 409, 150, 406, 
265, 150, 397, 149, 396, 149, 398, 150, 392, 150, 410, 149, 406, 
270, 150, 396, 150, 396, 149, 398, 150, 390, 150, 409, 150, 406, 
275, 150, 397, 150, 398, 149, 397, 150, 388, 150, 407, 149, 405, 
280, 150, 396, 150, 397, 149, 398, 150, 391, 150, 407, 150, 404, 
285, 150, 397, 149, 396, 150, 399, 150, 388, 150, 406, 150, 406, 
290, 149, 395, 149, 397, 150, 398, 150, 388, 149, 405, 149, 405, 
295, 150, 396, 149, 397, 150, 397, 150, 389, 149, 406, 150, 405, 
300, 150, 395, 149, 395, 150, 397, 150, 390, 150, 406, 150, 405, 
305, 149, 395, 150, 395, 150, 398, 150, 387, 150, 406, 150, 405, 
310, 150, 396, 149, 396, 149, 397, 150, 389, 150, 405, 149, 405, 
315, 149, 394, 150, 396, 149, 397, 149, 387, 149, 405, 150, 403, 
320, 150, 395, 149, 395, 150, 398, 149, 387, 150, 404, 150, 404, 
325, 150, 396, 149, 396, 149, 396, 150, 387, 150, 404, 150, 404, 
330, 150, 395, 150, 395, 149, 397, 150, 388, 150, 404, 150, 401, 
