t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 416, 149, 406, 150, 410, 149, 409, 150, 437, 150, 431, 
10, 150, 416, 150, 406, 150, 409, 150, 409, 150, 437, 150, 432, 
15, 150, 416, 149, 407, 150, 408, 150, 409, 149, 437, 150, 432, 
20, 150, 416, 149, 405, 150, 408, 149, 409, 149, 437, 149, 430, 
25, 150, 415, 149, 406, 150, 408, 150, 407, 150, 437, 150, 430, 
30, 150, 412, 149, 405, 150, 409, 150, 408, 149, 436, 150, 431, 
35, 150, 413, 150, 405, 149, 408, 150, 410, 150, 436, 150, 432, 
40, 149, 408, 150, 402, 150, 406, 149, 406, 150, 433, 150, 429, 
45, 150, 406, 150, 398, 149, 399, 150, 404, 149, 428, 150, 424, 
50, 150, 405, 149, 394, 150, 397, 149, 396, 150, 426, 150, 421, 
55, 150, 405, 150, 394, 150, 394, 149, 397, 150, 425, 150, 419, 
60, 150, 408, 150, 394, 149, 393, 149, 396, 150, 425, 150, 419, 
65, 150, 396, 150, 389, 150, 388, 149, 393, 149, 419, 150, 414, 
70, 150, 394, 149, 386, 150, 386, 150, 392, 150, 418, 150, 413, 
75, 150, 393, 149, 384, 150, 383, 150, 389, 150, 416, 149, 409, 
80, 150, 387, 149, 383, 149, 381, 150, 385, 149, 414, 150, 408, 
85, 150, 385, 150, 381, 150, 381, 150, 387, 149, 414, 150, 411, 
90, 150, 383, 149, 380, 149, 380, 150, 386, 150, 414, 149, 410, 
95, 150, 384, 149, 380, 150, 380, 149, 384, 150, 416, 149, 411, 
100, 150, 383, 149, 380, 149, 381, 150, 384, 149, 417, 150, 413, 
105, 150, 384, 149, 383, 150, 382, 149, 384, 149, 419, 149, 413, 
110, 150, 384, 150, 381, 150, 383, 150, 383, 150, 422, 150, 416, 
115, 149, 382, 150, 382, 150, 384, 149, 381, 150, 422, 149, 418, 
120, 150, 381, 149, 382, 149, 383, 150, 383, 150, 423, 149, 419, 
125, 150, 384, 149, 386, 150, 385, 149, 383, 149, 425, 149, 421, 
130, 150, 383, 149, 386, 150, 386, 149, 385, 149, 425, 150, 422, 
135, 150, 383, 149, 388, 150, 389, 149, 385, 149, 424, 150, 423, 
140, 150, 384, 149, 387, 149, 389, 150, 389, 150, 425, 150, 427, 
145, 150, 386, 149, 389, 149, 387, 149, 388, 149, 425, 150, 429, 
150, 150, 387, 149, 388, 150, 390, 149, 388, 150, 426, 150, 427, 
155, 150, 388, 149, 389, 150, 391, 150, 391, 149, 425, 150, 429, 
160, 150, 388, 149, 390, 149, 390, 149, 391, 149, 425, 150, 429, 
165, 150, 390, 149, 392, 150, 390, 150, 391, 150, 426, 149, 428, 
170, 150, 390, 149, 393, 150, 391, 150, 392, 150, 428, 150, 426, 
175, 150, 391, 149, 394, 150, 391, 150, 393, 150, 426, 149, 427, 
180, 150, 392, 149, 394, 150, 391, 150, 393, 150, 426, 150, 427, 
185, 149, 393, 149, 394, 150, 390, 149, 393, 150, 427, 150, 428, 
190, 150, 393, 149, 396, 150, 391, 149, 392, 150, 426, 150, 426, 
195, 150, 393, 149, 396, 150, 393, 150, 396, 149, 426, 150, 424, 
200, 150, 394, 149, 398, 150, 391, 149, 394, 150, 428, 150, 424, 
205, 149, 394, 149, 397, 150, 391, 150, 397, 150, 427, 150, 424, 
210, 150, 394, 149, 398, 150, 391, 150, 395, 150, 426, 150, 424, 
215, 150, 394, 149, 398, 150, 391, 149, 394, 150, 425, 150, 423, 
220, 150, 395, 149, 397, 149, 392, 150, 394, 149, 427, 150, 423, 
225, 150, 395, 149, 398, 150, 392, 150, 395, 149, 426, 150, 423, 
230, 150, 395, 149, 396, 150, 390, 150, 395, 149, 426, 150, 422, 
235, 150, 395, 149, 397, 150, 391, 149, 394, 149, 424, 150, 421, 
240, 150, 394, 149, 399, 150, 391, 150, 395, 150, 425, 150, 421, 
245, 150, 395, 149, 401, 150, 390, 150, 397, 149, 425, 149, 419, 
250, 150, 394, 149, 398, 150, 389, 149, 395, 149, 424, 150, 421, 
255, 150, 395, 150, 398, 149, 390, 149, 394, 150, 424, 150, 419, 
260, 149, 395, 150, 399, 149, 390, 150, 395, 150, 423, 150, 419, 
265, 149, 395, 149, 398, 150, 390, 149, 394, 150, 423, 150, 420, 
270, 150, 394, 149, 398, 149, 390, 150, 394, 149, 423, 150, 417, 
275, 150, 394, 150, 399, 150, 389, 150, 394, 149, 422, 150, 418, 
280, 150, 394, 149, 400, 149, 388, 150, 397, 149, 423, 150, 417, 
285, 150, 393, 150, 400, 150, 388, 150, 394, 149, 423, 150, 418, 
290, 150, 393, 149, 401, 149, 388, 150, 393, 149, 421, 150, 417, 
295, 149, 393, 150, 400, 150, 388, 149, 395, 149, 423, 149, 416, 
300, 149, 393, 149, 401, 149, 387, 149, 395, 149, 421, 150, 419, 
305, 150, 392, 150, 401, 150, 386, 150, 395, 149, 421, 149, 415, 
310, 150, 392, 149, 400, 149, 387, 149, 394, 149, 421, 150, 415, 
315, 150, 392, 150, 400, 149, 387, 150, 395, 149, 419, 150, 415, 
320, 150, 391, 149, 401, 149, 386, 149, 396, 150, 420, 150, 416, 
325, 150, 391, 150, 400, 150, 384, 150, 395, 149, 419, 150, 416, 
330, 150, 390, 149, 401, 149, 384, 149, 393, 150, 419, 150, 413, 
