t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 404, 149, 405, 150, 412, 149, 410, 150, 431, 150, 413, 
10, 150, 404, 149, 408, 149, 412, 149, 410, 149, 430, 149, 411, 
15, 150, 406, 149, 407, 150, 414, 150, 410, 150, 430, 150, 410, 
20, 150, 408, 150, 407, 149, 412, 150, 412, 150, 428, 149, 410, 
25, 150, 409, 150, 407, 150, 414, 150, 412, 150, 430, 150, 410, 
30, 150, 412, 149, 408, 149, 414, 149, 407, 150, 429, 149, 409, 
35, 150, 408, 149, 403, 150, 410, 149, 406, 149, 428, 150, 408, 
40, 149, 407, 149, 403, 149, 408, 150, 405, 150, 427, 150, 407, 
45, 150, 397, 150, 396, 150, 405, 150, 404, 150, 423, 150, 405, 
50, 150, 387, 149, 393, 150, 402, 149, 398, 149, 419, 149, 399, 
55, 150, 381, 150, 392, 150, 399, 150, 394, 150, 416, 150, 395, 
60, 150, 379, 149, 389, 149, 395, 150, 394, 149, 413, 149, 393, 
65, 150, 378, 150, 391, 150, 397, 149, 394, 150, 412, 150, 394, 
70, 150, 375, 150, 389, 150, 394, 149, 393, 149, 412, 150, 394, 
75, 150, 374, 150, 389, 150, 392, 150, 393, 150, 409, 150, 394, 
80, 150, 375, 149, 388, 149, 392, 150, 393, 150, 412, 150, 395, 
85, 150, 374, 149, 388, 149, 392, 149, 390, 150, 410, 149, 394, 
90, 150, 374, 150, 386, 150, 391, 149, 388, 150, 409, 150, 394, 
95, 150, 375, 149, 387, 149, 390, 150, 390, 150, 406, 150, 394, 
100, 149, 375, 150, 386, 150, 391, 150, 390, 149, 409, 149, 394, 
105, 150, 374, 150, 385, 149, 391, 150, 386, 150, 408, 150, 394, 
110, 150, 374, 149, 385, 150, 389, 150, 388, 149, 406, 149, 393, 
115, 150, 373, 149, 384, 150, 390, 149, 389, 150, 407, 150, 394, 
120, 150, 373, 149, 382, 149, 390, 150, 388, 150, 407, 149, 395, 
125, 150, 375, 149, 383, 150, 390, 150, 391, 150, 407, 150, 394, 
130, 150, 375, 149, 382, 149, 391, 150, 390, 150, 408, 150, 397, 
135, 150, 375, 149, 383, 150, 392, 150, 391, 149, 408, 150, 397, 
140, 150, 375, 149, 383, 150, 391, 149, 390, 150, 407, 149, 397, 
145, 149, 375, 149, 382, 149, 391, 150, 391, 150, 408, 149, 398, 
150, 149, 376, 150, 384, 150, 391, 150, 392, 149, 410, 150, 399, 
155, 150, 377, 149, 384, 149, 391, 149, 389, 150, 408, 150, 398, 
160, 150, 376, 149, 383, 150, 389, 149, 391, 149, 408, 150, 397, 
165, 150, 377, 149, 382, 150, 391, 150, 390, 150, 408, 150, 397, 
170, 150, 378, 149, 385, 150, 392, 150, 391, 150, 408, 150, 397, 
175, 150, 378, 150, 386, 150, 392, 150, 391, 150, 409, 150, 396, 
180, 150, 378, 149, 384, 149, 391, 150, 391, 149, 408, 149, 397, 
185, 150, 378, 149, 385, 149, 392, 150, 390, 150, 408, 150, 397, 
190, 150, 377, 149, 384, 150, 391, 149, 388, 150, 409, 149, 396, 
195, 150, 377, 149, 386, 150, 389, 150, 390, 150, 407, 150, 395, 
200, 150, 377, 149, 384, 149, 391, 149, 390, 150, 408, 149, 396, 
205, 149, 377, 149, 385, 150, 391, 150, 391, 149, 407, 149, 395, 
210, 150, 377, 150, 386, 150, 390, 150, 388, 150, 406, 150, 394, 
215, 149, 377, 149, 385, 150, 390, 150, 390, 150, 406, 150, 395, 
220, 150, 377, 149, 386, 150, 390, 150, 391, 149, 406, 150, 395, 
225, 150, 377, 149, 385, 149, 389, 150, 387, 150, 406, 149, 393, 
230, 150, 377, 149, 385, 150, 389, 150, 388, 149, 407, 149, 393, 
235, 150, 376, 150, 386, 150, 390, 149, 389, 150, 405, 150, 393, 
240, 150, 377, 149, 383, 149, 387, 150, 387, 150, 405, 149, 393, 
245, 149, 376, 149, 385, 150, 388, 149, 387, 150, 404, 149, 392, 
250, 150, 376, 149, 385, 149, 387, 150, 387, 150, 403, 150, 391, 
255, 150, 376, 149, 384, 150, 388, 149, 386, 149, 402, 149, 391, 
260, 150, 375, 149, 386, 150, 386, 150, 385, 150, 403, 150, 391, 
265, 150, 374, 149, 384, 150, 386, 149, 384, 150, 402, 149, 391, 
270, 150, 374, 150, 384, 150, 386, 150, 384, 149, 402, 149, 391, 
275, 150, 375, 149, 383, 149, 384, 149, 384, 149, 400, 150, 390, 
280, 150, 374, 150, 382, 150, 382, 150, 384, 150, 400, 150, 390, 
285, 150, 373, 149, 383, 150, 384, 149, 383, 149, 400, 150, 390, 
290, 150, 373, 149, 382, 150, 382, 149, 382, 149, 399, 150, 389, 
295, 150, 373, 149, 381, 150, 382, 150, 383, 150, 400, 150, 386, 
300, 150, 373, 149, 380, 149, 381, 150, 384, 150, 397, 150, 388, 
305, 150, 372, 149, 381, 150, 382, 149, 383, 149, 398, 150, 388, 
310, 150, 372, 150, 380, 149, 380, 150, 380, 150, 397, 150, 386, 
315, 150, 371, 149, 379, 149, 379, 150, 383, 149, 397, 149, 386, 
320, 149, 370, 150, 378, 150, 382, 150, 382, 150, 398, 150, 389, 
325, 150, 371, 149, 379, 149, 380, 150, 380, 150, 395, 149, 385, 
330, 150, 371, 149, 379, 150, 378, 149, 380, 150, 394, 150, 383, 
