t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 432, 149, 422, 150, 404, 150, 405, 150, 419, 150, 406, 
10, 150, 428, 149, 426, 149, 405, 149, 405, 149, 419, 150, 406, 
15, 150, 427, 150, 423, 150, 405, 150, 405, 150, 419, 149, 407, 
20, 150, 425, 149, 423, 149, 404, 150, 409, 150, 420, 150, 408, 
25, 149, 423, 149, 425, 149, 404, 149, 405, 150, 419, 149, 407, 
30, 150, 419, 150, 426, 150, 406, 149, 406, 150, 420, 150, 406, 
35, 150, 423, 149, 423, 150, 404, 150, 404, 150, 419, 150, 407, 
40, 150, 421, 149, 425, 149, 405, 149, 405, 150, 419, 150, 408, 
45, 150, 418, 150, 425, 149, 404, 150, 406, 149, 418, 150, 405, 
50, 150, 417, 149, 424, 150, 404, 150, 406, 150, 419, 150, 407, 
55, 150, 416, 150, 425, 150, 400, 150, 405, 149, 417, 150, 405, 
60, 149, 413, 149, 423, 150, 401, 150, 403, 150, 419, 150, 405, 
65, 150, 399, 149, 405, 150, 399, 149, 397, 149, 412, 150, 403, 
70, 150, 402, 149, 409, 149, 397, 150, 397, 150, 411, 150, 402, 
75, 150, 403, 150, 411, 150, 397, 150, 399, 149, 412, 150, 402, 
80, 150, 404, 150, 413, 150, 397, 150, 397, 149, 418, 150, 403, 
85, 150, 404, 150, 412, 150, 400, 150, 397, 150, 442, 150, 414, 
90, 150, 404, 149, 413, 150, 412, 150, 395, 150, 458, 149, 430, 
95, 150, 402, 150, 412, 149, 420, 150, 391, 150, 470, 149, 443, 
100, 150, 401, 150, 412, 149, 426, 149, 391, 150, 479, 150, 453, 
105, 150, 401, 149, 412, 150, 430, 149, 389, 150, 483, 150, 458, 
110, 150, 401, 150, 413, 150, 433, 150, 387, 150, 482, 150, 462, 
115, 150, 398, 149, 417, 149, 436, 150, 389, 149, 481, 149, 467, 
120, 150, 398, 149, 419, 150, 439, 149, 387, 149, 478, 149, 468, 
125, 150, 399, 149, 421, 149, 437, 150, 387, 150, 476, 149, 466, 
130, 150, 399, 150, 422, 149, 436, 150, 385, 149, 472, 149, 469, 
135, 150, 400, 150, 419, 150, 439, 150, 388, 150, 471, 150, 468, 
140, 150, 401, 149, 418, 150, 436, 150, 389, 150, 469, 150, 467, 
145, 150, 401, 149, 419, 150, 434, 150, 388, 150, 466, 149, 465, 
150, 150, 401, 149, 417, 150, 436, 150, 389, 150, 464, 150, 464, 
155, 150, 401, 149, 418, 149, 434, 149, 386, 150, 462, 150, 465, 
160, 150, 403, 149, 417, 149, 432, 150, 387, 149, 460, 150, 462, 
165, 150, 404, 149, 417, 149, 431, 150, 387, 150, 458, 150, 459, 
170, 150, 405, 150, 418, 150, 431, 150, 386, 149, 455, 150, 457, 
175, 150, 405, 149, 416, 149, 430, 150, 387, 150, 453, 150, 456, 
180, 150, 406, 149, 417, 150, 429, 150, 388, 150, 452, 149, 454, 
185, 150, 404, 149, 420, 149, 429, 150, 386, 149, 450, 150, 449, 
190, 150, 405, 149, 421, 150, 427, 150, 387, 149, 447, 150, 450, 
195, 150, 405, 149, 418, 150, 427, 149, 388, 150, 447, 150, 447, 
200, 150, 405, 149, 418, 149, 426, 149, 388, 149, 446, 150, 447, 
205, 150, 405, 150, 418, 150, 426, 149, 385, 150, 444, 149, 443, 
210, 150, 406, 149, 417, 150, 426, 150, 388, 149, 443, 150, 442, 
215, 150, 406, 149, 418, 149, 425, 150, 387, 150, 444, 150, 441, 
220, 150, 406, 150, 418, 150, 423, 149, 385, 149, 444, 150, 438, 
225, 150, 406, 149, 418, 149, 422, 149, 388, 150, 441, 150, 438, 
230, 150, 407, 149, 417, 149, 423, 150, 389, 150, 441, 149, 438, 
235, 150, 406, 149, 419, 150, 422, 149, 388, 150, 440, 150, 435, 
240, 150, 407, 149, 419, 150, 421, 149, 388, 150, 438, 150, 437, 
245, 150, 407, 150, 420, 149, 420, 150, 390, 150, 437, 150, 436, 
250, 150, 407, 149, 419, 149, 420, 150, 389, 150, 439, 150, 433, 
255, 149, 407, 150, 420, 150, 419, 150, 389, 150, 438, 149, 433, 
260, 150, 407, 149, 419, 149, 420, 150, 388, 150, 438, 150, 433, 
265, 150, 407, 149, 419, 149, 422, 149, 388, 149, 436, 150, 432, 
270, 150, 408, 150, 420, 150, 420, 150, 388, 150, 437, 150, 429, 
275, 150, 409, 149, 420, 149, 418, 149, 390, 149, 434, 150, 429, 
280, 150, 410, 149, 419, 150, 420, 150, 390, 150, 436, 149, 430, 
285, 149, 409, 149, 419, 150, 418, 150, 389, 150, 434, 150, 426, 
290, 150, 411, 149, 419, 150, 416, 150, 391, 149, 433, 149, 428, 
295, 150, 411, 149, 418, 150, 418, 150, 392, 150, 432, 150, 427, 
300, 150, 412, 149, 418, 149, 417, 150, 392, 150, 431, 150, 425, 
305, 150, 412, 149, 417, 150, 415, 149, 389, 150, 429, 149, 426, 
310, 150, 413, 149, 417, 150, 417, 150, 392, 149, 427, 150, 426, 
315, 150, 413, 149, 418, 149, 417, 149, 390, 150, 427, 150, 423, 
320, 150, 414, 150, 417, 150, 417, 149, 390, 149, 427, 150, 423, 
325, 149, 414, 149, 418, 149, 416, 149, 391, 150, 427, 149, 421, 
330, 150, 416, 149, 419, 150, 417, 149, 390, 150, 425, 150, 418, 
