t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 420, 150, 437, 149, 424, 149, 372, 150, 435, 150, 413, 
10, 150, 424, 149, 443, 150, 431, 149, 373, 149, 437, 150, 416, 
15, 150, 426, 150, 446, 149, 435, 150, 377, 150, 438, 150, 419, 
20, 150, 426, 149, 447, 149, 439, 150, 377, 149, 439, 150, 419, 
25, 150, 427, 149, 450, 149, 441, 150, 376, 150, 440, 150, 421, 
30, 150, 427, 150, 451, 149, 442, 149, 378, 149, 440, 150, 421, 
35, 150, 426, 149, 451, 149, 442, 150, 377, 150, 439, 150, 421, 
40, 149, 426, 150, 454, 150, 441, 149, 376, 149, 437, 150, 422, 
45, 149, 425, 149, 452, 149, 443, 150, 374, 150, 437, 150, 421, 
50, 150, 422, 150, 454, 150, 447, 149, 372, 149, 433, 149, 423, 
55, 150, 420, 149, 453, 150, 451, 150, 375, 150, 433, 149, 424, 
60, 150, 420, 149, 452, 150, 457, 149, 377, 150, 431, 150, 422, 
65, 150, 419, 150, 452, 150, 461, 150, 376, 149, 431, 150, 422, 
70, 150, 417, 149, 451, 150, 462, 149, 377, 149, 427, 150, 420, 
75, 149, 417, 150, 451, 150, 463, 150, 379, 150, 426, 149, 419, 
80, 150, 417, 149, 452, 149, 476, 149, 380, 150, 426, 149, 418, 
85, 150, 418, 149, 453, 150, 503, 149, 379, 149, 426, 150, 419, 
90, 150, 421, 150, 453, 149, 518, 150, 384, 150, 427, 150, 418, 
95, 150, 423, 149, 455, 149, 524, 150, 380, 149, 426, 150, 418, 
100, 150, 426, 150, 457, 150, 530, 149, 382, 150, 426, 150, 419, 
105, 150, 430, 150, 458, 150, 533, 149, 383, 150, 424, 149, 419, 
110, 149, 434, 149, 460, 150, 532, 150, 389, 150, 425, 150, 421, 
115, 150, 439, 150, 464, 150, 531, 150, 388, 150, 426, 150, 424, 
120, 150, 444, 149, 468, 149, 531, 150, 390, 149, 428, 149, 422, 
125, 150, 449, 150, 467, 150, 529, 150, 392, 150, 428, 149, 423, 
130, 150, 454, 150, 469, 149, 528, 149, 394, 150, 430, 150, 425, 
135, 150, 459, 149, 471, 150, 529, 150, 394, 149, 433, 150, 427, 
140, 150, 463, 150, 473, 150, 527, 150, 399, 150, 436, 150, 429, 
145, 150, 465, 149, 475, 150, 525, 149, 401, 150, 437, 150, 429, 
150, 150, 468, 149, 477, 150, 524, 150, 404, 150, 441, 149, 431, 
155, 149, 471, 149, 478, 150, 524, 150, 405, 149, 443, 149, 432, 
160, 149, 473, 150, 481, 150, 522, 150, 408, 150, 446, 150, 433, 
165, 150, 476, 149, 481, 150, 525, 150, 413, 150, 452, 149, 432, 
170, 150, 479, 149, 484, 150, 520, 150, 411, 149, 451, 150, 435, 
175, 150, 482, 150, 486, 150, 522, 151, 418, 150, 456, 150, 436, 
180, 150, 484, 149, 490, 150, 517, 150, 418, 150, 458, 150, 437, 
185, 150, 485, 149, 493, 150, 519, 149, 418, 150, 460, 150, 438, 
190, 150, 487, 150, 495, 149, 518, 150, 422, 150, 463, 150, 440, 
195, 150, 488, 149, 496, 150, 521, 149, 424, 149, 462, 150, 439, 
200, 150, 490, 149, 502, 150, 519, 150, 426, 149, 464, 150, 442, 
205, 150, 491, 149, 506, 150, 523, 149, 427, 150, 466, 150, 444, 
210, 150, 492, 149, 506, 149, 522, 149, 430, 150, 467, 150, 443, 
215, 150, 492, 149, 508, 150, 525, 149, 432, 150, 470, 150, 445, 
220, 150, 493, 149, 513, 150, 525, 149, 432, 149, 470, 150, 446, 
225, 150, 494, 150, 514, 149, 531, 150, 438, 150, 473, 150, 447, 
230, 150, 494, 149, 516, 150, 531, 150, 437, 149, 473, 150, 447, 
235, 150, 494, 149, 519, 150, 533, 150, 440, 150, 475, 149, 448, 
240, 150, 494, 150, 520, 149, 532, 150, 441, 150, 477, 150, 448, 
245, 150, 495, 149, 523, 150, 531, 149, 442, 150, 477, 150, 448, 
250, 150, 495, 149, 526, 149, 527, 150, 446, 150, 479, 149, 450, 
255, 150, 495, 149, 527, 150, 528, 149, 446, 150, 480, 149, 450, 
260, 150, 495, 149, 528, 150, 526, 150, 449, 149, 479, 150, 452, 
265, 150, 495, 150, 530, 150, 528, 149, 450, 150, 481, 150, 453, 
270, 150, 494, 149, 532, 150, 528, 149, 451, 150, 482, 150, 454, 
275, 149, 494, 150, 534, 150, 525, 150, 456, 150, 482, 150, 453, 
280, 150, 492, 150, 533, 149, 524, 150, 458, 149, 483, 150, 456, 
285, 150, 490, 149, 535, 150, 527, 149, 457, 150, 484, 150, 456, 
290, 150, 488, 149, 537, 149, 524, 150, 460, 150, 485, 149, 454, 
295, 150, 487, 149, 536, 150, 523, 150, 463, 149, 486, 149, 455, 
300, 150, 486, 150, 537, 150, 522, 150, 466, 149, 486, 150, 456, 
305, 150, 485, 149, 539, 149, 521, 149, 463, 149, 486, 149, 456, 
310, 150, 483, 149, 538, 150, 517, 150, 467, 150, 485, 150, 456, 
315, 150, 482, 150, 539, 150, 520, 150, 469, 150, 485, 150, 456, 
320, 150, 481, 149, 541, 150, 516, 149, 466, 149, 485, 150, 457, 
325, 150, 480, 149, 540, 150, 513, 150, 471, 150, 487, 150, 456, 
330, 150, 479, 150, 540, 150, 512, 149, 470, 149, 484, 149, 456, 
