t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 421, 149, 495, 150, 424, 149, 397, 150, 410, 149, 400, 
10, 150, 416, 149, 476, 150, 424, 150, 404, 150, 415, 150, 406, 
15, 150, 413, 150, 467, 149, 421, 150, 408, 150, 413, 150, 404, 
20, 150, 407, 149, 460, 150, 420, 149, 408, 150, 413, 150, 405, 
25, 150, 406, 150, 453, 150, 419, 150, 406, 149, 413, 150, 406, 
30, 150, 404, 149, 446, 149, 418, 149, 408, 149, 412, 149, 406, 
35, 150, 404, 149, 442, 150, 418, 149, 408, 150, 410, 150, 403, 
40, 150, 403, 149, 439, 149, 415, 149, 407, 150, 409, 150, 404, 
45, 150, 401, 149, 436, 150, 414, 150, 407, 149, 408, 150, 405, 
50, 150, 477, 150, 523, 149, 482, 150, 469, 150, 476, 150, 470, 
55, 150, 641, 149, 711, 150, 629, 149, 603, 150, 626, 149, 617, 
60, 150, 752, 149, 834, 150, 734, 149, 682, 150, 713, 150, 704, 
65, 150, 932, 150, 1068, 149, 894, 150, 785, 149, 805, 150, 822, 
70, 149, 2155, 149, 1969, 149, 1346, 149, 950, 150, 961, 150, 1083, 
75, 119, 3890, 120, 3236, 121, 3229, 123, 1142, 123, 1066, 122, 1697, 
80, 77, 3744, 78, 2927, 78, 3102, 80, 1207, 80, 1522, 79, 1976, 
85, 53, 3573, 54, 2753, 54, 2985, 56, 1312, 55, 1909, 55, 2026, 
90, 42, 3433, 43, 2584, 43, 2771, 44, 1547, 43, 2154, 43, 2109, 
95, 39, 3277, 39, 2470, 40, 2537, 40, 1843, 39, 2388, 40, 2097, 
100, 38, 3308, 39, 2384, 39, 2462, 39, 2028, 39, 2358, 39, 2068, 
105, 37, 3385, 38, 2320, 39, 2438, 39, 2047, 38, 2352, 39, 2060, 
110, 37, 3443, 38, 2263, 38, 2432, 39, 2056, 38, 2359, 38, 2053, 
115, 37, 3466, 38, 2214, 38, 2439, 39, 2068, 38, 2371, 38, 2047, 
120, 37, 3470, 38, 2167, 38, 2457, 39, 2077, 38, 2388, 38, 2043, 
125, 37, 3425, 39, 2131, 39, 2490, 39, 2089, 38, 2419, 39, 2044, 
130, 38, 3398, 39, 2088, 39, 2528, 39, 2092, 38, 2450, 39, 2039, 
