t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 407, 149, 403, 150, 393, 150, 392, 150, 422, 150, 404, 
10, 150, 406, 149, 403, 150, 392, 150, 396, 149, 423, 150, 404, 
15, 150, 406, 150, 402, 150, 392, 149, 395, 150, 427, 149, 403, 
20, 150, 406, 150, 403, 150, 393, 150, 394, 150, 432, 150, 405, 
25, 149, 405, 150, 402, 150, 395, 149, 394, 150, 436, 150, 405, 
30, 149, 405, 149, 401, 150, 392, 149, 395, 149, 437, 150, 402, 
35, 150, 405, 149, 403, 150, 393, 149, 396, 149, 439, 149, 405, 
40, 150, 404, 149, 403, 150, 394, 150, 395, 149, 441, 149, 404, 
45, 149, 404, 149, 404, 150, 393, 149, 394, 149, 441, 150, 401, 
50, 150, 404, 150, 404, 149, 393, 150, 396, 150, 440, 150, 400, 
55, 150, 402, 149, 403, 149, 393, 150, 394, 150, 426, 150, 398, 
60, 150, 400, 149, 402, 149, 392, 150, 392, 149, 423, 150, 399, 
65, 150, 399, 150, 403, 150, 393, 150, 392, 149, 423, 150, 397, 
70, 150, 398, 149, 402, 150, 392, 150, 389, 150, 424, 150, 399, 
75, 150, 396, 149, 401, 149, 390, 150, 389, 150, 422, 150, 397, 
80, 150, 396, 149, 400, 150, 388, 149, 388, 150, 422, 149, 395, 
85, 150, 396, 149, 400, 150, 388, 149, 386, 149, 421, 150, 397, 
90, 150, 395, 150, 399, 149, 386, 150, 386, 150, 421, 150, 394, 
95, 150, 395, 149, 398, 150, 384, 150, 386, 150, 420, 149, 393, 
100, 150, 395, 149, 397, 150, 385, 150, 385, 149, 418, 150, 393, 
105, 149, 395, 149, 396, 150, 384, 149, 382, 149, 418, 150, 397, 
110, 150, 396, 149, 395, 150, 382, 150, 383, 150, 418, 149, 395, 
115, 150, 397, 149, 395, 149, 382, 150, 383, 150, 419, 150, 398, 
120, 150, 397, 149, 394, 150, 383, 150, 380, 150, 419, 150, 398, 
125, 149, 397, 149, 392, 149, 383, 150, 381, 150, 420, 150, 397, 
130, 150, 398, 150, 392, 150, 382, 150, 380, 149, 420, 150, 395, 
135, 150, 399, 149, 392, 150, 383, 150, 380, 149, 421, 150, 395, 
140, 149, 400, 150, 390, 149, 383, 150, 381, 150, 421, 150, 395, 
145, 150, 400, 149, 390, 150, 383, 150, 382, 150, 420, 150, 392, 
150, 150, 402, 150, 390, 150, 383, 150, 382, 150, 420, 149, 392, 
155, 150, 402, 149, 390, 149, 383, 150, 380, 150, 420, 150, 392, 
160, 150, 403, 149, 388, 150, 383, 150, 382, 150, 419, 149, 389, 
165, 149, 404, 149, 388, 150, 383, 150, 384, 150, 422, 150, 391, 
170, 149, 405, 149, 389, 150, 383, 149, 383, 149, 421, 150, 389, 
175, 150, 407, 149, 388, 149, 384, 150, 385, 149, 423, 150, 390, 
180, 149, 409, 150, 388, 149, 383, 149, 385, 150, 424, 150, 388, 
185, 150, 410, 149, 388, 149, 383, 150, 387, 150, 425, 150, 389, 
190, 150, 412, 150, 388, 149, 384, 150, 390, 150, 426, 150, 389, 
195, 150, 413, 149, 386, 150, 386, 149, 389, 150, 425, 150, 387, 
200, 150, 414, 149, 388, 150, 387, 150, 390, 149, 426, 150, 389, 
205, 150, 417, 149, 388, 150, 387, 150, 391, 150, 427, 150, 389, 
210, 150, 417, 149, 387, 150, 386, 149, 393, 150, 427, 149, 387, 
215, 150, 418, 149, 389, 150, 386, 149, 393, 150, 428, 150, 388, 
220, 150, 420, 149, 390, 150, 389, 150, 395, 150, 429, 149, 388, 
225, 150, 421, 149, 388, 149, 388, 150, 398, 150, 429, 150, 391, 
230, 150, 422, 149, 389, 150, 388, 150, 400, 150, 430, 150, 389, 
235, 150, 423, 149, 389, 150, 389, 150, 400, 149, 431, 150, 390, 
240, 149, 423, 150, 390, 149, 390, 149, 399, 150, 432, 150, 390, 
245, 150, 424, 149, 388, 150, 391, 149, 401, 150, 432, 150, 389, 
250, 150, 426, 150, 391, 150, 392, 149, 403, 150, 433, 150, 389, 
255, 149, 426, 149, 390, 150, 394, 149, 401, 150, 434, 149, 389, 
260, 150, 428, 149, 389, 150, 394, 150, 407, 150, 433, 150, 388, 
265, 150, 428, 149, 391, 149, 393, 150, 407, 150, 435, 150, 390, 
270, 150, 429, 149, 391, 150, 396, 150, 407, 149, 434, 150, 391, 
275, 150, 431, 150, 390, 149, 395, 150, 411, 150, 434, 150, 391, 
280, 150, 431, 149, 391, 150, 396, 149, 410, 149, 434, 149, 390, 
285, 150, 431, 149, 391, 149, 398, 149, 412, 149, 435, 150, 390, 
290, 150, 433, 149, 392, 149, 399, 150, 415, 149, 435, 150, 390, 
295, 150, 433, 150, 393, 150, 400, 150, 416, 149, 434, 150, 389, 
300, 150, 434, 150, 394, 149, 402, 150, 418, 149, 435, 150, 390, 
305, 149, 434, 149, 394, 150, 402, 150, 416, 149, 433, 150, 391, 
310, 150, 434, 150, 396, 150, 404, 150, 420, 149, 432, 150, 390, 
315, 150, 435, 150, 395, 149, 404, 149, 419, 150, 433, 150, 392, 
320, 150, 435, 149, 396, 150, 405, 149, 421, 149, 432, 149, 390, 
325, 149, 436, 149, 398, 149, 406, 150, 424, 150, 432, 150, 391, 
330, 150, 438, 150, 397, 150, 406, 150, 426, 150, 431, 149, 391, 
