t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 437, 150, 428, 150, 429, 149, 425, 149, 445, 150, 430, 
10, 150, 437, 149, 429, 150, 428, 150, 423, 150, 445, 149, 431, 
15, 150, 437, 149, 430, 150, 427, 150, 424, 150, 446, 150, 430, 
20, 150, 440, 149, 429, 149, 427, 150, 425, 150, 444, 149, 430, 
25, 150, 440, 149, 429, 150, 428, 149, 424, 150, 442, 150, 429, 
30, 150, 441, 150, 428, 149, 426, 150, 423, 149, 442, 149, 429, 
35, 150, 441, 149, 429, 150, 426, 150, 422, 150, 442, 150, 428, 
40, 150, 443, 150, 428, 149, 425, 150, 426, 150, 443, 150, 429, 
45, 150, 446, 149, 426, 150, 426, 150, 424, 149, 441, 149, 429, 
50, 150, 448, 149, 425, 150, 424, 149, 422, 150, 442, 150, 428, 
55, 150, 449, 149, 428, 150, 424, 150, 421, 149, 441, 150, 428, 
60, 150, 445, 150, 425, 149, 421, 149, 419, 149, 439, 150, 428, 
65, 149, 442, 150, 421, 150, 420, 150, 419, 149, 436, 150, 426, 
70, 150, 430, 150, 418, 149, 415, 150, 414, 149, 431, 149, 421, 
75, 150, 421, 149, 414, 149, 414, 150, 414, 150, 430, 150, 421, 
80, 150, 414, 149, 413, 150, 414, 150, 413, 149, 426, 150, 417, 
85, 150, 413, 149, 413, 150, 412, 150, 410, 150, 427, 150, 416, 
90, 150, 412, 150, 413, 150, 410, 150, 409, 150, 429, 150, 416, 
95, 149, 411, 149, 413, 150, 412, 149, 407, 149, 425, 150, 417, 
100, 150, 410, 149, 411, 149, 411, 150, 411, 149, 425, 150, 412, 
105, 150, 411, 149, 412, 149, 411, 150, 405, 149, 426, 149, 412, 
110, 150, 412, 149, 411, 149, 410, 149, 406, 150, 426, 150, 413, 
115, 150, 411, 149, 410, 149, 411, 149, 405, 150, 426, 149, 411, 
120, 150, 411, 149, 406, 150, 410, 150, 405, 149, 424, 150, 412, 
125, 150, 410, 149, 406, 150, 409, 149, 404, 149, 424, 149, 411, 
130, 150, 411, 149, 407, 149, 410, 149, 404, 150, 424, 150, 409, 
135, 149, 411, 149, 408, 150, 410, 150, 404, 149, 422, 150, 408, 
140, 150, 411, 150, 406, 150, 409, 149, 402, 150, 423, 150, 408, 
145, 150, 410, 150, 405, 150, 408, 150, 403, 149, 423, 150, 408, 
150, 150, 410, 149, 404, 150, 408, 149, 403, 150, 421, 150, 408, 
155, 150, 410, 149, 404, 150, 408, 151, 405, 150, 421, 150, 406, 
160, 150, 410, 149, 404, 150, 407, 150, 402, 150, 421, 149, 406, 
165, 149, 409, 149, 404, 150, 407, 151, 405, 149, 420, 150, 407, 
170, 150, 409, 149, 405, 149, 407, 151, 407, 149, 420, 149, 407, 
175, 150, 407, 149, 403, 150, 407, 150, 404, 150, 420, 149, 404, 
180, 150, 407, 150, 404, 149, 405, 150, 404, 149, 420, 150, 407, 
185, 150, 407, 149, 404, 149, 405, 150, 403, 150, 420, 150, 404, 
190, 149, 408, 149, 405, 150, 406, 150, 403, 150, 419, 150, 405, 
195, 150, 406, 149, 402, 150, 407, 150, 402, 149, 419, 150, 403, 
200, 150, 407, 149, 403, 150, 407, 150, 400, 150, 420, 149, 404, 
205, 150, 406, 149, 404, 150, 406, 150, 402, 150, 420, 150, 405, 
210, 150, 409, 149, 405, 149, 406, 149, 403, 149, 419, 149, 404, 
215, 150, 408, 149, 405, 150, 406, 150, 403, 150, 419, 149, 402, 
220, 149, 405, 150, 404, 149, 407, 150, 402, 149, 419, 149, 403, 
225, 149, 407, 149, 407, 149, 405, 149, 403, 150, 419, 150, 402, 
230, 150, 406, 150, 406, 150, 407, 150, 404, 150, 418, 149, 401, 
235, 149, 406, 150, 406, 150, 405, 149, 402, 150, 418, 150, 402, 
240, 149, 405, 150, 406, 150, 403, 150, 404, 149, 418, 149, 402, 
245, 150, 404, 150, 406, 149, 405, 149, 403, 150, 419, 149, 401, 
250, 150, 406, 150, 405, 150, 406, 149, 404, 150, 417, 150, 399, 
255, 150, 405, 149, 405, 150, 406, 150, 402, 149, 417, 150, 400, 
260, 150, 404, 149, 407, 150, 405, 149, 403, 150, 417, 150, 401, 
265, 149, 404, 149, 407, 150, 406, 150, 404, 150, 417, 150, 399, 
270, 150, 403, 149, 406, 150, 406, 150, 404, 150, 415, 150, 398, 
275, 150, 403, 149, 407, 149, 404, 150, 403, 150, 416, 149, 398, 
280, 150, 403, 149, 406, 150, 403, 149, 403, 150, 415, 150, 399, 
285, 150, 403, 150, 406, 150, 406, 150, 403, 149, 415, 149, 398, 
290, 149, 402, 149, 405, 150, 405, 149, 402, 149, 414, 150, 399, 
295, 150, 402, 149, 406, 150, 404, 150, 404, 149, 414, 150, 398, 
300, 150, 403, 149, 404, 150, 405, 149, 403, 150, 414, 150, 396, 
305, 150, 402, 150, 404, 150, 405, 150, 403, 149, 413, 150, 393, 
310, 150, 401, 149, 404, 150, 406, 149, 400, 150, 413, 150, 393, 
315, 150, 401, 149, 405, 150, 404, 149, 401, 149, 413, 150, 392, 
320, 150, 400, 150, 404, 150, 404, 151, 406, 150, 411, 149, 390, 
325, 149, 400, 149, 402, 149, 404, 150, 402, 150, 410, 150, 390, 
330, 150, 399, 150, 402, 149, 404, 150, 401, 150, 412, 150, 390, 
