t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 472, 149, 492, 150, 499, 150, 491, 150, 531, 150, 515, 
10, 149, 474, 149, 500, 150, 509, 150, 500, 150, 544, 150, 523, 
15, 149, 476, 150, 508, 150, 514, 149, 510, 150, 552, 150, 527, 
20, 150, 475, 149, 512, 150, 513, 150, 513, 150, 555, 149, 528, 
25, 150, 475, 149, 514, 150, 515, 150, 513, 150, 557, 150, 530, 
30, 150, 475, 149, 513, 150, 517, 150, 514, 149, 556, 149, 531, 
35, 150, 475, 150, 514, 150, 515, 149, 514, 150, 556, 149, 532, 
40, 150, 476, 149, 513, 150, 514, 149, 514, 150, 556, 149, 532, 
45, 150, 475, 149, 513, 150, 517, 150, 513, 149, 556, 149, 533, 
50, 150, 475, 149, 514, 150, 517, 150, 514, 150, 556, 150, 532, 
55, 150, 475, 149, 515, 149, 516, 149, 515, 149, 555, 149, 534, 
60, 150, 475, 149, 514, 150, 514, 149, 514, 150, 555, 150, 535, 
65, 150, 475, 149, 515, 150, 516, 150, 512, 150, 557, 150, 535, 
70, 150, 477, 149, 516, 149, 514, 150, 513, 150, 557, 149, 533, 
