t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 447, 149, 457, 150, 445, 150, 451, 150, 479, 149, 463, 
10, 150, 448, 149, 459, 149, 448, 150, 453, 150, 482, 149, 461, 
15, 150, 448, 150, 459, 150, 445, 149, 452, 150, 477, 149, 460, 
20, 150, 449, 149, 459, 150, 448, 150, 450, 150, 477, 149, 460, 
25, 150, 449, 149, 459, 150, 447, 149, 449, 150, 477, 150, 459, 
30, 150, 446, 149, 456, 150, 445, 149, 449, 149, 474, 150, 458, 
35, 150, 449, 149, 460, 149, 449, 149, 451, 149, 475, 149, 460, 
40, 150, 447, 149, 457, 150, 446, 150, 448, 150, 471, 150, 460, 
45, 150, 447, 149, 456, 149, 444, 149, 446, 150, 472, 150, 459, 
50, 150, 447, 150, 457, 150, 443, 150, 448, 149, 470, 149, 458, 
55, 149, 446, 149, 456, 150, 443, 149, 443, 149, 470, 149, 458, 
60, 149, 446, 149, 456, 150, 441, 149, 445, 150, 468, 149, 455, 
65, 150, 450, 150, 453, 150, 438, 149, 443, 150, 466, 150, 453, 
70, 150, 450, 149, 454, 150, 437, 150, 442, 150, 467, 150, 453, 
75, 150, 449, 150, 453, 149, 436, 150, 443, 150, 464, 150, 451, 
80, 150, 450, 149, 451, 150, 435, 149, 444, 149, 461, 150, 448, 
85, 150, 450, 149, 450, 150, 435, 150, 443, 150, 462, 150, 450, 
90, 150, 450, 150, 450, 149, 436, 150, 443, 149, 460, 150, 449, 
95, 150, 448, 149, 449, 150, 435, 149, 442, 150, 459, 149, 448, 
100, 150, 449, 150, 449, 149, 433, 149, 441, 150, 458, 149, 447, 
105, 149, 446, 149, 448, 149, 434, 149, 439, 149, 459, 150, 445, 
110, 150, 446, 150, 448, 149, 435, 150, 440, 150, 457, 150, 445, 
115, 150, 445, 150, 447, 149, 433, 149, 440, 149, 458, 149, 444, 
120, 150, 444, 149, 446, 150, 435, 149, 438, 149, 457, 150, 445, 
125, 150, 443, 149, 446, 149, 435, 150, 440, 150, 458, 150, 445, 
130, 150, 445, 149, 443, 150, 436, 150, 438, 150, 458, 150, 445, 
135, 150, 444, 149, 445, 150, 436, 150, 439, 149, 458, 149, 443, 
140, 150, 444, 149, 446, 149, 437, 150, 440, 149, 456, 150, 445, 
145, 150, 444, 149, 446, 150, 439, 149, 440, 149, 457, 150, 444, 
150, 150, 444, 149, 445, 150, 439, 149, 440, 150, 457, 150, 445, 
155, 150, 444, 149, 446, 150, 440, 149, 440, 149, 457, 149, 444, 
160, 150, 444, 149, 447, 150, 440, 149, 440, 150, 457, 150, 444, 
165, 150, 444, 149, 447, 149, 442, 149, 441, 150, 460, 149, 446, 
170, 150, 442, 149, 449, 150, 443, 150, 436, 150, 460, 150, 446, 
175, 150, 443, 149, 449, 150, 443, 150, 440, 150, 461, 149, 445, 
180, 149, 443, 149, 449, 150, 444, 149, 440, 150, 462, 149, 445, 
185, 150, 443, 149, 447, 150, 445, 149, 441, 150, 462, 149, 446, 
190, 150, 443, 150, 450, 150, 443, 149, 441, 150, 461, 150, 445, 
195, 150, 442, 149, 450, 150, 445, 149, 442, 150, 462, 150, 446, 
200, 150, 440, 150, 449, 149, 444, 149, 442, 150, 461, 149, 445, 
205, 149, 441, 149, 449, 150, 447, 150, 443, 149, 462, 150, 445, 
210, 149, 439, 149, 450, 150, 446, 149, 443, 150, 463, 150, 443, 
215, 150, 441, 149, 451, 150, 447, 149, 441, 149, 462, 150, 445, 
220, 150, 440, 149, 448, 150, 447, 150, 443, 150, 463, 150, 446, 
225, 149, 439, 149, 450, 149, 445, 149, 442, 150, 464, 150, 443, 
230, 150, 439, 149, 450, 150, 447, 149, 445, 149, 465, 149, 444, 
235, 149, 439, 150, 448, 150, 447, 149, 447, 150, 464, 149, 446, 
240, 150, 438, 149, 450, 150, 445, 150, 447, 149, 464, 150, 447, 
245, 150, 439, 149, 450, 149, 446, 150, 446, 150, 464, 149, 444, 
250, 150, 439, 149, 452, 150, 447, 150, 445, 149, 464, 150, 445, 
255, 149, 437, 149, 450, 150, 447, 150, 447, 150, 465, 149, 447, 
260, 150, 438, 149, 451, 149, 446, 149, 443, 150, 464, 149, 446, 
265, 150, 438, 149, 451, 149, 448, 149, 442, 150, 463, 149, 443, 
270, 150, 433, 149, 451, 150, 447, 149, 444, 150, 461, 150, 447, 
275, 150, 434, 149, 452, 149, 447, 150, 445, 149, 463, 149, 441, 
280, 150, 434, 149, 449, 150, 447, 150, 445, 150, 464, 149, 444, 
285, 150, 434, 149, 452, 150, 447, 149, 444, 149, 461, 150, 446, 
290, 150, 436, 149, 452, 150, 447, 150, 445, 150, 463, 149, 444, 
295, 150, 435, 149, 453, 149, 447, 149, 443, 150, 462, 149, 445, 
300, 149, 434, 150, 452, 150, 447, 149, 446, 150, 462, 150, 447, 
305, 150, 433, 150, 452, 150, 447, 150, 445, 150, 462, 149, 446, 
310, 150, 433, 149, 451, 150, 446, 150, 443, 149, 462, 150, 445, 
315, 150, 431, 149, 452, 150, 445, 149, 445, 149, 461, 150, 443, 
320, 150, 430, 150, 453, 150, 447, 150, 444, 150, 460, 150, 447, 
325, 149, 431, 149, 453, 149, 446, 149, 445, 149, 459, 150, 446, 
330, 150, 429, 149, 453, 150, 445, 149, 444, 149, 458, 149, 444, 
