t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 465, 149, 468, 149, 460, 150, 445, 150, 475, 150, 460, 
10, 150, 468, 149, 470, 150, 460, 150, 451, 150, 476, 150, 463, 
15, 150, 470, 149, 472, 150, 464, 149, 451, 150, 479, 150, 467, 
20, 150, 470, 149, 474, 150, 465, 149, 451, 150, 481, 149, 467, 
25, 150, 472, 149, 472, 150, 467, 149, 454, 150, 480, 150, 466, 
30, 150, 468, 149, 469, 149, 465, 149, 452, 149, 477, 150, 462, 
35, 150, 472, 149, 472, 149, 465, 149, 453, 150, 479, 149, 466, 
40, 150, 472, 149, 474, 149, 468, 150, 453, 149, 478, 150, 468, 
45, 149, 471, 149, 473, 150, 468, 150, 454, 150, 477, 150, 464, 
50, 150, 470, 149, 471, 149, 466, 149, 451, 150, 476, 150, 465, 
55, 149, 466, 149, 472, 150, 463, 150, 448, 150, 471, 149, 458, 
60, 150, 464, 149, 471, 149, 459, 150, 447, 150, 469, 150, 455, 
65, 150, 462, 149, 468, 150, 458, 150, 445, 150, 467, 150, 454, 
70, 149, 457, 149, 463, 150, 455, 150, 444, 150, 463, 150, 449, 
75, 149, 452, 149, 461, 150, 452, 149, 439, 149, 459, 149, 444, 
80, 150, 454, 149, 459, 150, 452, 150, 439, 149, 457, 150, 444, 
85, 150, 453, 149, 459, 150, 449, 149, 437, 150, 454, 150, 441, 
90, 150, 452, 149, 457, 150, 450, 150, 437, 150, 453, 150, 441, 
95, 150, 452, 149, 455, 149, 449, 150, 435, 150, 453, 150, 439, 
100, 149, 451, 150, 455, 150, 447, 149, 436, 150, 451, 150, 437, 
105, 149, 450, 150, 452, 149, 447, 149, 436, 149, 451, 150, 438, 
110, 149, 450, 150, 453, 149, 446, 149, 435, 150, 451, 149, 436, 
115, 150, 450, 149, 452, 150, 446, 150, 436, 150, 450, 150, 434, 
120, 150, 450, 149, 451, 150, 445, 150, 434, 150, 451, 150, 435, 
125, 150, 449, 150, 449, 149, 442, 150, 434, 150, 450, 150, 433, 
130, 150, 449, 149, 450, 149, 442, 150, 436, 149, 450, 150, 434, 
135, 149, 449, 149, 449, 149, 444, 150, 434, 149, 450, 150, 433, 
140, 149, 449, 149, 448, 150, 442, 150, 437, 149, 451, 150, 433, 
145, 150, 449, 149, 446, 150, 444, 150, 435, 150, 452, 150, 433, 
150, 149, 449, 149, 447, 150, 444, 150, 436, 150, 453, 150, 432, 
155, 150, 449, 149, 446, 149, 442, 149, 434, 149, 451, 150, 433, 
160, 149, 449, 149, 447, 150, 445, 150, 435, 149, 452, 149, 431, 
165, 150, 449, 149, 448, 150, 443, 150, 436, 150, 452, 150, 431, 
170, 150, 449, 150, 446, 150, 442, 150, 436, 150, 454, 150, 432, 
175, 150, 450, 149, 446, 150, 444, 150, 436, 150, 454, 149, 432, 
180, 150, 450, 149, 446, 149, 442, 149, 434, 150, 453, 150, 432, 
185, 150, 450, 149, 448, 150, 442, 149, 433, 149, 452, 149, 431, 
190, 150, 452, 149, 447, 150, 443, 149, 436, 149, 453, 149, 432, 
195, 150, 452, 149, 448, 150, 441, 150, 436, 149, 452, 149, 430, 
200, 149, 452, 150, 449, 150, 445, 151, 438, 150, 455, 150, 432, 
205, 150, 452, 149, 446, 150, 443, 150, 435, 150, 454, 150, 431, 
210, 150, 453, 149, 447, 150, 443, 150, 437, 150, 453, 150, 431, 
215, 150, 452, 149, 447, 150, 444, 149, 435, 149, 453, 150, 432, 
220, 149, 452, 149, 448, 150, 445, 150, 436, 150, 453, 150, 433, 
225, 150, 452, 150, 447, 150, 444, 150, 438, 150, 453, 150, 432, 
230, 150, 453, 149, 446, 150, 443, 150, 436, 150, 453, 150, 432, 
235, 150, 454, 149, 448, 150, 444, 150, 439, 150, 452, 149, 434, 
240, 150, 454, 149, 447, 150, 444, 149, 435, 150, 452, 150, 433, 
245, 150, 454, 149, 447, 150, 443, 149, 436, 150, 450, 149, 433, 
250, 150, 454, 149, 447, 150, 444, 150, 437, 150, 450, 150, 434, 
255, 149, 454, 149, 447, 150, 443, 150, 435, 150, 451, 149, 431, 
260, 150, 454, 149, 449, 150, 444, 150, 436, 150, 448, 150, 431, 
265, 150, 453, 149, 448, 150, 445, 150, 437, 150, 450, 150, 430, 
270, 150, 453, 149, 446, 150, 444, 149, 436, 150, 449, 150, 431, 
275, 149, 452, 150, 446, 150, 445, 150, 437, 150, 447, 150, 430, 
280, 150, 453, 149, 447, 150, 443, 150, 437, 149, 447, 149, 430, 
285, 150, 452, 150, 448, 150, 444, 150, 435, 149, 446, 150, 430, 
290, 149, 451, 149, 447, 150, 444, 150, 434, 150, 446, 150, 430, 
295, 150, 452, 149, 446, 150, 444, 150, 436, 150, 445, 150, 427, 
300, 150, 450, 149, 446, 150, 445, 150, 433, 150, 444, 149, 429, 
305, 150, 450, 149, 447, 149, 444, 149, 432, 150, 444, 150, 428, 
310, 150, 449, 150, 443, 150, 443, 150, 433, 150, 442, 149, 425, 
315, 150, 448, 149, 446, 150, 443, 149, 432, 150, 442, 150, 428, 
320, 150, 448, 149, 444, 150, 444, 150, 432, 149, 442, 149, 425, 
325, 150, 448, 149, 445, 150, 444, 150, 433, 150, 440, 149, 425, 
330, 150, 447, 149, 442, 149, 442, 150, 432, 150, 440, 150, 425, 
