t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 441, 150, 439, 150, 439, 149, 435, 149, 452, 150, 441, 
10, 150, 441, 149, 439, 150, 441, 150, 437, 150, 453, 150, 439, 
15, 150, 442, 149, 441, 150, 440, 150, 439, 150, 454, 149, 439, 
20, 150, 441, 149, 440, 150, 440, 150, 438, 150, 455, 150, 441, 
25, 150, 441, 149, 440, 149, 441, 150, 437, 150, 456, 150, 441, 
30, 149, 440, 149, 441, 150, 441, 149, 439, 149, 456, 149, 441, 
35, 150, 441, 149, 441, 150, 442, 150, 439, 150, 456, 150, 442, 
40, 150, 441, 149, 439, 150, 441, 150, 439, 149, 455, 150, 442, 
45, 150, 440, 149, 439, 149, 440, 150, 440, 150, 455, 150, 443, 
50, 150, 441, 149, 438, 150, 439, 150, 435, 150, 453, 150, 442, 
55, 149, 440, 149, 438, 150, 439, 149, 437, 149, 453, 150, 441, 
60, 150, 439, 149, 438, 149, 437, 149, 435, 150, 451, 150, 442, 
65, 150, 439, 149, 437, 150, 436, 149, 434, 149, 448, 150, 442, 
70, 150, 438, 150, 437, 150, 436, 149, 434, 150, 449, 150, 441, 
75, 150, 438, 149, 436, 149, 435, 150, 435, 149, 446, 150, 438, 
80, 149, 437, 150, 435, 149, 432, 150, 433, 150, 445, 150, 438, 
85, 150, 437, 149, 433, 149, 430, 149, 430, 149, 445, 150, 437, 
90, 150, 436, 149, 433, 150, 430, 149, 431, 149, 444, 150, 435, 
95, 150, 434, 149, 435, 150, 429, 149, 429, 149, 442, 150, 435, 
100, 150, 434, 149, 433, 150, 427, 150, 427, 150, 440, 149, 434, 
105, 150, 434, 149, 431, 150, 429, 150, 430, 150, 441, 150, 432, 
110, 150, 432, 149, 431, 150, 426, 149, 427, 150, 439, 149, 432, 
115, 150, 433, 150, 427, 150, 424, 150, 426, 149, 437, 150, 431, 
120, 150, 432, 149, 426, 150, 427, 151, 429, 150, 438, 150, 432, 
125, 150, 430, 149, 427, 149, 425, 150, 426, 150, 438, 149, 428, 
130, 150, 429, 150, 425, 149, 425, 149, 425, 150, 439, 150, 429, 
135, 150, 429, 149, 422, 149, 425, 150, 423, 150, 437, 150, 428, 
140, 150, 430, 150, 424, 150, 424, 150, 425, 149, 437, 149, 427, 
145, 150, 429, 149, 423, 150, 424, 150, 424, 150, 437, 150, 428, 
150, 150, 428, 150, 422, 149, 424, 150, 424, 149, 436, 149, 427, 
155, 149, 428, 150, 423, 150, 424, 149, 424, 150, 438, 150, 426, 
160, 149, 429, 149, 421, 150, 424, 149, 425, 149, 436, 150, 428, 
165, 150, 428, 149, 420, 150, 425, 149, 422, 150, 437, 150, 427, 
170, 150, 428, 149, 422, 150, 426, 150, 425, 150, 438, 150, 426, 
175, 150, 427, 150, 421, 149, 425, 149, 424, 149, 439, 150, 428, 
180, 149, 427, 149, 421, 150, 427, 150, 426, 149, 438, 150, 428, 
185, 150, 427, 149, 421, 150, 425, 150, 427, 150, 439, 149, 428, 
190, 150, 427, 149, 421, 149, 426, 149, 423, 149, 439, 150, 428, 
195, 149, 426, 150, 423, 150, 427, 150, 427, 150, 441, 149, 427, 
200, 150, 426, 149, 423, 150, 428, 151, 430, 150, 443, 150, 429, 
205, 150, 426, 149, 421, 150, 428, 149, 426, 150, 442, 150, 428, 
210, 150, 426, 149, 423, 149, 428, 149, 427, 149, 441, 150, 429, 
215, 150, 426, 150, 423, 150, 428, 150, 426, 149, 440, 150, 430, 
220, 150, 426, 149, 423, 150, 429, 149, 427, 150, 441, 149, 431, 
225, 150, 426, 149, 424, 150, 430, 150, 430, 149, 441, 150, 430, 
230, 150, 426, 150, 424, 150, 430, 150, 430, 149, 441, 150, 431, 
235, 150, 426, 149, 424, 149, 430, 150, 429, 150, 442, 150, 431, 
240, 150, 426, 150, 424, 150, 430, 150, 430, 150, 441, 150, 433, 
245, 150, 426, 150, 425, 150, 431, 150, 429, 150, 442, 149, 433, 
250, 150, 426, 149, 423, 150, 433, 149, 430, 150, 443, 149, 433, 
255, 149, 425, 150, 425, 150, 433, 150, 431, 150, 444, 150, 432, 
260, 150, 425, 149, 426, 150, 434, 149, 431, 150, 444, 149, 432, 
265, 149, 425, 149, 427, 149, 434, 149, 431, 149, 443, 150, 433, 
270, 150, 425, 150, 428, 150, 434, 149, 432, 149, 443, 150, 434, 
275, 150, 425, 149, 428, 149, 436, 149, 433, 150, 443, 150, 433, 
280, 150, 424, 149, 429, 150, 437, 150, 435, 149, 443, 149, 432, 
285, 149, 424, 150, 430, 150, 437, 150, 435, 150, 443, 150, 432, 
290, 150, 424, 149, 430, 149, 436, 150, 435, 149, 443, 150, 434, 
295, 149, 424, 149, 431, 149, 437, 150, 433, 150, 444, 149, 432, 
300, 150, 423, 149, 431, 150, 438, 150, 435, 150, 444, 149, 431, 
305, 150, 423, 149, 432, 149, 438, 149, 435, 150, 444, 150, 433, 
310, 150, 423, 150, 432, 150, 437, 150, 433, 149, 442, 150, 432, 
315, 150, 423, 149, 433, 150, 440, 150, 436, 149, 444, 149, 431, 
320, 150, 423, 150, 434, 149, 439, 150, 435, 150, 444, 150, 432, 
325, 150, 422, 149, 432, 149, 440, 151, 437, 149, 444, 149, 431, 
330, 150, 421, 150, 433, 150, 441, 150, 436, 150, 444, 150, 429, 
