t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 459, 150, 452, 150, 447, 149, 439, 150, 467, 149, 449, 
10, 150, 456, 149, 452, 150, 447, 149, 442, 150, 467, 150, 450, 
15, 150, 456, 149, 452, 150, 447, 149, 441, 149, 465, 149, 452, 
20, 149, 455, 150, 452, 150, 449, 150, 444, 150, 468, 150, 449, 
25, 150, 455, 149, 451, 150, 449, 150, 444, 150, 467, 150, 451, 
30, 149, 456, 149, 450, 149, 448, 150, 442, 150, 467, 149, 451, 
35, 150, 456, 149, 452, 150, 447, 149, 442, 150, 467, 150, 451, 
40, 150, 456, 150, 452, 149, 450, 150, 443, 149, 465, 149, 450, 
45, 150, 454, 150, 452, 150, 451, 149, 442, 150, 463, 150, 450, 
50, 150, 454, 150, 450, 150, 450, 150, 443, 150, 463, 150, 450, 
55, 150, 452, 149, 450, 150, 450, 150, 439, 150, 460, 150, 449, 
60, 150, 453, 149, 450, 150, 449, 149, 435, 149, 458, 150, 446, 
65, 150, 451, 149, 449, 150, 446, 149, 434, 150, 456, 150, 446, 
70, 150, 448, 149, 449, 149, 447, 150, 433, 149, 454, 150, 446, 
75, 150, 446, 150, 448, 150, 447, 149, 430, 150, 455, 150, 447, 
80, 150, 446, 149, 446, 149, 444, 150, 431, 150, 451, 150, 445, 
85, 150, 444, 150, 447, 149, 442, 149, 428, 150, 448, 150, 444, 
90, 150, 442, 149, 445, 150, 442, 149, 427, 149, 449, 150, 442, 
95, 150, 441, 149, 443, 149, 439, 150, 425, 150, 449, 150, 440, 
100, 150, 440, 150, 443, 150, 432, 149, 423, 150, 448, 150, 440, 
105, 150, 439, 149, 440, 150, 431, 150, 423, 150, 446, 149, 438, 
110, 150, 438, 149, 439, 149, 430, 149, 419, 150, 447, 150, 435, 
115, 149, 437, 149, 437, 149, 430, 149, 422, 150, 445, 150, 436, 
120, 150, 436, 149, 437, 150, 429, 149, 419, 150, 443, 150, 435, 
125, 150, 435, 150, 436, 150, 429, 150, 417, 150, 444, 149, 433, 
130, 149, 435, 149, 434, 149, 426, 150, 417, 150, 441, 149, 432, 
135, 150, 435, 149, 433, 149, 428, 150, 416, 150, 440, 150, 431, 
140, 149, 436, 149, 431, 150, 428, 150, 415, 149, 441, 150, 429, 
145, 149, 434, 149, 431, 149, 426, 150, 416, 149, 440, 150, 427, 
150, 150, 434, 150, 430, 150, 425, 149, 413, 149, 438, 150, 429, 
155, 150, 435, 149, 428, 150, 425, 149, 415, 150, 439, 150, 428, 
160, 149, 434, 149, 429, 150, 426, 149, 413, 150, 439, 150, 427, 
165, 150, 434, 150, 428, 150, 426, 149, 413, 150, 438, 149, 426, 
170, 150, 434, 149, 427, 150, 426, 149, 413, 150, 437, 150, 426, 
175, 149, 435, 150, 426, 150, 426, 149, 413, 149, 437, 150, 426, 
180, 150, 434, 150, 426, 150, 426, 150, 415, 150, 438, 149, 426, 
185, 149, 434, 149, 426, 149, 427, 150, 414, 150, 437, 150, 427, 
190, 150, 434, 150, 425, 150, 426, 150, 414, 150, 438, 150, 426, 
195, 149, 434, 149, 427, 150, 426, 150, 414, 149, 437, 150, 425, 
200, 150, 434, 150, 426, 150, 426, 150, 416, 150, 438, 150, 427, 
205, 150, 433, 149, 426, 150, 429, 149, 414, 150, 438, 149, 427, 
210, 150, 434, 149, 426, 150, 428, 149, 414, 150, 438, 150, 426, 
215, 150, 435, 149, 425, 150, 428, 150, 417, 149, 438, 150, 428, 
220, 150, 434, 149, 425, 150, 429, 150, 415, 149, 438, 150, 426, 
225, 150, 434, 149, 426, 150, 428, 149, 415, 150, 439, 150, 428, 
230, 150, 435, 150, 426, 149, 430, 150, 416, 149, 439, 150, 428, 
235, 149, 435, 149, 426, 149, 428, 150, 418, 150, 440, 149, 426, 
240, 150, 435, 150, 426, 150, 430, 150, 418, 150, 439, 149, 428, 
245, 150, 435, 150, 427, 150, 430, 150, 418, 150, 441, 149, 428, 
250, 149, 434, 150, 427, 150, 431, 150, 417, 150, 440, 150, 428, 
255, 150, 434, 149, 426, 150, 432, 149, 419, 149, 440, 150, 427, 
260, 150, 436, 149, 427, 150, 431, 150, 418, 150, 440, 150, 429, 
265, 150, 436, 149, 427, 150, 432, 150, 419, 150, 440, 149, 428, 
270, 150, 433, 150, 428, 149, 432, 149, 419, 150, 440, 149, 427, 
275, 150, 433, 149, 430, 150, 432, 150, 421, 150, 441, 150, 429, 
280, 150, 434, 149, 427, 149, 431, 150, 420, 150, 440, 150, 430, 
285, 150, 434, 149, 429, 150, 433, 150, 419, 150, 441, 149, 430, 
290, 150, 434, 149, 429, 149, 434, 150, 422, 150, 440, 150, 429, 
295, 150, 434, 149, 429, 150, 433, 150, 421, 150, 440, 149, 430, 
300, 150, 434, 149, 430, 150, 433, 149, 423, 150, 440, 150, 430, 
305, 149, 434, 149, 430, 149, 434, 149, 421, 150, 439, 150, 432, 
310, 150, 434, 149, 430, 150, 437, 150, 422, 150, 442, 150, 429, 
315, 150, 435, 149, 433, 149, 434, 149, 422, 150, 441, 150, 429, 
320, 150, 435, 150, 431, 149, 435, 150, 421, 149, 442, 150, 429, 
325, 150, 435, 149, 434, 149, 436, 150, 424, 150, 442, 150, 429, 
330, 150, 435, 149, 434, 149, 435, 150, 425, 150, 442, 150, 430, 
