t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 454, 150, 447, 150, 440, 150, 437, 149, 465, 150, 444, 
10, 150, 459, 149, 447, 150, 438, 150, 439, 150, 464, 150, 448, 
15, 150, 458, 150, 446, 150, 441, 149, 439, 150, 467, 149, 447, 
20, 149, 459, 150, 446, 150, 438, 149, 436, 150, 466, 150, 446, 
25, 150, 459, 149, 446, 150, 438, 150, 438, 150, 464, 149, 447, 
30, 150, 453, 149, 442, 150, 437, 150, 437, 149, 457, 149, 442, 
35, 149, 458, 150, 450, 150, 441, 150, 440, 149, 466, 149, 450, 
40, 150, 461, 149, 452, 149, 444, 150, 444, 150, 469, 149, 453, 
45, 150, 460, 149, 452, 150, 441, 149, 442, 150, 469, 149, 455, 
50, 149, 460, 149, 452, 150, 441, 150, 442, 149, 468, 150, 456, 
55, 150, 458, 149, 451, 149, 440, 149, 440, 150, 466, 150, 455, 
60, 150, 457, 149, 451, 150, 438, 150, 439, 149, 464, 149, 453, 
65, 150, 454, 149, 450, 149, 435, 149, 437, 150, 463, 150, 453, 
70, 150, 452, 149, 448, 150, 434, 150, 438, 150, 462, 149, 448, 
75, 150, 450, 150, 447, 149, 431, 150, 433, 150, 458, 150, 447, 
80, 149, 449, 149, 444, 150, 430, 149, 432, 150, 456, 149, 445, 
85, 149, 449, 149, 441, 150, 428, 150, 430, 150, 455, 149, 444, 
90, 150, 448, 149, 441, 149, 427, 149, 428, 150, 453, 150, 441, 
95, 150, 446, 149, 438, 150, 425, 149, 428, 150, 452, 149, 442, 
100, 149, 446, 150, 438, 149, 425, 150, 431, 150, 451, 150, 440, 
105, 150, 444, 149, 435, 150, 429, 149, 427, 150, 449, 150, 438, 
110, 150, 446, 149, 435, 150, 426, 149, 427, 149, 447, 149, 437, 
115, 150, 446, 150, 434, 149, 427, 150, 428, 150, 446, 149, 438, 
120, 150, 446, 149, 434, 150, 427, 150, 426, 149, 446, 150, 436, 
125, 150, 446, 149, 434, 149, 425, 150, 426, 149, 444, 150, 436, 
130, 149, 448, 149, 436, 149, 425, 149, 425, 150, 445, 150, 437, 
135, 150, 447, 149, 435, 149, 426, 150, 428, 149, 444, 150, 437, 
140, 150, 449, 149, 436, 149, 426, 149, 429, 150, 443, 150, 434, 
145, 150, 447, 149, 435, 150, 426, 150, 429, 149, 446, 149, 435, 
150, 150, 450, 149, 434, 149, 427, 149, 429, 149, 447, 150, 436, 
155, 149, 451, 149, 436, 150, 429, 149, 426, 150, 447, 150, 436, 
160, 149, 451, 150, 438, 149, 427, 150, 429, 150, 444, 150, 434, 
165, 150, 452, 150, 435, 150, 429, 150, 431, 150, 446, 150, 435, 
170, 150, 453, 149, 435, 150, 427, 150, 430, 150, 444, 150, 435, 
175, 150, 452, 149, 437, 149, 425, 149, 431, 150, 442, 150, 435, 
180, 149, 452, 149, 438, 150, 426, 150, 431, 149, 443, 150, 437, 
185, 149, 453, 149, 436, 150, 427, 151, 435, 150, 444, 150, 435, 
190, 149, 454, 149, 437, 149, 426, 150, 432, 149, 444, 150, 435, 
195, 150, 455, 149, 438, 150, 427, 149, 434, 149, 443, 150, 436, 
200, 149, 457, 150, 436, 150, 426, 149, 432, 149, 444, 150, 437, 
205, 150, 458, 149, 436, 150, 427, 149, 432, 150, 442, 150, 435, 
210, 149, 459, 149, 438, 149, 427, 150, 434, 150, 442, 149, 434, 
215, 150, 461, 149, 439, 150, 428, 149, 435, 150, 443, 150, 436, 
220, 150, 461, 149, 438, 150, 427, 150, 433, 150, 444, 150, 434, 
225, 150, 461, 150, 438, 149, 428, 150, 434, 149, 439, 150, 432, 
230, 150, 463, 149, 437, 150, 427, 149, 434, 150, 438, 150, 435, 
235, 150, 463, 149, 436, 150, 428, 149, 435, 149, 438, 150, 433, 
240, 150, 464, 149, 435, 150, 429, 149, 435, 150, 440, 150, 432, 
245, 150, 465, 149, 436, 149, 428, 149, 435, 150, 437, 150, 432, 
250, 150, 464, 150, 436, 150, 429, 150, 436, 150, 438, 150, 433, 
255, 150, 465, 149, 436, 150, 429, 149, 437, 150, 438, 150, 432, 
260, 150, 463, 149, 438, 150, 430, 150, 439, 150, 439, 149, 430, 
265, 150, 463, 149, 436, 150, 428, 149, 438, 150, 437, 149, 433, 
270, 149, 465, 149, 437, 150, 429, 149, 437, 149, 437, 149, 431, 
275, 150, 465, 149, 436, 150, 429, 149, 436, 150, 436, 150, 432, 
280, 150, 466, 149, 437, 150, 431, 149, 436, 150, 436, 150, 430, 
285, 150, 467, 150, 438, 150, 429, 149, 438, 150, 435, 150, 430, 
290, 150, 468, 149, 437, 150, 430, 150, 439, 149, 436, 149, 430, 
295, 150, 471, 149, 436, 150, 430, 150, 437, 149, 435, 149, 429, 
300, 150, 471, 150, 437, 150, 430, 149, 436, 150, 434, 150, 428, 
305, 150, 470, 150, 435, 150, 430, 150, 438, 150, 435, 150, 428, 
310, 150, 468, 149, 436, 150, 427, 149, 436, 149, 435, 150, 428, 
315, 150, 468, 149, 435, 149, 427, 149, 435, 149, 432, 150, 426, 
320, 150, 468, 149, 436, 150, 427, 150, 437, 150, 433, 150, 425, 
325, 149, 468, 150, 436, 149, 426, 149, 434, 150, 432, 150, 426, 
330, 150, 468, 149, 436, 150, 427, 150, 432, 150, 433, 150, 424, 
