t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 460, 149, 464, 149, 455, 150, 440, 150, 476, 150, 475, 
10, 150, 462, 150, 465, 150, 456, 150, 441, 149, 478, 150, 475, 
15, 150, 463, 149, 466, 150, 456, 150, 442, 150, 477, 150, 474, 
20, 150, 464, 149, 465, 150, 456, 150, 443, 150, 478, 150, 479, 
25, 150, 468, 149, 466, 150, 458, 150, 445, 149, 477, 150, 478, 
30, 150, 471, 149, 465, 149, 458, 150, 443, 150, 478, 150, 477, 
35, 150, 476, 149, 462, 149, 456, 149, 443, 149, 477, 150, 477, 
40, 150, 472, 149, 461, 149, 453, 150, 440, 149, 473, 149, 475, 
45, 150, 460, 149, 456, 150, 448, 150, 436, 149, 470, 150, 467, 
50, 150, 452, 149, 453, 149, 442, 150, 431, 150, 466, 149, 463, 
55, 150, 438, 149, 443, 150, 439, 150, 424, 150, 458, 149, 457, 
60, 150, 427, 149, 434, 149, 430, 150, 415, 149, 450, 150, 449, 
65, 150, 419, 149, 432, 149, 427, 149, 410, 150, 445, 150, 440, 
70, 150, 416, 149, 427, 150, 423, 150, 405, 150, 439, 150, 438, 
75, 150, 413, 149, 426, 150, 420, 149, 404, 149, 436, 149, 435, 
80, 150, 411, 150, 426, 150, 417, 149, 403, 150, 436, 149, 434, 
85, 150, 409, 149, 425, 150, 417, 150, 401, 149, 434, 150, 432, 
90, 150, 410, 149, 424, 149, 413, 150, 403, 149, 434, 149, 433, 
95, 150, 412, 149, 424, 150, 414, 150, 401, 149, 433, 149, 432, 
100, 150, 413, 149, 423, 150, 412, 150, 399, 149, 432, 150, 433, 
105, 149, 413, 150, 424, 150, 413, 149, 398, 150, 432, 150, 436, 
110, 150, 412, 149, 423, 149, 414, 150, 400, 150, 431, 149, 437, 
115, 150, 413, 149, 424, 150, 415, 150, 399, 149, 431, 150, 440, 
120, 150, 414, 149, 425, 150, 415, 149, 398, 149, 431, 150, 440, 
125, 150, 415, 150, 426, 150, 414, 149, 401, 150, 431, 149, 442, 
130, 150, 415, 150, 428, 150, 415, 149, 403, 149, 432, 149, 446, 
135, 150, 416, 149, 429, 149, 417, 150, 404, 150, 431, 149, 446, 
140, 150, 419, 149, 432, 150, 415, 149, 405, 150, 434, 150, 447, 
145, 150, 419, 149, 434, 150, 419, 150, 409, 150, 435, 150, 449, 
150, 150, 418, 149, 435, 149, 418, 150, 408, 150, 433, 150, 450, 
155, 150, 419, 150, 436, 150, 418, 149, 410, 150, 435, 150, 450, 
160, 150, 419, 149, 439, 149, 418, 150, 412, 150, 436, 150, 450, 
165, 150, 419, 149, 440, 150, 420, 150, 412, 150, 437, 149, 452, 
170, 150, 420, 150, 440, 150, 420, 149, 413, 149, 436, 150, 451, 
175, 150, 421, 149, 441, 149, 420, 149, 413, 150, 438, 150, 452, 
180, 150, 421, 150, 442, 150, 421, 149, 415, 150, 438, 150, 451, 
185, 150, 422, 149, 442, 149, 420, 150, 413, 150, 437, 149, 452, 
190, 150, 422, 150, 444, 150, 419, 149, 414, 149, 438, 149, 449, 
195, 150, 423, 149, 445, 150, 422, 150, 415, 150, 440, 150, 452, 
200, 150, 423, 149, 445, 150, 421, 150, 418, 149, 440, 150, 452, 
205, 150, 424, 150, 445, 150, 421, 150, 413, 149, 439, 149, 450, 
210, 150, 425, 149, 446, 149, 419, 150, 414, 150, 441, 150, 451, 
215, 150, 425, 150, 445, 150, 420, 150, 416, 150, 440, 150, 448, 
220, 150, 426, 150, 445, 150, 418, 150, 412, 150, 440, 149, 448, 
225, 150, 426, 149, 445, 150, 418, 150, 416, 149, 440, 150, 449, 
230, 150, 426, 150, 445, 149, 420, 150, 415, 149, 441, 149, 449, 
235, 150, 425, 149, 446, 149, 419, 150, 416, 149, 440, 150, 445, 
240, 150, 426, 149, 446, 150, 417, 150, 414, 149, 441, 149, 447, 
245, 150, 427, 149, 446, 149, 420, 149, 414, 150, 441, 150, 448, 
250, 150, 427, 150, 446, 150, 419, 150, 413, 150, 441, 150, 448, 
255, 150, 428, 150, 445, 149, 420, 149, 412, 150, 440, 149, 443, 
260, 149, 427, 149, 445, 149, 417, 150, 413, 150, 440, 149, 446, 
265, 150, 427, 150, 445, 150, 418, 151, 416, 150, 440, 150, 446, 
270, 150, 428, 149, 443, 150, 417, 150, 411, 150, 440, 150, 444, 
275, 150, 428, 149, 444, 149, 417, 149, 412, 150, 439, 150, 446, 
280, 149, 430, 149, 444, 150, 420, 150, 412, 149, 440, 149, 446, 
285, 149, 429, 149, 444, 150, 419, 149, 411, 150, 440, 150, 443, 
290, 149, 429, 150, 445, 150, 417, 149, 411, 149, 438, 149, 442, 
295, 150, 429, 149, 444, 150, 418, 150, 413, 150, 440, 149, 444, 
300, 150, 429, 149, 443, 150, 419, 150, 412, 150, 439, 149, 443, 
305, 150, 429, 149, 442, 150, 417, 149, 409, 150, 437, 150, 442, 
310, 150, 429, 150, 443, 150, 417, 150, 411, 149, 437, 150, 443, 
315, 150, 428, 150, 442, 149, 418, 149, 411, 149, 439, 150, 443, 
320, 150, 427, 149, 442, 149, 416, 150, 411, 150, 437, 149, 440, 
325, 150, 429, 150, 443, 149, 416, 150, 412, 150, 437, 150, 440, 
330, 150, 428, 149, 441, 149, 419, 149, 412, 150, 438, 150, 443, 
