t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 474, 149, 482, 150, 474, 149, 469, 150, 495, 150, 481, 
10, 150, 478, 149, 485, 150, 476, 149, 471, 149, 499, 149, 487, 
15, 150, 479, 149, 486, 150, 479, 150, 475, 150, 502, 150, 488, 
20, 150, 481, 149, 491, 149, 480, 149, 474, 150, 504, 150, 485, 
25, 149, 482, 150, 492, 150, 480, 150, 474, 149, 505, 150, 485, 
30, 150, 469, 149, 483, 150, 472, 150, 467, 150, 494, 150, 478, 
35, 150, 483, 149, 494, 150, 486, 150, 479, 150, 509, 150, 490, 
40, 149, 485, 150, 501, 150, 490, 149, 479, 149, 510, 150, 494, 
45, 150, 486, 149, 502, 150, 487, 150, 480, 149, 509, 150, 494, 
50, 150, 486, 149, 504, 149, 488, 149, 481, 150, 510, 150, 494, 
55, 149, 486, 150, 505, 149, 488, 150, 481, 150, 510, 150, 493, 
60, 150, 485, 149, 504, 150, 484, 150, 478, 150, 507, 149, 492, 
65, 150, 484, 149, 501, 149, 485, 149, 476, 150, 508, 150, 492, 
70, 150, 477, 149, 494, 150, 475, 150, 469, 150, 498, 150, 484, 
75, 150, 475, 149, 492, 150, 473, 150, 465, 150, 496, 150, 480, 
80, 150, 475, 150, 488, 149, 471, 150, 462, 150, 494, 149, 479, 
85, 150, 476, 149, 487, 150, 472, 149, 462, 149, 494, 150, 479, 
90, 150, 476, 149, 486, 150, 470, 149, 460, 150, 494, 150, 476, 
95, 150, 478, 149, 486, 150, 467, 150, 460, 150, 492, 150, 475, 
100, 150, 478, 150, 486, 149, 470, 150, 460, 150, 493, 150, 477, 
105, 149, 481, 150, 485, 150, 469, 149, 461, 150, 491, 149, 475, 
110, 150, 483, 149, 487, 149, 470, 150, 460, 150, 491, 149, 475, 
115, 150, 483, 149, 486, 150, 470, 150, 461, 150, 491, 150, 475, 
120, 150, 485, 150, 487, 149, 470, 149, 462, 149, 490, 150, 474, 
125, 150, 485, 149, 488, 150, 469, 150, 463, 150, 490, 150, 475, 
130, 150, 486, 149, 489, 150, 468, 150, 463, 150, 490, 149, 474, 
135, 150, 487, 149, 488, 150, 470, 150, 465, 149, 491, 150, 474, 
140, 150, 487, 149, 490, 149, 468, 149, 464, 150, 490, 150, 474, 
145, 150, 487, 149, 492, 149, 466, 150, 464, 150, 488, 150, 474, 
150, 150, 488, 149, 493, 149, 467, 149, 467, 150, 491, 149, 475, 
155, 150, 487, 149, 494, 149, 468, 149, 467, 150, 490, 149, 476, 
160, 150, 487, 149, 495, 150, 467, 149, 467, 150, 489, 150, 475, 
165, 150, 487, 150, 496, 149, 467, 149, 468, 149, 490, 150, 474, 
170, 150, 487, 149, 496, 149, 469, 150, 471, 149, 491, 150, 475, 
175, 149, 486, 149, 498, 150, 468, 150, 472, 150, 491, 150, 475, 
180, 150, 485, 149, 500, 150, 468, 150, 473, 150, 492, 149, 474, 
185, 149, 485, 149, 501, 149, 467, 150, 473, 149, 491, 149, 475, 
190, 150, 485, 150, 502, 150, 466, 149, 471, 150, 490, 149, 473, 
195, 150, 484, 150, 500, 149, 467, 149, 472, 150, 492, 150, 477, 
200, 150, 484, 149, 502, 149, 463, 150, 473, 150, 490, 150, 476, 
205, 150, 486, 149, 501, 150, 461, 150, 470, 150, 492, 149, 475, 
210, 150, 483, 149, 499, 150, 467, 150, 473, 150, 491, 150, 475, 
215, 150, 484, 149, 500, 150, 467, 149, 473, 150, 490, 149, 474, 
220, 150, 485, 149, 500, 149, 466, 149, 473, 150, 489, 149, 475, 
225, 150, 483, 149, 499, 149, 463, 149, 473, 150, 490, 150, 476, 
230, 149, 482, 150, 499, 149, 464, 150, 474, 150, 488, 149, 475, 
235, 149, 482, 149, 498, 150, 464, 150, 473, 150, 487, 150, 472, 
240, 150, 485, 149, 498, 150, 463, 150, 474, 150, 489, 150, 475, 
245, 150, 484, 149, 498, 150, 465, 150, 475, 150, 489, 149, 474, 
250, 150, 481, 149, 494, 149, 460, 150, 470, 150, 487, 150, 470, 
255, 150, 479, 150, 492, 150, 458, 150, 469, 149, 484, 149, 467, 
260, 150, 479, 149, 491, 150, 458, 150, 469, 150, 485, 149, 467, 
265, 150, 479, 149, 492, 149, 458, 150, 472, 150, 484, 150, 467, 
270, 150, 480, 150, 490, 150, 458, 150, 469, 150, 483, 150, 466, 
275, 150, 482, 149, 490, 150, 459, 150, 469, 150, 483, 149, 463, 
280, 150, 481, 150, 488, 149, 458, 150, 469, 149, 482, 149, 465, 
285, 150, 482, 149, 486, 150, 458, 149, 471, 150, 482, 150, 465, 
290, 150, 482, 149, 487, 150, 464, 150, 472, 150, 482, 150, 464, 
295, 150, 482, 149, 486, 149, 462, 150, 470, 150, 481, 150, 463, 
300, 150, 482, 149, 484, 149, 464, 150, 470, 149, 480, 150, 465, 
305, 150, 483, 149, 485, 150, 463, 150, 471, 150, 482, 150, 463, 
310, 150, 482, 149, 483, 150, 462, 150, 473, 150, 484, 150, 464, 
315, 150, 483, 150, 484, 149, 463, 149, 470, 150, 482, 149, 461, 
320, 150, 482, 149, 483, 149, 461, 150, 469, 150, 478, 150, 460, 
325, 150, 482, 149, 481, 149, 463, 150, 471, 150, 481, 150, 461, 
330, 150, 482, 150, 479, 149, 462, 149, 470, 149, 480, 150, 461, 
