t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 437, 149, 438, 150, 432, 150, 424, 149, 458, 149, 446, 
10, 150, 437, 150, 439, 150, 432, 150, 426, 150, 458, 150, 445, 
15, 150, 437, 149, 440, 149, 432, 150, 426, 149, 458, 150, 443, 
20, 150, 437, 149, 439, 150, 432, 150, 424, 149, 459, 149, 444, 
25, 150, 437, 150, 438, 149, 431, 150, 425, 149, 458, 149, 444, 
30, 149, 437, 149, 440, 150, 432, 149, 424, 150, 460, 150, 443, 
35, 150, 436, 150, 440, 150, 433, 150, 424, 149, 457, 149, 443, 
40, 150, 438, 149, 443, 149, 435, 150, 426, 150, 459, 150, 443, 
45, 150, 436, 150, 439, 150, 433, 150, 424, 150, 457, 150, 444, 
50, 150, 439, 149, 444, 149, 435, 149, 425, 150, 458, 150, 448, 
55, 150, 436, 149, 441, 150, 433, 149, 424, 150, 455, 150, 446, 
60, 150, 434, 149, 440, 150, 430, 150, 422, 150, 456, 150, 444, 
65, 150, 432, 149, 438, 150, 428, 149, 419, 149, 453, 150, 444, 
70, 149, 430, 149, 439, 150, 427, 150, 419, 149, 452, 149, 441, 
75, 150, 428, 149, 437, 149, 424, 150, 417, 150, 451, 150, 438, 
80, 150, 426, 149, 435, 150, 421, 150, 416, 149, 448, 150, 439, 
85, 150, 424, 149, 434, 150, 422, 150, 416, 150, 448, 149, 437, 
90, 150, 422, 149, 431, 150, 418, 150, 415, 150, 446, 150, 434, 
95, 150, 420, 150, 430, 150, 417, 150, 412, 150, 445, 150, 433, 
100, 150, 420, 149, 428, 149, 414, 150, 412, 150, 443, 150, 432, 
105, 150, 418, 149, 427, 150, 414, 150, 411, 150, 439, 150, 431, 
110, 149, 418, 150, 425, 150, 414, 150, 410, 150, 441, 150, 429, 
115, 150, 418, 149, 423, 150, 411, 150, 407, 150, 440, 150, 429, 
120, 150, 417, 150, 423, 150, 413, 150, 409, 149, 439, 149, 426, 
125, 150, 418, 149, 422, 149, 413, 150, 408, 150, 440, 150, 424, 
130, 150, 419, 150, 421, 150, 411, 150, 405, 149, 439, 150, 426, 
135, 150, 419, 150, 421, 149, 412, 150, 407, 150, 440, 149, 426, 
140, 150, 420, 149, 420, 149, 413, 149, 407, 149, 439, 150, 424, 
145, 149, 419, 149, 420, 150, 414, 150, 406, 150, 439, 150, 428, 
150, 150, 420, 149, 419, 150, 416, 150, 408, 150, 439, 150, 428, 
155, 150, 422, 150, 420, 150, 413, 150, 408, 150, 440, 150, 426, 
160, 150, 422, 150, 421, 149, 415, 149, 409, 150, 441, 150, 427, 
165, 150, 422, 149, 421, 150, 416, 150, 410, 149, 441, 150, 426, 
170, 149, 424, 149, 422, 150, 416, 150, 412, 149, 442, 150, 428, 
175, 150, 425, 149, 423, 150, 417, 149, 410, 150, 443, 150, 427, 
180, 150, 426, 149, 422, 149, 415, 150, 411, 150, 444, 149, 428, 
185, 150, 425, 150, 423, 150, 419, 150, 415, 150, 444, 150, 432, 
190, 150, 428, 149, 424, 150, 421, 150, 414, 149, 446, 150, 430, 
195, 150, 429, 150, 423, 150, 419, 150, 414, 150, 447, 150, 432, 
200, 150, 430, 149, 423, 150, 422, 150, 416, 150, 447, 150, 432, 
205, 150, 431, 149, 425, 149, 423, 149, 417, 149, 448, 149, 431, 
210, 150, 433, 149, 424, 149, 424, 150, 419, 150, 449, 150, 433, 
215, 149, 433, 150, 425, 150, 424, 150, 419, 150, 452, 150, 435, 
220, 150, 434, 149, 425, 149, 425, 150, 420, 150, 452, 150, 436, 
225, 150, 436, 149, 427, 150, 428, 150, 421, 149, 453, 150, 435, 
230, 150, 437, 149, 428, 150, 428, 150, 423, 149, 453, 150, 437, 
235, 150, 438, 149, 429, 150, 432, 150, 425, 150, 454, 150, 438, 
240, 150, 439, 149, 430, 149, 431, 149, 424, 150, 455, 150, 436, 
245, 150, 441, 149, 430, 149, 431, 150, 426, 149, 456, 150, 439, 
250, 150, 442, 149, 432, 150, 434, 150, 427, 150, 457, 150, 439, 
255, 149, 443, 149, 432, 149, 434, 150, 428, 149, 458, 150, 442, 
260, 150, 444, 149, 433, 150, 436, 149, 430, 149, 459, 150, 443, 
265, 150, 445, 149, 436, 150, 440, 149, 431, 150, 461, 150, 441, 
270, 150, 446, 150, 436, 149, 439, 150, 435, 149, 462, 150, 444, 
275, 150, 447, 149, 437, 149, 441, 150, 430, 150, 463, 150, 446, 
280, 150, 448, 149, 439, 150, 442, 149, 434, 149, 464, 150, 443, 
285, 150, 449, 149, 440, 149, 443, 150, 435, 149, 465, 150, 443, 
290, 150, 450, 150, 441, 150, 444, 150, 433, 149, 466, 150, 445, 
295, 150, 451, 149, 441, 149, 448, 150, 437, 150, 468, 150, 445, 
300, 150, 453, 149, 444, 149, 450, 149, 438, 150, 468, 150, 447, 
305, 150, 453, 149, 444, 149, 448, 150, 440, 150, 469, 150, 447, 
310, 149, 449, 149, 442, 150, 447, 150, 435, 149, 466, 150, 445, 
315, 150, 450, 150, 441, 149, 448, 149, 438, 149, 465, 150, 445, 
320, 150, 451, 149, 445, 150, 449, 150, 439, 150, 467, 150, 443, 
325, 149, 451, 150, 445, 149, 450, 150, 441, 149, 466, 150, 446, 
330, 150, 452, 149, 444, 150, 453, 149, 442, 149, 466, 150, 446, 
