t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 447, 150, 450, 150, 446, 149, 434, 150, 455, 150, 446, 
10, 149, 447, 149, 450, 150, 448, 149, 434, 150, 456, 150, 444, 
15, 149, 446, 149, 451, 150, 448, 150, 435, 149, 457, 149, 445, 
20, 150, 446, 149, 450, 149, 448, 149, 435, 150, 456, 150, 447, 
25, 150, 447, 149, 449, 149, 448, 149, 435, 149, 457, 150, 445, 
30, 150, 447, 150, 448, 150, 447, 150, 434, 150, 458, 150, 446, 
35, 150, 447, 150, 449, 150, 449, 150, 437, 150, 458, 150, 446, 
40, 150, 447, 149, 448, 149, 447, 150, 436, 149, 455, 150, 445, 
45, 150, 446, 150, 447, 150, 447, 150, 431, 150, 457, 149, 444, 
50, 150, 445, 150, 448, 149, 444, 150, 434, 149, 454, 150, 444, 
55, 150, 445, 149, 446, 150, 444, 150, 434, 149, 453, 149, 444, 
60, 150, 444, 149, 446, 150, 443, 150, 431, 150, 455, 150, 441, 
65, 150, 444, 150, 445, 149, 441, 150, 431, 149, 453, 150, 442, 
70, 150, 444, 149, 445, 150, 439, 150, 431, 150, 454, 150, 440, 
75, 149, 443, 150, 443, 150, 441, 149, 429, 150, 452, 150, 440, 
80, 150, 444, 149, 442, 150, 440, 150, 428, 149, 453, 150, 438, 
85, 150, 444, 150, 442, 150, 438, 149, 428, 150, 452, 149, 437, 
90, 150, 443, 149, 440, 149, 438, 149, 428, 150, 451, 150, 436, 
95, 150, 442, 149, 439, 150, 438, 150, 428, 150, 450, 150, 433, 
100, 150, 441, 149, 438, 150, 437, 149, 427, 149, 450, 150, 434, 
105, 150, 441, 149, 439, 150, 435, 150, 429, 150, 448, 150, 434, 
110, 150, 440, 150, 436, 150, 437, 149, 429, 150, 449, 149, 433, 
115, 150, 439, 149, 436, 150, 436, 150, 429, 149, 446, 150, 434, 
120, 150, 439, 150, 436, 150, 438, 150, 431, 149, 448, 150, 432, 
125, 150, 438, 149, 435, 149, 435, 149, 430, 150, 447, 150, 433, 
130, 150, 438, 149, 435, 150, 437, 150, 432, 150, 446, 150, 434, 
135, 149, 438, 149, 436, 150, 438, 149, 430, 150, 447, 149, 433, 
140, 150, 438, 149, 435, 150, 438, 150, 435, 149, 447, 149, 434, 
145, 149, 438, 149, 435, 149, 439, 149, 436, 150, 447, 150, 436, 
150, 149, 438, 149, 435, 150, 441, 149, 436, 149, 448, 150, 436, 
155, 150, 439, 150, 434, 149, 441, 149, 438, 150, 450, 150, 438, 
160, 150, 439, 149, 435, 149, 441, 149, 440, 149, 451, 150, 438, 
165, 149, 439, 150, 436, 149, 443, 150, 443, 149, 449, 149, 438, 
170, 150, 439, 149, 436, 150, 443, 149, 444, 150, 451, 149, 440, 
175, 150, 436, 150, 436, 150, 445, 150, 446, 150, 451, 150, 440, 
180, 150, 436, 150, 436, 150, 446, 149, 446, 150, 452, 150, 442, 
185, 150, 436, 149, 437, 149, 444, 150, 452, 149, 453, 149, 441, 
190, 149, 436, 150, 438, 150, 446, 150, 451, 149, 453, 150, 444, 
195, 150, 436, 149, 439, 150, 448, 149, 454, 150, 454, 150, 444, 
200, 150, 435, 149, 439, 150, 449, 149, 455, 150, 455, 150, 443, 
205, 150, 435, 150, 439, 150, 451, 149, 455, 150, 456, 149, 445, 
210, 150, 437, 149, 441, 150, 452, 150, 460, 150, 460, 149, 445, 
215, 149, 436, 149, 441, 149, 451, 149, 461, 150, 458, 150, 447, 
220, 150, 436, 149, 441, 149, 453, 150, 462, 150, 459, 150, 446, 
225, 149, 436, 150, 442, 150, 455, 149, 465, 149, 458, 150, 448, 
230, 150, 435, 149, 442, 149, 455, 149, 466, 149, 459, 150, 448, 
235, 150, 436, 149, 442, 150, 456, 149, 466, 149, 462, 149, 447, 
240, 150, 436, 149, 443, 150, 458, 150, 470, 150, 463, 150, 450, 
245, 150, 435, 150, 442, 149, 458, 150, 471, 150, 463, 150, 450, 
250, 150, 435, 149, 444, 150, 461, 150, 471, 150, 465, 149, 450, 
255, 150, 435, 150, 445, 150, 458, 150, 473, 150, 465, 149, 450, 
260, 150, 435, 149, 446, 150, 459, 149, 474, 150, 467, 150, 453, 
265, 150, 435, 149, 444, 149, 459, 150, 474, 149, 467, 149, 452, 
270, 149, 435, 149, 443, 150, 459, 149, 476, 150, 468, 150, 453, 
275, 150, 435, 149, 445, 150, 460, 150, 477, 149, 470, 150, 452, 
280, 150, 435, 149, 445, 149, 459, 150, 478, 149, 471, 149, 453, 
285, 150, 435, 149, 445, 149, 460, 150, 479, 150, 472, 150, 453, 
290, 150, 435, 150, 445, 150, 460, 150, 478, 149, 472, 150, 454, 
295, 150, 435, 149, 447, 150, 458, 150, 482, 149, 473, 149, 454, 
300, 150, 435, 149, 447, 150, 461, 149, 479, 150, 473, 149, 453, 
305, 150, 435, 149, 446, 149, 460, 150, 480, 149, 475, 150, 454, 
310, 149, 435, 149, 447, 150, 460, 150, 483, 150, 475, 150, 455, 
315, 149, 435, 149, 449, 149, 463, 150, 484, 149, 475, 149, 453, 
320, 149, 434, 149, 448, 149, 461, 150, 482, 150, 476, 150, 455, 
325, 150, 434, 149, 449, 150, 462, 149, 484, 149, 476, 149, 455, 
330, 149, 434, 149, 449, 150, 463, 149, 483, 150, 475, 149, 454, 
