t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 501, 149, 498, 150, 502, 149, 484, 150, 519, 150, 498, 
10, 149, 501, 149, 498, 150, 505, 149, 483, 149, 520, 150, 499, 
15, 150, 501, 149, 499, 150, 504, 150, 486, 150, 521, 149, 498, 
20, 150, 502, 149, 501, 149, 505, 150, 487, 150, 521, 149, 500, 
25, 150, 502, 150, 499, 149, 504, 150, 486, 149, 519, 149, 500, 
30, 149, 502, 149, 499, 150, 504, 149, 486, 150, 519, 150, 499, 
35, 150, 502, 150, 500, 150, 505, 150, 484, 149, 517, 149, 498, 
40, 150, 502, 150, 500, 149, 506, 150, 486, 149, 518, 150, 499, 
45, 149, 501, 150, 501, 150, 506, 149, 485, 149, 518, 149, 499, 
50, 150, 501, 150, 500, 149, 505, 149, 484, 150, 517, 150, 498, 
55, 150, 500, 149, 497, 149, 504, 149, 481, 150, 518, 150, 497, 
60, 150, 499, 150, 498, 150, 502, 150, 481, 150, 514, 150, 495, 
65, 149, 499, 149, 496, 149, 501, 150, 480, 150, 514, 150, 494, 
70, 150, 498, 150, 496, 149, 498, 149, 480, 150, 511, 150, 493, 
75, 150, 498, 150, 496, 150, 498, 149, 478, 150, 508, 150, 493, 
80, 150, 498, 149, 495, 149, 497, 150, 476, 150, 509, 150, 489, 
85, 150, 498, 149, 494, 149, 496, 149, 477, 149, 506, 150, 487, 
90, 150, 498, 149, 494, 150, 496, 150, 475, 150, 507, 149, 488, 
95, 150, 502, 150, 495, 150, 497, 149, 474, 150, 505, 149, 485, 
100, 150, 501, 150, 493, 150, 496, 150, 475, 150, 505, 150, 484, 
105, 150, 502, 149, 492, 149, 495, 149, 475, 150, 506, 150, 484, 
110, 150, 501, 150, 491, 149, 495, 149, 474, 149, 503, 149, 482, 
115, 150, 501, 149, 489, 149, 494, 150, 478, 149, 505, 150, 482, 
120, 150, 502, 149, 488, 149, 495, 149, 476, 150, 505, 150, 480, 
125, 149, 501, 149, 489, 150, 496, 150, 477, 150, 505, 150, 481, 
130, 150, 502, 150, 490, 150, 498, 150, 476, 150, 504, 150, 483, 
135, 149, 502, 149, 489, 149, 498, 150, 478, 150, 506, 149, 483, 
140, 149, 502, 149, 491, 150, 499, 150, 479, 149, 506, 150, 483, 
145, 150, 504, 150, 490, 149, 501, 150, 480, 150, 506, 150, 483, 
150, 150, 504, 149, 491, 149, 502, 150, 479, 150, 506, 149, 484, 
155, 150, 505, 149, 492, 150, 503, 149, 481, 150, 508, 150, 482, 
160, 150, 505, 149, 492, 149, 505, 149, 481, 149, 509, 149, 484, 
165, 150, 506, 150, 493, 150, 506, 149, 484, 150, 510, 150, 484, 
170, 149, 506, 149, 496, 150, 509, 149, 484, 149, 511, 150, 486, 
175, 150, 507, 150, 496, 149, 512, 149, 485, 150, 512, 149, 486, 
180, 150, 507, 150, 495, 150, 511, 150, 489, 150, 514, 150, 487, 
185, 150, 507, 149, 499, 150, 514, 149, 489, 149, 514, 149, 488, 
190, 150, 507, 150, 499, 150, 516, 150, 491, 150, 514, 150, 489, 
195, 150, 508, 150, 502, 150, 519, 150, 494, 150, 518, 150, 490, 
200, 150, 508, 149, 502, 150, 520, 150, 495, 150, 520, 149, 490, 
205, 150, 508, 149, 501, 149, 521, 150, 496, 150, 522, 150, 491, 
210, 149, 508, 149, 506, 150, 523, 149, 497, 150, 524, 149, 492, 
215, 150, 509, 150, 508, 150, 526, 149, 499, 150, 524, 150, 493, 
220, 150, 510, 149, 509, 149, 528, 149, 500, 150, 526, 150, 493, 
225, 150, 510, 150, 511, 150, 528, 149, 503, 149, 526, 150, 494, 
230, 150, 511, 149, 513, 150, 531, 150, 505, 150, 527, 150, 495, 
235, 150, 511, 150, 512, 150, 533, 149, 503, 150, 528, 150, 494, 
240, 150, 512, 150, 515, 149, 534, 150, 507, 149, 530, 149, 493, 
245, 149, 511, 149, 518, 150, 535, 149, 508, 150, 531, 150, 496, 
250, 150, 512, 150, 517, 150, 538, 149, 508, 149, 532, 149, 498, 
255, 149, 512, 149, 519, 149, 538, 150, 511, 150, 534, 150, 495, 
260, 150, 512, 150, 522, 150, 539, 149, 512, 149, 534, 149, 497, 
265, 150, 512, 150, 523, 150, 543, 149, 513, 150, 536, 150, 497, 
270, 149, 511, 149, 520, 150, 543, 150, 513, 149, 537, 150, 499, 
275, 150, 511, 150, 522, 149, 544, 149, 515, 150, 539, 149, 498, 
280, 150, 510, 149, 524, 150, 546, 149, 515, 149, 539, 149, 500, 
285, 149, 510, 149, 523, 149, 547, 149, 515, 149, 540, 150, 502, 
290, 150, 509, 149, 525, 150, 547, 150, 521, 150, 542, 150, 500, 
295, 150, 508, 150, 529, 149, 548, 150, 518, 150, 543, 150, 504, 
300, 150, 506, 150, 529, 150, 551, 149, 517, 149, 542, 150, 501, 
305, 150, 506, 149, 527, 150, 551, 150, 519, 150, 544, 150, 500, 
310, 150, 506, 150, 532, 150, 551, 150, 522, 149, 546, 150, 501, 
315, 150, 506, 149, 534, 150, 554, 150, 521, 150, 546, 150, 502, 
320, 150, 506, 149, 533, 149, 555, 149, 520, 149, 546, 150, 501, 
325, 150, 506, 149, 534, 149, 554, 150, 522, 150, 548, 150, 499, 
330, 150, 504, 149, 536, 150, 557, 150, 523, 150, 548, 150, 500, 
