t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 456, 149, 461, 149, 455, 149, 454, 150, 484, 150, 468, 
10, 150, 454, 149, 459, 149, 455, 149, 453, 150, 483, 150, 469, 
15, 150, 455, 149, 459, 150, 457, 150, 452, 150, 482, 149, 470, 
20, 149, 456, 149, 458, 149, 456, 150, 454, 150, 483, 150, 469, 
25, 150, 456, 149, 458, 150, 455, 150, 453, 150, 487, 150, 471, 
30, 150, 457, 150, 455, 150, 457, 149, 451, 150, 484, 149, 470, 
35, 149, 458, 149, 457, 149, 454, 149, 452, 150, 483, 150, 473, 
40, 150, 458, 149, 455, 149, 459, 149, 452, 150, 482, 149, 473, 
45, 150, 456, 149, 455, 149, 455, 150, 452, 150, 483, 149, 472, 
50, 150, 455, 149, 454, 150, 455, 149, 451, 150, 483, 149, 471, 
55, 150, 452, 150, 453, 150, 456, 150, 451, 150, 480, 150, 474, 
60, 150, 451, 149, 454, 150, 454, 150, 447, 150, 479, 150, 472, 
65, 150, 449, 149, 453, 150, 451, 150, 448, 150, 480, 150, 469, 
70, 149, 448, 149, 451, 150, 450, 149, 447, 149, 478, 150, 469, 
75, 150, 446, 149, 451, 150, 451, 150, 443, 149, 475, 150, 468, 
80, 150, 446, 149, 449, 150, 450, 150, 443, 149, 476, 150, 465, 
85, 150, 445, 149, 448, 150, 447, 150, 443, 150, 474, 150, 464, 
90, 150, 443, 149, 446, 150, 445, 150, 446, 149, 472, 150, 465, 
95, 150, 443, 149, 445, 150, 446, 149, 443, 150, 473, 150, 463, 
100, 149, 443, 150, 447, 150, 446, 150, 441, 150, 473, 150, 461, 
105, 149, 441, 150, 445, 150, 445, 151, 446, 149, 470, 150, 462, 
110, 150, 440, 149, 444, 150, 445, 150, 441, 150, 471, 150, 460, 
115, 149, 438, 149, 444, 149, 442, 150, 440, 149, 469, 150, 458, 
120, 150, 438, 150, 444, 150, 443, 150, 438, 149, 469, 149, 456, 
125, 149, 437, 149, 443, 150, 444, 150, 439, 150, 469, 150, 456, 
130, 150, 438, 149, 442, 150, 441, 149, 438, 149, 467, 149, 457, 
135, 150, 440, 149, 442, 150, 441, 149, 439, 150, 468, 150, 454, 
140, 150, 439, 149, 445, 150, 441, 150, 442, 149, 466, 150, 455, 
145, 150, 438, 150, 443, 150, 441, 150, 438, 150, 465, 149, 455, 
150, 150, 439, 150, 445, 149, 442, 150, 438, 149, 466, 150, 452, 
155, 149, 437, 149, 446, 150, 442, 150, 441, 149, 465, 150, 453, 
160, 150, 438, 150, 445, 150, 440, 150, 440, 149, 465, 150, 453, 
165, 150, 440, 149, 447, 150, 442, 149, 438, 150, 465, 149, 452, 
170, 150, 437, 150, 447, 150, 441, 150, 442, 150, 467, 150, 452, 
175, 150, 437, 149, 447, 150, 442, 149, 438, 150, 466, 149, 452, 
180, 149, 440, 149, 448, 149, 442, 149, 438, 149, 464, 150, 454, 
185, 150, 438, 150, 446, 149, 442, 150, 440, 149, 465, 150, 452, 
190, 150, 440, 149, 448, 150, 443, 149, 439, 149, 465, 149, 451, 
195, 150, 439, 149, 448, 149, 443, 150, 443, 149, 465, 150, 453, 
200, 150, 441, 149, 448, 149, 445, 149, 440, 149, 465, 150, 450, 
205, 149, 440, 149, 450, 150, 446, 150, 438, 150, 465, 150, 453, 
210, 150, 441, 150, 450, 150, 444, 149, 440, 150, 466, 150, 450, 
215, 150, 441, 149, 451, 149, 447, 150, 440, 150, 465, 149, 452, 
220, 150, 442, 150, 452, 149, 448, 149, 440, 150, 465, 150, 451, 
225, 150, 442, 149, 450, 150, 448, 149, 441, 149, 465, 150, 453, 
230, 150, 440, 150, 450, 150, 449, 150, 442, 150, 465, 149, 453, 
235, 149, 441, 149, 451, 149, 449, 149, 440, 149, 464, 149, 453, 
240, 150, 441, 149, 452, 150, 451, 149, 442, 150, 465, 150, 452, 
245, 150, 441, 149, 453, 150, 452, 149, 441, 150, 463, 149, 455, 
250, 150, 441, 150, 453, 149, 452, 149, 442, 149, 464, 150, 455, 
255, 150, 441, 150, 453, 150, 452, 150, 442, 150, 465, 150, 452, 
260, 150, 442, 149, 455, 149, 451, 149, 442, 149, 464, 149, 454, 
265, 150, 441, 149, 454, 149, 452, 150, 443, 150, 465, 149, 454, 
270, 150, 442, 149, 454, 150, 452, 150, 444, 150, 465, 150, 454, 
275, 150, 445, 149, 454, 149, 452, 150, 443, 150, 464, 150, 455, 
280, 150, 443, 149, 454, 149, 454, 149, 440, 150, 465, 150, 454, 
285, 150, 444, 150, 455, 149, 454, 150, 442, 150, 466, 150, 454, 
290, 150, 444, 149, 455, 150, 453, 149, 443, 149, 464, 150, 455, 
295, 150, 444, 150, 455, 150, 454, 149, 442, 150, 463, 150, 456, 
300, 150, 445, 150, 454, 149, 453, 149, 441, 150, 464, 150, 457, 
305, 150, 443, 150, 456, 150, 453, 149, 442, 150, 466, 149, 455, 
310, 150, 443, 150, 456, 149, 453, 149, 441, 149, 464, 150, 456, 
315, 150, 442, 150, 456, 149, 453, 150, 443, 150, 464, 150, 456, 
320, 150, 443, 149, 458, 150, 454, 150, 442, 150, 464, 150, 455, 
325, 150, 443, 149, 458, 150, 453, 149, 444, 149, 463, 150, 457, 
330, 150, 444, 149, 457, 150, 454, 150, 440, 150, 461, 150, 456, 
