t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 493, 149, 494, 149, 488, 149, 480, 150, 512, 150, 486, 
10, 150, 492, 150, 496, 150, 491, 150, 482, 150, 513, 150, 488, 
15, 150, 492, 149, 495, 149, 488, 150, 480, 149, 511, 149, 489, 
20, 149, 491, 149, 496, 150, 488, 150, 482, 150, 513, 150, 486, 
25, 150, 490, 149, 494, 150, 490, 150, 483, 150, 512, 150, 489, 
30, 150, 492, 149, 495, 149, 490, 150, 480, 150, 511, 150, 489, 
35, 150, 487, 149, 496, 150, 491, 149, 481, 150, 511, 150, 488, 
40, 150, 486, 149, 496, 149, 492, 149, 480, 150, 511, 150, 488, 
45, 150, 486, 149, 495, 150, 491, 150, 482, 150, 511, 150, 484, 
50, 150, 485, 149, 495, 150, 491, 149, 481, 150, 509, 150, 487, 
55, 150, 484, 149, 498, 149, 491, 150, 480, 150, 507, 150, 488, 
60, 150, 483, 150, 496, 150, 490, 149, 479, 150, 505, 150, 486, 
65, 150, 483, 149, 494, 149, 487, 150, 480, 149, 506, 149, 483, 
70, 150, 482, 149, 492, 150, 486, 150, 477, 150, 505, 149, 482, 
75, 150, 481, 149, 494, 150, 485, 149, 475, 150, 504, 150, 482, 
80, 150, 481, 149, 490, 149, 483, 149, 476, 150, 502, 149, 479, 
85, 150, 480, 149, 491, 150, 483, 149, 473, 149, 501, 150, 479, 
90, 150, 479, 149, 492, 149, 481, 150, 471, 150, 501, 149, 479, 
95, 150, 477, 149, 491, 150, 480, 150, 473, 150, 501, 150, 476, 
100, 150, 478, 149, 488, 150, 481, 149, 471, 150, 497, 150, 477, 
105, 150, 477, 149, 489, 149, 480, 150, 469, 149, 496, 149, 475, 
110, 149, 477, 149, 488, 150, 480, 149, 469, 150, 495, 150, 473, 
115, 150, 477, 149, 488, 149, 479, 149, 469, 150, 495, 150, 472, 
120, 149, 477, 150, 490, 150, 480, 149, 469, 150, 495, 150, 473, 
125, 149, 477, 149, 487, 150, 479, 149, 467, 150, 494, 150, 471, 
130, 150, 477, 149, 486, 150, 479, 149, 468, 150, 493, 149, 468, 
135, 150, 477, 150, 487, 149, 479, 149, 467, 149, 492, 149, 471, 
140, 149, 477, 149, 486, 150, 482, 149, 466, 150, 494, 150, 469, 
145, 150, 477, 149, 485, 150, 478, 150, 469, 150, 492, 150, 467, 
150, 150, 477, 149, 485, 150, 480, 149, 467, 149, 492, 150, 469, 
155, 150, 478, 149, 485, 150, 480, 149, 466, 150, 491, 149, 469, 
160, 150, 479, 149, 484, 150, 480, 149, 468, 149, 493, 150, 467, 
165, 149, 479, 149, 485, 150, 481, 149, 467, 149, 492, 150, 468, 
170, 150, 479, 150, 483, 150, 481, 149, 466, 149, 492, 150, 469, 
175, 150, 480, 149, 484, 149, 482, 149, 466, 150, 495, 149, 469, 
180, 150, 480, 149, 484, 150, 485, 150, 467, 150, 496, 150, 468, 
185, 149, 481, 149, 485, 150, 482, 150, 470, 150, 494, 150, 469, 
190, 150, 481, 149, 486, 150, 484, 150, 467, 149, 493, 150, 469, 
195, 150, 481, 150, 484, 149, 484, 149, 467, 149, 495, 150, 469, 
200, 150, 481, 149, 485, 149, 485, 150, 470, 150, 494, 149, 467, 
205, 149, 481, 149, 487, 149, 487, 149, 468, 149, 493, 150, 468, 
210, 150, 482, 149, 487, 150, 487, 149, 467, 150, 496, 149, 468, 
215, 150, 482, 149, 486, 150, 486, 150, 470, 150, 496, 150, 468, 
220, 150, 483, 149, 487, 150, 487, 150, 469, 149, 496, 150, 468, 
225, 150, 483, 149, 488, 149, 490, 149, 469, 150, 494, 150, 469, 
230, 150, 484, 149, 489, 149, 491, 150, 468, 150, 496, 149, 468, 
235, 150, 484, 149, 488, 150, 490, 150, 470, 150, 496, 150, 469, 
240, 150, 485, 149, 490, 150, 492, 149, 469, 149, 495, 150, 470, 
245, 150, 486, 149, 489, 150, 493, 149, 469, 150, 496, 150, 472, 
250, 150, 486, 149, 489, 149, 493, 150, 468, 150, 497, 150, 470, 
255, 150, 487, 149, 490, 150, 492, 150, 470, 150, 496, 149, 469, 
260, 149, 486, 149, 489, 150, 493, 150, 471, 150, 496, 149, 470, 
265, 150, 487, 149, 490, 150, 496, 149, 471, 150, 494, 150, 472, 
270, 150, 488, 149, 490, 149, 495, 150, 471, 150, 496, 150, 472, 
275, 150, 489, 149, 491, 150, 496, 150, 471, 149, 493, 150, 471, 
280, 150, 489, 149, 490, 150, 498, 150, 474, 150, 495, 150, 473, 
285, 150, 489, 149, 493, 149, 498, 150, 469, 150, 495, 150, 474, 
290, 149, 490, 149, 490, 150, 499, 150, 474, 149, 496, 150, 472, 
295, 150, 491, 150, 492, 150, 500, 150, 471, 150, 496, 150, 473, 
300, 149, 491, 149, 492, 149, 500, 149, 471, 149, 493, 150, 471, 
305, 150, 491, 149, 493, 150, 502, 150, 472, 150, 493, 150, 473, 
310, 149, 491, 149, 493, 149, 501, 150, 470, 150, 493, 149, 474, 
315, 150, 492, 149, 493, 150, 501, 150, 473, 150, 494, 150, 473, 
320, 150, 493, 149, 493, 149, 504, 149, 471, 150, 493, 150, 473, 
325, 150, 493, 149, 495, 150, 504, 150, 474, 150, 494, 150, 475, 
330, 150, 492, 150, 497, 150, 506, 150, 472, 150, 494, 150, 473, 
