t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 430, 148, 424, 150, 429, 149, 418, 150, 441, 150, 433, 
10, 150, 428, 150, 425, 150, 428, 150, 417, 149, 444, 150, 433, 
15, 149, 428, 149, 427, 150, 426, 149, 418, 149, 443, 150, 427, 
20, 150, 428, 150, 427, 150, 428, 150, 418, 150, 442, 150, 430, 
25, 150, 428, 149, 428, 149, 426, 150, 419, 150, 440, 150, 431, 
30, 150, 430, 149, 425, 150, 425, 150, 417, 150, 443, 150, 431, 
35, 150, 425, 149, 424, 150, 426, 149, 416, 149, 441, 150, 428, 
40, 149, 423, 149, 421, 150, 424, 150, 414, 150, 437, 150, 425, 
45, 150, 419, 150, 419, 150, 422, 150, 411, 150, 435, 150, 423, 
50, 150, 417, 149, 416, 149, 421, 150, 411, 150, 433, 150, 419, 
55, 150, 416, 150, 418, 150, 422, 150, 409, 149, 431, 150, 422, 
60, 150, 416, 150, 416, 149, 418, 150, 409, 149, 434, 149, 421, 
65, 150, 414, 149, 417, 150, 417, 149, 407, 149, 432, 150, 421, 
70, 150, 415, 149, 415, 149, 417, 150, 410, 150, 432, 149, 420, 
75, 150, 414, 149, 415, 149, 417, 150, 410, 150, 432, 150, 421, 
80, 150, 413, 149, 416, 149, 415, 150, 409, 150, 431, 149, 420, 
85, 150, 412, 149, 415, 150, 415, 150, 408, 150, 431, 150, 421, 
90, 150, 411, 149, 414, 149, 414, 150, 407, 150, 431, 149, 420, 
95, 150, 412, 149, 413, 150, 413, 150, 407, 149, 430, 150, 419, 
100, 150, 410, 150, 414, 149, 412, 150, 406, 150, 429, 150, 421, 
105, 150, 410, 149, 413, 150, 412, 150, 406, 149, 428, 150, 423, 
110, 150, 409, 149, 413, 150, 411, 150, 404, 149, 429, 150, 423, 
115, 150, 410, 149, 413, 150, 411, 150, 406, 149, 429, 150, 423, 
120, 150, 408, 149, 411, 150, 411, 149, 403, 150, 429, 149, 425, 
125, 150, 409, 150, 411, 149, 411, 150, 403, 150, 431, 150, 425, 
130, 149, 409, 149, 410, 149, 410, 150, 404, 149, 432, 149, 424, 
135, 150, 409, 149, 412, 150, 412, 150, 405, 150, 431, 150, 425, 
140, 150, 409, 149, 412, 150, 412, 150, 405, 150, 433, 149, 425, 
145, 150, 409, 149, 411, 149, 410, 150, 405, 150, 434, 150, 423, 
150, 150, 409, 149, 413, 150, 412, 150, 406, 150, 435, 150, 427, 
155, 150, 410, 149, 412, 150, 412, 150, 407, 150, 435, 150, 427, 
160, 150, 410, 149, 412, 150, 410, 150, 405, 149, 435, 150, 427, 
165, 150, 410, 150, 413, 150, 412, 149, 407, 150, 436, 149, 426, 
170, 150, 410, 149, 410, 150, 412, 149, 406, 149, 434, 150, 426, 
175, 150, 410, 149, 410, 150, 410, 150, 406, 150, 436, 150, 426, 
180, 150, 409, 149, 410, 149, 411, 149, 407, 150, 435, 150, 424, 
185, 150, 409, 149, 410, 149, 411, 150, 408, 150, 434, 150, 423, 
190, 150, 409, 150, 410, 149, 411, 150, 407, 150, 434, 150, 423, 
195, 150, 409, 149, 409, 150, 411, 150, 408, 149, 433, 150, 422, 
200, 150, 409, 149, 409, 150, 411, 149, 408, 150, 433, 150, 422, 
205, 150, 409, 150, 409, 149, 412, 150, 408, 149, 433, 150, 423, 
210, 150, 409, 149, 409, 150, 410, 150, 406, 150, 432, 150, 423, 
215, 150, 409, 149, 410, 149, 411, 150, 408, 150, 433, 150, 422, 
220, 150, 409, 150, 409, 150, 411, 149, 406, 150, 431, 150, 423, 
225, 150, 409, 149, 408, 150, 410, 150, 406, 150, 432, 150, 422, 
230, 150, 409, 149, 408, 149, 410, 149, 407, 149, 431, 150, 420, 
235, 150, 409, 149, 407, 149, 410, 150, 407, 150, 429, 150, 419, 
240, 150, 410, 149, 405, 150, 410, 150, 406, 150, 431, 149, 420, 
245, 150, 410, 149, 406, 150, 409, 150, 407, 149, 429, 150, 417, 
250, 150, 409, 149, 408, 150, 410, 150, 407, 150, 429, 150, 418, 
255, 150, 409, 150, 406, 149, 409, 150, 407, 150, 429, 150, 419, 
260, 150, 409, 150, 406, 149, 409, 150, 406, 149, 428, 150, 417, 
265, 150, 409, 150, 408, 150, 410, 150, 406, 150, 429, 150, 416, 
270, 150, 409, 149, 407, 149, 409, 149, 406, 149, 427, 150, 417, 
275, 149, 409, 149, 403, 150, 409, 150, 404, 150, 428, 150, 417, 
280, 150, 410, 149, 404, 149, 409, 150, 405, 149, 427, 150, 415, 
285, 150, 409, 149, 405, 150, 410, 150, 405, 149, 425, 150, 416, 
290, 150, 409, 149, 404, 150, 409, 149, 404, 150, 426, 150, 415, 
295, 150, 409, 149, 405, 150, 409, 150, 406, 149, 424, 150, 415, 
300, 150, 408, 149, 405, 150, 409, 150, 404, 150, 424, 150, 414, 
305, 149, 408, 150, 404, 149, 408, 149, 404, 150, 425, 150, 413, 
310, 150, 408, 149, 404, 149, 408, 149, 404, 149, 424, 150, 411, 
315, 150, 408, 149, 406, 150, 408, 149, 404, 150, 423, 150, 413, 
320, 150, 408, 149, 405, 149, 407, 150, 405, 150, 422, 149, 412, 
325, 150, 408, 149, 404, 150, 408, 150, 401, 149, 423, 150, 413, 
330, 150, 408, 149, 406, 150, 408, 149, 404, 149, 421, 149, 413, 
