t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 401, 149, 403, 150, 399, 150, 395, 149, 418, 150, 400, 
10, 150, 401, 149, 402, 149, 399, 149, 394, 149, 417, 149, 400, 
15, 149, 401, 149, 404, 150, 399, 150, 396, 150, 418, 150, 399, 
20, 150, 401, 149, 403, 150, 400, 149, 395, 149, 418, 150, 400, 
25, 150, 400, 149, 403, 150, 400, 149, 393, 149, 416, 150, 399, 
30, 150, 400, 149, 403, 150, 399, 149, 395, 150, 417, 149, 399, 
35, 150, 399, 149, 402, 150, 400, 150, 395, 150, 418, 150, 400, 
40, 149, 401, 149, 403, 150, 399, 149, 395, 149, 417, 150, 400, 
45, 150, 399, 149, 403, 150, 398, 150, 392, 150, 415, 150, 396, 
50, 150, 400, 149, 401, 149, 400, 150, 393, 150, 414, 150, 399, 
55, 150, 399, 150, 403, 150, 399, 150, 395, 150, 415, 150, 399, 
60, 150, 399, 149, 403, 149, 398, 149, 393, 150, 413, 150, 396, 
65, 150, 398, 150, 402, 150, 397, 150, 390, 150, 412, 150, 395, 
70, 150, 397, 149, 401, 150, 396, 150, 391, 150, 412, 150, 394, 
75, 150, 395, 150, 400, 150, 397, 149, 390, 149, 412, 149, 392, 
80, 150, 394, 149, 400, 150, 398, 149, 390, 149, 411, 150, 393, 
85, 150, 394, 149, 400, 150, 396, 150, 391, 150, 412, 150, 393, 
90, 150, 394, 149, 401, 150, 397, 149, 390, 150, 412, 150, 394, 
95, 150, 394, 149, 400, 150, 398, 149, 388, 150, 411, 150, 394, 
100, 150, 394, 150, 399, 150, 398, 150, 389, 150, 412, 149, 393, 
105, 150, 393, 149, 400, 150, 396, 150, 390, 149, 411, 149, 393, 
110, 150, 393, 150, 398, 150, 396, 150, 387, 150, 411, 149, 392, 
115, 150, 393, 150, 398, 149, 395, 150, 387, 149, 409, 149, 393, 
120, 150, 392, 149, 399, 150, 393, 149, 388, 150, 410, 150, 393, 
125, 150, 392, 149, 399, 150, 394, 150, 387, 150, 410, 149, 392, 
130, 150, 393, 149, 399, 149, 394, 149, 385, 150, 408, 149, 393, 
135, 150, 392, 149, 398, 150, 391, 150, 387, 150, 409, 149, 393, 
140, 150, 392, 149, 397, 149, 390, 149, 387, 149, 408, 150, 392, 
145, 150, 392, 149, 398, 150, 391, 150, 386, 150, 407, 150, 391, 
150, 149, 391, 150, 396, 149, 389, 150, 387, 150, 408, 150, 392, 
155, 150, 390, 149, 398, 150, 389, 149, 387, 149, 407, 150, 392, 
160, 150, 390, 149, 396, 150, 387, 150, 384, 150, 407, 150, 390, 
165, 150, 389, 149, 396, 149, 387, 150, 385, 149, 407, 149, 389, 
170, 150, 389, 149, 396, 150, 386, 149, 386, 149, 408, 150, 390, 
175, 150, 388, 150, 394, 150, 388, 150, 386, 150, 408, 150, 391, 
180, 150, 388, 149, 396, 150, 387, 149, 384, 149, 406, 149, 388, 
185, 149, 388, 150, 396, 150, 386, 149, 385, 150, 406, 150, 390, 
190, 150, 387, 149, 397, 150, 387, 149, 383, 149, 407, 150, 389, 
195, 150, 387, 149, 393, 150, 387, 149, 382, 150, 406, 150, 388, 
200, 150, 387, 149, 395, 149, 385, 150, 383, 150, 406, 149, 387, 
205, 150, 387, 149, 395, 149, 386, 149, 383, 149, 405, 149, 387, 
210, 150, 387, 149, 396, 150, 386, 150, 382, 150, 405, 150, 387, 
215, 149, 386, 150, 394, 149, 386, 150, 383, 149, 404, 150, 388, 
220, 150, 386, 149, 394, 150, 385, 149, 383, 150, 403, 150, 387, 
225, 150, 386, 149, 394, 150, 386, 149, 382, 149, 403, 149, 385, 
230, 150, 385, 149, 395, 149, 386, 149, 380, 150, 403, 150, 383, 
235, 150, 385, 149, 396, 150, 386, 150, 382, 150, 403, 150, 385, 
240, 150, 385, 149, 394, 149, 387, 150, 381, 150, 402, 150, 383, 
245, 150, 385, 149, 392, 150, 387, 149, 379, 150, 402, 150, 382, 
250, 150, 385, 149, 394, 150, 387, 150, 380, 149, 401, 149, 382, 
255, 150, 384, 149, 393, 149, 385, 149, 380, 149, 401, 150, 382, 
260, 150, 384, 149, 393, 150, 386, 150, 378, 150, 400, 150, 380, 
265, 150, 384, 149, 392, 150, 387, 150, 380, 150, 401, 150, 380, 
270, 150, 384, 149, 393, 150, 385, 149, 379, 150, 401, 150, 381, 
275, 150, 383, 149, 392, 150, 386, 150, 380, 149, 400, 150, 380, 
280, 150, 383, 150, 394, 150, 386, 150, 380, 150, 399, 150, 378, 
285, 150, 384, 149, 393, 150, 386, 150, 379, 150, 400, 150, 378, 
290, 149, 383, 150, 392, 150, 386, 150, 379, 150, 399, 150, 378, 
295, 150, 384, 149, 391, 149, 384, 149, 377, 150, 398, 150, 379, 
300, 150, 383, 150, 392, 150, 386, 150, 378, 150, 399, 150, 379, 
305, 150, 383, 149, 390, 150, 384, 150, 378, 149, 399, 149, 380, 
310, 150, 383, 149, 391, 150, 387, 150, 377, 150, 399, 150, 378, 
315, 150, 383, 149, 391, 150, 386, 150, 377, 149, 398, 149, 379, 
320, 150, 384, 149, 391, 150, 383, 149, 378, 150, 399, 150, 379, 
325, 150, 383, 149, 392, 149, 384, 150, 377, 149, 396, 150, 377, 
330, 150, 383, 150, 392, 150, 385, 149, 376, 150, 398, 150, 376, 
