t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 389, 149, 388, 150, 389, 150, 387, 150, 401, 149, 389, 
10, 150, 389, 149, 389, 150, 390, 150, 386, 150, 401, 149, 389, 
15, 150, 389, 150, 389, 150, 390, 150, 383, 150, 399, 149, 388, 
20, 150, 389, 149, 389, 149, 390, 149, 386, 150, 400, 150, 390, 
25, 150, 389, 149, 389, 150, 389, 150, 386, 150, 400, 150, 388, 
30, 149, 387, 149, 390, 149, 390, 150, 385, 150, 400, 150, 385, 
35, 150, 387, 149, 389, 150, 389, 150, 385, 150, 400, 150, 388, 
40, 150, 386, 149, 389, 150, 390, 150, 386, 150, 400, 150, 386, 
45, 149, 384, 150, 388, 149, 389, 150, 385, 150, 399, 150, 386, 
50, 150, 384, 149, 388, 150, 388, 149, 384, 149, 397, 149, 386, 
55, 150, 383, 149, 388, 150, 389, 150, 384, 149, 397, 150, 388, 
60, 149, 381, 149, 385, 150, 386, 150, 383, 150, 397, 149, 384, 
65, 150, 382, 149, 385, 149, 386, 150, 382, 150, 396, 150, 384, 
70, 150, 381, 150, 383, 149, 384, 150, 381, 150, 394, 149, 381, 
75, 149, 381, 149, 382, 150, 384, 150, 380, 150, 393, 150, 382, 
80, 149, 380, 150, 382, 150, 383, 150, 377, 149, 391, 150, 380, 
85, 150, 380, 150, 381, 149, 383, 149, 378, 150, 394, 150, 382, 
90, 150, 381, 149, 381, 150, 381, 150, 378, 149, 393, 149, 382, 
95, 150, 381, 149, 381, 149, 381, 150, 376, 150, 390, 150, 380, 
100, 150, 379, 149, 379, 150, 382, 150, 375, 149, 391, 150, 380, 
105, 150, 379, 150, 380, 150, 379, 149, 374, 149, 388, 150, 379, 
110, 150, 378, 149, 381, 149, 378, 149, 374, 150, 388, 150, 377, 
115, 150, 377, 149, 381, 150, 378, 149, 372, 150, 387, 150, 379, 
120, 150, 378, 150, 380, 149, 378, 150, 372, 150, 389, 150, 379, 
125, 150, 376, 149, 380, 149, 376, 149, 371, 150, 388, 150, 378, 
130, 149, 376, 150, 378, 150, 376, 150, 370, 149, 384, 150, 377, 
135, 150, 375, 150, 378, 149, 374, 150, 370, 150, 385, 150, 377, 
140, 150, 375, 149, 378, 150, 373, 150, 370, 150, 384, 150, 376, 
145, 150, 373, 149, 377, 150, 373, 150, 367, 150, 383, 149, 374, 
150, 150, 373, 149, 376, 149, 375, 150, 370, 150, 386, 150, 375, 
155, 150, 374, 149, 376, 150, 372, 150, 369, 150, 383, 150, 375, 
160, 149, 374, 149, 378, 150, 373, 150, 370, 149, 382, 150, 373, 
165, 150, 374, 149, 377, 150, 373, 150, 368, 149, 382, 150, 373, 
170, 150, 373, 150, 378, 150, 372, 150, 368, 150, 382, 150, 373, 
175, 150, 372, 149, 376, 149, 372, 150, 367, 150, 383, 150, 372, 
180, 150, 373, 149, 377, 150, 373, 150, 367, 149, 381, 150, 369, 
185, 150, 373, 150, 377, 150, 373, 150, 368, 150, 381, 150, 370, 
190, 150, 372, 149, 376, 150, 372, 150, 370, 150, 381, 150, 369, 
195, 150, 372, 150, 376, 150, 372, 149, 367, 150, 380, 150, 367, 
200, 150, 372, 149, 376, 149, 373, 150, 369, 150, 381, 150, 368, 
205, 150, 372, 149, 375, 150, 373, 150, 369, 150, 381, 150, 367, 
210, 150, 371, 149, 376, 149, 374, 150, 369, 150, 381, 150, 365, 
215, 150, 372, 149, 376, 150, 374, 149, 369, 149, 381, 150, 367, 
220, 150, 371, 150, 375, 150, 374, 150, 370, 150, 381, 150, 366, 
225, 150, 371, 149, 375, 149, 373, 150, 370, 149, 382, 150, 368, 
230, 150, 371, 149, 376, 150, 374, 150, 370, 149, 380, 150, 367, 
235, 150, 369, 150, 376, 149, 376, 149, 372, 150, 379, 150, 365, 
240, 150, 369, 149, 375, 150, 373, 149, 371, 150, 378, 150, 366, 
245, 150, 369, 150, 376, 150, 374, 149, 369, 150, 377, 149, 365, 
250, 150, 369, 149, 375, 149, 374, 149, 371, 149, 377, 149, 365, 
255, 150, 370, 149, 375, 150, 373, 149, 371, 149, 377, 150, 365, 
260, 150, 370, 149, 374, 150, 374, 149, 370, 150, 377, 150, 363, 
265, 150, 369, 149, 375, 150, 375, 150, 370, 150, 378, 150, 363, 
270, 150, 370, 149, 375, 150, 373, 150, 372, 149, 378, 150, 363, 
275, 150, 369, 149, 373, 149, 373, 149, 370, 149, 379, 150, 361, 
280, 150, 370, 149, 374, 150, 374, 149, 370, 150, 376, 149, 361, 
285, 149, 374, 150, 374, 149, 375, 149, 371, 149, 378, 150, 363, 
290, 150, 374, 149, 374, 150, 373, 149, 372, 150, 378, 150, 362, 
295, 150, 373, 149, 373, 150, 374, 149, 369, 150, 378, 150, 360, 
300, 150, 373, 150, 374, 149, 375, 149, 371, 150, 378, 149, 360, 
305, 150, 373, 149, 375, 150, 373, 149, 371, 149, 377, 150, 361, 
310, 149, 373, 150, 373, 150, 374, 150, 371, 150, 377, 150, 359, 
315, 150, 373, 149, 375, 149, 374, 150, 368, 150, 376, 150, 362, 
320, 150, 372, 149, 374, 149, 372, 149, 369, 149, 377, 150, 360, 
325, 150, 372, 149, 374, 150, 373, 149, 370, 150, 377, 150, 358, 
330, 150, 369, 149, 373, 149, 371, 149, 370, 149, 378, 150, 359, 
