t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 493, 149, 503, 150, 496, 149, 476, 150, 514, 149, 499, 
10, 150, 493, 149, 505, 149, 497, 150, 476, 149, 514, 149, 498, 
15, 150, 492, 149, 503, 150, 498, 149, 475, 150, 513, 150, 494, 
20, 150, 491, 149, 502, 149, 494, 150, 475, 150, 513, 150, 495, 
25, 150, 490, 149, 501, 150, 493, 150, 474, 150, 511, 149, 494, 
30, 150, 490, 149, 502, 150, 492, 149, 471, 149, 510, 150, 490, 
35, 150, 491, 150, 502, 150, 492, 149, 472, 149, 507, 150, 492, 
40, 149, 489, 149, 500, 150, 489, 149, 470, 149, 505, 150, 491, 
45, 150, 489, 149, 496, 150, 491, 150, 470, 150, 506, 150, 493, 
50, 149, 490, 149, 497, 149, 488, 150, 467, 150, 505, 150, 487, 
55, 150, 490, 150, 497, 150, 488, 150, 468, 149, 503, 150, 489, 
60, 150, 490, 150, 496, 150, 486, 149, 467, 149, 504, 150, 488, 
65, 150, 490, 149, 495, 150, 484, 149, 466, 150, 503, 150, 488, 
70, 150, 490, 150, 494, 150, 485, 149, 464, 150, 502, 150, 486, 
75, 150, 490, 150, 495, 149, 483, 150, 465, 150, 503, 149, 485, 
80, 150, 490, 150, 494, 150, 480, 149, 463, 149, 501, 150, 484, 
85, 150, 490, 150, 495, 150, 483, 149, 461, 150, 502, 150, 483, 
90, 150, 490, 150, 494, 150, 481, 150, 463, 150, 501, 150, 482, 
95, 150, 490, 150, 494, 150, 481, 149, 459, 149, 499, 150, 480, 
100, 150, 489, 150, 491, 149, 481, 149, 461, 149, 497, 150, 484, 
105, 150, 489, 150, 490, 150, 481, 149, 461, 150, 499, 149, 482, 
110, 150, 488, 149, 491, 149, 482, 149, 461, 149, 497, 150, 483, 
115, 150, 487, 150, 489, 149, 483, 149, 462, 149, 497, 149, 482, 
120, 150, 486, 149, 489, 149, 484, 149, 462, 149, 498, 150, 484, 
125, 150, 485, 149, 493, 149, 484, 150, 463, 150, 498, 150, 483, 
130, 150, 485, 150, 494, 150, 487, 149, 461, 149, 497, 150, 482, 
135, 150, 484, 149, 493, 150, 487, 149, 465, 149, 499, 149, 485, 
140, 150, 484, 149, 491, 149, 488, 149, 464, 150, 500, 149, 486, 
145, 150, 484, 150, 496, 150, 490, 150, 464, 149, 500, 150, 484, 
150, 150, 482, 149, 494, 150, 493, 149, 464, 149, 500, 150, 486, 
155, 150, 483, 149, 496, 149, 492, 149, 465, 150, 502, 150, 489, 
160, 150, 482, 149, 498, 150, 494, 150, 467, 150, 505, 150, 490, 
165, 150, 481, 149, 499, 150, 500, 149, 465, 150, 505, 150, 488, 
170, 150, 481, 149, 500, 149, 498, 150, 468, 150, 505, 149, 492, 
175, 150, 480, 150, 502, 150, 498, 150, 470, 150, 506, 149, 493, 
180, 150, 479, 149, 503, 150, 502, 150, 468, 150, 506, 150, 491, 
185, 150, 479, 149, 505, 150, 502, 150, 470, 150, 507, 150, 495, 
190, 150, 478, 149, 505, 149, 504, 150, 471, 150, 508, 149, 495, 
195, 150, 477, 149, 506, 150, 504, 150, 472, 149, 508, 150, 496, 
200, 150, 477, 149, 506, 150, 507, 150, 473, 150, 507, 150, 496, 
205, 150, 476, 149, 509, 149, 507, 150, 473, 150, 509, 150, 498, 
210, 150, 476, 149, 511, 150, 509, 150, 474, 149, 509, 150, 498, 
215, 150, 475, 149, 509, 150, 510, 150, 474, 150, 509, 150, 496, 
220, 150, 475, 150, 513, 150, 511, 150, 475, 150, 510, 150, 500, 
225, 150, 475, 150, 513, 150, 511, 150, 475, 150, 510, 150, 500, 
230, 150, 475, 149, 514, 149, 510, 150, 473, 150, 512, 150, 499, 
235, 150, 475, 149, 514, 150, 511, 149, 476, 150, 508, 150, 501, 
240, 150, 474, 149, 515, 150, 513, 149, 475, 150, 511, 150, 502, 
245, 150, 474, 149, 519, 150, 512, 149, 476, 150, 512, 150, 502, 
250, 149, 474, 149, 519, 149, 513, 149, 478, 150, 509, 150, 501, 
255, 150, 473, 149, 517, 149, 515, 149, 477, 150, 511, 150, 503, 
260, 150, 473, 150, 520, 150, 515, 150, 477, 149, 510, 149, 504, 
265, 150, 473, 149, 521, 150, 517, 149, 477, 149, 511, 150, 502, 
270, 150, 472, 149, 520, 149, 515, 149, 478, 149, 511, 150, 505, 
275, 150, 473, 150, 524, 150, 517, 149, 478, 149, 512, 150, 505, 
280, 150, 473, 149, 527, 150, 516, 149, 478, 149, 511, 149, 506, 
285, 150, 472, 149, 525, 150, 517, 149, 480, 150, 511, 150, 508, 
290, 150, 473, 149, 525, 149, 518, 150, 481, 149, 512, 149, 507, 
295, 150, 473, 150, 528, 150, 519, 150, 480, 150, 512, 149, 509, 
300, 150, 473, 149, 529, 149, 519, 150, 479, 149, 512, 150, 509, 
305, 150, 473, 150, 528, 150, 521, 150, 482, 149, 510, 150, 509, 
310, 149, 473, 150, 530, 149, 520, 149, 480, 150, 512, 150, 511, 
315, 150, 473, 150, 529, 149, 520, 149, 481, 149, 511, 150, 511, 
320, 150, 473, 149, 531, 149, 520, 149, 479, 150, 513, 150, 514, 
325, 150, 473, 150, 532, 150, 522, 150, 481, 150, 511, 150, 514, 
330, 150, 473, 150, 534, 150, 522, 149, 480, 150, 511, 150, 514, 
