t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 412, 149, 414, 150, 419, 150, 405, 149, 428, 150, 420, 
10, 150, 411, 150, 416, 149, 418, 149, 403, 150, 427, 150, 420, 
15, 150, 409, 149, 415, 150, 418, 150, 403, 150, 428, 150, 421, 
20, 150, 410, 149, 415, 150, 418, 150, 402, 150, 428, 150, 419, 
25, 150, 411, 149, 415, 150, 418, 150, 404, 149, 428, 149, 422, 
30, 150, 412, 150, 415, 150, 417, 149, 404, 149, 428, 149, 421, 
35, 149, 412, 149, 413, 150, 418, 150, 405, 150, 428, 150, 421, 
40, 150, 415, 149, 413, 150, 417, 150, 402, 150, 429, 150, 420, 
45, 150, 420, 149, 412, 150, 418, 149, 404, 150, 428, 150, 421, 
50, 150, 422, 149, 412, 149, 416, 150, 407, 149, 426, 150, 419, 
55, 150, 421, 150, 412, 150, 415, 149, 401, 150, 423, 149, 418, 
60, 150, 414, 150, 411, 150, 415, 150, 402, 149, 423, 150, 417, 
65, 150, 407, 149, 407, 150, 410, 149, 398, 150, 417, 150, 411, 
70, 150, 402, 149, 404, 149, 409, 149, 394, 149, 416, 149, 407, 
75, 150, 397, 150, 403, 150, 410, 150, 396, 150, 415, 150, 406, 
80, 150, 394, 149, 402, 149, 406, 149, 392, 150, 413, 150, 405, 
85, 150, 391, 149, 403, 150, 406, 149, 392, 150, 414, 150, 403, 
90, 150, 390, 150, 401, 150, 407, 149, 390, 150, 414, 150, 404, 
95, 150, 388, 149, 400, 150, 406, 150, 392, 150, 414, 149, 404, 
100, 150, 388, 150, 400, 149, 405, 150, 392, 150, 412, 150, 402, 
105, 150, 387, 149, 400, 150, 403, 150, 391, 150, 412, 150, 402, 
110, 150, 388, 150, 399, 150, 404, 150, 390, 150, 412, 150, 400, 
115, 150, 388, 149, 399, 149, 402, 150, 388, 149, 410, 150, 399, 
120, 150, 390, 149, 397, 150, 403, 150, 389, 150, 410, 150, 399, 
125, 150, 389, 149, 396, 150, 402, 150, 390, 150, 410, 150, 399, 
130, 150, 389, 149, 395, 150, 402, 150, 390, 149, 408, 149, 399, 
135, 149, 392, 149, 396, 150, 400, 149, 385, 150, 409, 150, 397, 
140, 150, 392, 149, 393, 149, 400, 150, 388, 149, 408, 149, 398, 
145, 150, 390, 150, 394, 149, 400, 149, 387, 150, 407, 150, 398, 
150, 150, 389, 149, 391, 149, 399, 150, 387, 149, 407, 149, 397, 
155, 150, 389, 149, 395, 149, 399, 150, 385, 150, 408, 150, 396, 
160, 149, 389, 149, 392, 149, 399, 149, 385, 149, 406, 150, 397, 
165, 150, 390, 150, 393, 149, 399, 149, 386, 149, 406, 149, 398, 
170, 150, 390, 149, 394, 150, 398, 149, 386, 149, 406, 149, 397, 
175, 149, 390, 149, 394, 150, 397, 150, 384, 150, 406, 150, 396, 
180, 150, 391, 150, 394, 150, 399, 150, 385, 150, 407, 149, 397, 
185, 150, 392, 150, 395, 149, 398, 150, 386, 149, 405, 150, 398, 
190, 150, 391, 149, 395, 150, 398, 150, 386, 150, 405, 150, 397, 
195, 150, 392, 149, 395, 149, 397, 149, 384, 150, 406, 150, 395, 
200, 150, 392, 149, 394, 149, 397, 150, 385, 149, 405, 150, 397, 
205, 149, 391, 149, 396, 149, 398, 150, 386, 150, 404, 149, 396, 
210, 150, 392, 149, 395, 150, 397, 150, 385, 150, 404, 150, 395, 
215, 150, 391, 150, 395, 150, 398, 150, 383, 150, 404, 150, 394, 
220, 150, 391, 150, 395, 150, 398, 150, 385, 149, 404, 149, 395, 
225, 150, 391, 150, 396, 149, 396, 150, 384, 150, 403, 150, 394, 
230, 150, 391, 149, 395, 150, 397, 150, 383, 150, 403, 150, 395, 
235, 150, 391, 150, 395, 149, 397, 150, 384, 150, 403, 150, 394, 
240, 150, 391, 149, 395, 150, 398, 150, 384, 150, 402, 149, 393, 
245, 150, 390, 149, 396, 149, 397, 150, 386, 150, 401, 150, 394, 
250, 150, 390, 149, 396, 150, 396, 150, 384, 150, 401, 150, 393, 
255, 150, 389, 150, 395, 149, 396, 149, 383, 149, 401, 150, 393, 
260, 149, 389, 149, 395, 150, 397, 150, 384, 150, 401, 150, 393, 
265, 150, 388, 149, 396, 150, 396, 150, 385, 150, 400, 150, 393, 
270, 150, 389, 150, 396, 150, 396, 150, 382, 150, 401, 150, 392, 
275, 150, 389, 150, 396, 150, 396, 149, 384, 149, 399, 150, 391, 
280, 149, 387, 149, 395, 150, 396, 150, 383, 150, 399, 150, 391, 
285, 150, 387, 150, 396, 150, 397, 149, 381, 149, 398, 149, 392, 
290, 150, 386, 149, 395, 150, 395, 150, 381, 150, 398, 150, 391, 
295, 149, 386, 150, 394, 149, 396, 150, 382, 150, 397, 150, 390, 
300, 150, 386, 149, 394, 149, 396, 150, 383, 149, 397, 150, 390, 
305, 150, 385, 149, 394, 150, 396, 149, 382, 150, 394, 149, 391, 
310, 150, 385, 149, 393, 150, 394, 149, 380, 150, 395, 150, 389, 
315, 150, 383, 149, 393, 149, 395, 149, 382, 149, 395, 149, 390, 
320, 150, 384, 149, 394, 149, 395, 149, 381, 150, 395, 150, 392, 
325, 150, 382, 149, 394, 150, 395, 150, 381, 149, 393, 149, 389, 
330, 150, 382, 149, 393, 150, 393, 149, 379, 150, 394, 150, 387, 
