t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 465, 149, 471, 149, 463, 149, 451, 149, 492, 150, 479, 
10, 150, 466, 150, 474, 149, 464, 150, 455, 149, 493, 150, 479, 
15, 150, 467, 149, 475, 150, 465, 150, 455, 149, 491, 149, 480, 
20, 150, 467, 149, 475, 149, 466, 149, 456, 150, 493, 150, 480, 
25, 149, 468, 149, 475, 150, 466, 150, 453, 150, 493, 149, 480, 
30, 150, 467, 150, 475, 149, 466, 149, 456, 150, 492, 149, 479, 
35, 150, 467, 149, 476, 150, 465, 149, 456, 150, 490, 150, 481, 
40, 150, 468, 149, 475, 150, 465, 150, 455, 150, 490, 150, 480, 
45, 150, 468, 149, 476, 150, 463, 150, 455, 150, 490, 150, 478, 
50, 150, 467, 149, 476, 150, 464, 149, 453, 150, 491, 150, 480, 
55, 149, 464, 149, 472, 150, 460, 150, 449, 150, 486, 150, 479, 
60, 150, 463, 149, 471, 149, 459, 150, 452, 150, 486, 150, 475, 
65, 150, 462, 150, 471, 150, 460, 150, 450, 150, 485, 150, 474, 
70, 150, 459, 149, 467, 149, 456, 149, 445, 150, 483, 150, 473, 
75, 150, 461, 150, 468, 150, 457, 150, 443, 150, 480, 150, 473, 
80, 150, 458, 149, 466, 149, 453, 149, 443, 149, 478, 150, 471, 
85, 150, 457, 149, 465, 150, 453, 150, 443, 149, 480, 150, 468, 
90, 150, 458, 149, 465, 150, 452, 150, 444, 150, 479, 150, 471, 
95, 150, 459, 149, 468, 150, 452, 150, 442, 149, 480, 150, 472, 
100, 150, 462, 149, 468, 150, 452, 149, 443, 149, 480, 150, 475, 
105, 150, 463, 149, 469, 149, 449, 149, 441, 149, 479, 150, 478, 
110, 150, 466, 149, 470, 150, 449, 149, 441, 150, 481, 149, 481, 
115, 150, 469, 149, 471, 149, 450, 150, 440, 149, 482, 149, 482, 
120, 150, 468, 149, 473, 149, 449, 149, 439, 149, 484, 149, 483, 
125, 150, 469, 150, 473, 150, 450, 150, 442, 149, 483, 149, 483, 
130, 149, 469, 149, 473, 150, 447, 150, 442, 149, 484, 150, 482, 
135, 150, 469, 149, 471, 150, 448, 150, 444, 149, 484, 150, 482, 
140, 150, 470, 149, 473, 150, 449, 150, 445, 149, 486, 150, 483, 
145, 149, 470, 149, 473, 150, 450, 150, 451, 150, 489, 149, 482, 
150, 149, 472, 149, 473, 150, 448, 150, 452, 149, 487, 150, 481, 
155, 150, 473, 150, 472, 150, 447, 150, 455, 150, 489, 150, 481, 
160, 150, 474, 149, 473, 150, 449, 150, 452, 150, 488, 150, 482, 
165, 150, 473, 149, 473, 150, 448, 150, 456, 150, 490, 150, 480, 
170, 150, 473, 149, 474, 150, 448, 150, 456, 149, 489, 150, 477, 
175, 150, 473, 149, 473, 150, 449, 150, 455, 149, 490, 150, 479, 
180, 150, 473, 150, 474, 149, 450, 150, 453, 149, 489, 150, 478, 
185, 150, 472, 150, 472, 149, 450, 150, 457, 149, 489, 150, 475, 
190, 150, 472, 149, 472, 150, 450, 150, 457, 150, 490, 150, 474, 
195, 150, 471, 149, 473, 150, 451, 149, 455, 150, 490, 150, 474, 
200, 150, 471, 149, 472, 150, 452, 150, 454, 149, 490, 150, 474, 
205, 150, 470, 149, 471, 150, 452, 150, 454, 150, 490, 150, 471, 
210, 150, 468, 149, 469, 150, 450, 150, 455, 149, 490, 149, 472, 
215, 150, 468, 150, 469, 150, 453, 150, 456, 150, 490, 150, 472, 
220, 150, 467, 149, 469, 150, 452, 150, 452, 149, 490, 149, 471, 
225, 150, 466, 150, 468, 149, 452, 149, 452, 150, 489, 149, 470, 
230, 150, 466, 149, 467, 150, 451, 150, 453, 150, 490, 150, 470, 
235, 150, 464, 149, 467, 150, 452, 150, 452, 150, 490, 150, 470, 
240, 150, 464, 149, 466, 150, 451, 150, 451, 149, 488, 149, 470, 
245, 150, 463, 149, 466, 150, 452, 149, 449, 149, 489, 149, 469, 
250, 150, 463, 149, 466, 150, 451, 149, 449, 150, 490, 149, 467, 
255, 150, 461, 149, 464, 150, 450, 149, 450, 150, 487, 150, 468, 
260, 150, 462, 149, 465, 149, 450, 150, 450, 149, 487, 150, 468, 
265, 149, 460, 149, 463, 150, 451, 149, 446, 149, 487, 150, 468, 
270, 149, 459, 149, 464, 149, 449, 149, 447, 150, 485, 149, 468, 
275, 150, 459, 149, 463, 150, 449, 150, 447, 149, 486, 149, 468, 
280, 150, 458, 149, 462, 150, 450, 150, 446, 150, 485, 150, 469, 
285, 150, 458, 149, 462, 149, 449, 149, 446, 149, 485, 149, 468, 
290, 150, 458, 150, 463, 150, 450, 150, 448, 150, 485, 150, 465, 
295, 150, 457, 149, 462, 150, 449, 149, 445, 150, 484, 149, 467, 
300, 150, 457, 149, 462, 149, 449, 150, 447, 150, 485, 149, 467, 
305, 150, 455, 149, 461, 149, 449, 149, 443, 149, 483, 150, 467, 
310, 150, 455, 149, 461, 150, 450, 149, 443, 150, 483, 149, 466, 
315, 150, 454, 149, 460, 149, 449, 149, 444, 149, 482, 150, 467, 
320, 150, 455, 149, 461, 150, 447, 150, 445, 150, 481, 150, 465, 
325, 150, 453, 149, 460, 149, 448, 149, 442, 149, 482, 150, 466, 
330, 150, 453, 149, 459, 150, 448, 150, 440, 150, 483, 149, 464, 
