t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 402, 149, 394, 150, 398, 150, 395, 150, 411, 150, 408, 
10, 150, 401, 149, 394, 150, 396, 149, 393, 149, 412, 150, 408, 
15, 149, 402, 149, 394, 150, 397, 149, 392, 150, 412, 150, 405, 
20, 150, 405, 150, 395, 150, 397, 150, 393, 150, 411, 150, 407, 
25, 150, 407, 149, 394, 150, 397, 150, 393, 150, 410, 150, 408, 
30, 150, 409, 149, 393, 150, 395, 150, 392, 150, 411, 150, 407, 
35, 150, 407, 149, 393, 150, 396, 149, 392, 150, 410, 150, 407, 
40, 150, 403, 149, 392, 149, 395, 149, 392, 150, 410, 149, 405, 
45, 150, 397, 149, 390, 150, 392, 150, 387, 149, 406, 150, 401, 
50, 150, 393, 149, 389, 149, 393, 150, 390, 150, 405, 150, 401, 
55, 150, 390, 149, 388, 149, 390, 149, 387, 149, 403, 150, 400, 
60, 150, 390, 150, 388, 150, 389, 149, 385, 149, 402, 150, 398, 
65, 149, 390, 149, 386, 149, 389, 150, 388, 150, 404, 149, 397, 
70, 150, 388, 149, 386, 149, 388, 149, 385, 149, 401, 150, 398, 
75, 150, 387, 149, 384, 149, 387, 150, 386, 150, 400, 149, 396, 
80, 150, 387, 149, 382, 150, 387, 149, 383, 149, 400, 150, 395, 
85, 150, 387, 149, 382, 150, 387, 150, 384, 150, 400, 149, 395, 
90, 150, 386, 149, 382, 150, 385, 150, 381, 150, 398, 149, 393, 
95, 150, 386, 149, 379, 150, 383, 150, 380, 149, 397, 150, 392, 
100, 150, 384, 149, 380, 150, 385, 150, 381, 150, 397, 150, 393, 
105, 150, 385, 150, 379, 150, 382, 149, 381, 150, 395, 150, 391, 
110, 150, 386, 149, 377, 150, 382, 150, 380, 150, 396, 150, 390, 
115, 150, 386, 149, 379, 149, 382, 150, 380, 150, 394, 150, 390, 
120, 150, 386, 150, 377, 149, 380, 149, 378, 150, 394, 149, 388, 
125, 150, 385, 149, 375, 149, 380, 150, 377, 149, 394, 150, 387, 
130, 150, 385, 149, 376, 150, 381, 150, 378, 150, 393, 150, 388, 
135, 150, 385, 150, 376, 149, 380, 150, 378, 149, 393, 150, 389, 
140, 150, 384, 149, 375, 150, 379, 149, 375, 149, 392, 150, 386, 
145, 150, 384, 149, 374, 150, 381, 150, 377, 149, 392, 149, 387, 
150, 149, 384, 149, 376, 149, 381, 150, 377, 149, 390, 150, 386, 
155, 149, 382, 150, 374, 150, 379, 150, 375, 150, 391, 150, 390, 
160, 150, 383, 149, 375, 149, 379, 149, 375, 150, 389, 150, 386, 
165, 150, 385, 149, 375, 150, 380, 149, 377, 150, 388, 150, 386, 
170, 150, 385, 149, 374, 150, 379, 149, 375, 149, 389, 150, 385, 
175, 150, 384, 149, 376, 149, 379, 150, 373, 150, 390, 150, 385, 
180, 150, 384, 150, 378, 150, 379, 150, 376, 149, 391, 149, 385, 
185, 150, 384, 149, 375, 149, 378, 149, 377, 149, 390, 149, 387, 
190, 150, 384, 150, 374, 150, 377, 150, 373, 149, 389, 149, 386, 
195, 150, 384, 149, 375, 150, 378, 150, 375, 149, 390, 149, 386, 
200, 150, 384, 150, 375, 150, 377, 150, 377, 150, 390, 150, 387, 
205, 150, 384, 149, 376, 150, 378, 149, 374, 150, 391, 150, 386, 
210, 149, 384, 149, 377, 150, 381, 150, 376, 150, 391, 150, 387, 
215, 150, 384, 150, 378, 150, 379, 150, 376, 149, 391, 149, 388, 
220, 150, 384, 149, 377, 150, 378, 149, 376, 149, 390, 150, 388, 
225, 150, 384, 149, 378, 149, 377, 149, 373, 150, 392, 149, 387, 
230, 150, 384, 149, 378, 149, 377, 150, 375, 150, 391, 150, 386, 
235, 150, 384, 149, 378, 149, 377, 150, 375, 150, 392, 150, 388, 
240, 150, 384, 149, 379, 150, 377, 149, 375, 150, 392, 150, 389, 
245, 150, 384, 149, 378, 150, 378, 150, 376, 150, 393, 150, 388, 
250, 150, 384, 149, 380, 150, 379, 149, 376, 149, 391, 149, 387, 
255, 150, 385, 149, 380, 149, 376, 150, 375, 149, 392, 150, 388, 
260, 150, 384, 149, 380, 149, 377, 150, 375, 149, 392, 150, 388, 
265, 150, 385, 150, 381, 150, 377, 150, 375, 149, 392, 150, 389, 
270, 150, 385, 149, 379, 149, 377, 150, 377, 150, 393, 150, 389, 
275, 150, 386, 149, 380, 150, 376, 150, 376, 150, 393, 150, 388, 
280, 150, 386, 149, 379, 149, 376, 150, 378, 150, 393, 150, 389, 
285, 149, 385, 150, 380, 150, 377, 150, 379, 150, 393, 150, 389, 
290, 150, 387, 149, 378, 149, 378, 150, 377, 150, 392, 150, 388, 
295, 150, 387, 149, 379, 149, 378, 150, 377, 150, 392, 150, 389, 
300, 150, 386, 149, 380, 149, 377, 150, 377, 150, 391, 150, 388, 
305, 150, 386, 150, 379, 150, 377, 150, 376, 150, 392, 150, 389, 
310, 150, 386, 149, 381, 149, 376, 150, 376, 149, 391, 149, 387, 
315, 150, 386, 150, 379, 150, 377, 150, 378, 150, 392, 150, 387, 
320, 150, 387, 150, 380, 150, 378, 149, 376, 150, 392, 150, 388, 
325, 150, 387, 149, 380, 150, 377, 150, 377, 150, 392, 150, 388, 
330, 150, 387, 149, 380, 149, 377, 149, 375, 150, 391, 150, 387, 
