t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 397, 149, 407, 150, 395, 150, 392, 149, 419, 150, 397, 
10, 149, 399, 149, 407, 150, 398, 149, 395, 150, 424, 149, 399, 
15, 149, 399, 149, 407, 150, 396, 150, 398, 149, 422, 150, 400, 
20, 150, 399, 149, 409, 150, 397, 149, 395, 150, 425, 150, 400, 
25, 150, 400, 149, 408, 149, 397, 149, 399, 149, 424, 149, 400, 
30, 150, 400, 150, 408, 150, 398, 149, 397, 150, 425, 150, 399, 
35, 150, 404, 149, 408, 150, 398, 149, 399, 149, 428, 150, 401, 
40, 150, 425, 150, 408, 150, 400, 150, 400, 150, 425, 150, 402, 
45, 150, 427, 149, 408, 150, 398, 150, 399, 150, 424, 150, 403, 
50, 150, 426, 149, 409, 150, 399, 149, 397, 150, 427, 150, 402, 
55, 150, 425, 149, 407, 149, 398, 149, 398, 149, 424, 150, 404, 
60, 150, 423, 149, 409, 150, 395, 150, 399, 150, 424, 150, 404, 
65, 150, 422, 149, 409, 150, 398, 149, 397, 150, 424, 150, 401, 
70, 150, 421, 149, 408, 149, 396, 150, 398, 150, 424, 150, 401, 
75, 150, 420, 149, 407, 150, 395, 149, 395, 149, 425, 150, 402, 
80, 150, 419, 149, 408, 150, 396, 150, 393, 150, 423, 150, 401, 
85, 150, 419, 149, 406, 149, 395, 149, 395, 150, 424, 150, 396, 
90, 150, 419, 149, 405, 149, 395, 149, 395, 149, 424, 150, 399, 
95, 150, 419, 149, 406, 149, 395, 150, 394, 149, 424, 149, 397, 
100, 150, 420, 149, 405, 150, 396, 149, 395, 149, 425, 150, 395, 
105, 150, 421, 149, 404, 150, 397, 149, 396, 149, 424, 150, 397, 
110, 150, 423, 149, 404, 150, 397, 149, 398, 149, 424, 149, 396, 
115, 150, 424, 149, 403, 150, 400, 149, 398, 150, 425, 150, 395, 
120, 150, 425, 149, 403, 150, 401, 150, 401, 149, 426, 150, 395, 
125, 150, 427, 150, 402, 150, 404, 150, 402, 150, 427, 150, 394, 
130, 150, 429, 149, 403, 150, 404, 149, 403, 149, 428, 150, 397, 
135, 150, 430, 149, 404, 150, 407, 150, 405, 149, 430, 150, 398, 
140, 149, 432, 149, 404, 150, 409, 151, 406, 149, 432, 150, 398, 
145, 150, 433, 149, 405, 149, 410, 150, 409, 149, 436, 150, 402, 
150, 150, 435, 149, 406, 150, 412, 149, 410, 149, 438, 150, 402, 
155, 150, 436, 149, 408, 149, 414, 149, 412, 149, 440, 150, 404, 
160, 150, 438, 149, 409, 149, 416, 150, 418, 150, 445, 149, 407, 
165, 150, 440, 149, 411, 150, 417, 149, 418, 149, 447, 150, 410, 
170, 150, 441, 149, 412, 150, 421, 149, 420, 150, 449, 150, 412, 
175, 150, 443, 149, 414, 149, 424, 150, 423, 149, 452, 150, 412, 
180, 150, 444, 149, 415, 150, 424, 149, 425, 150, 454, 150, 417, 
185, 150, 445, 149, 418, 149, 427, 149, 427, 150, 456, 150, 420, 
190, 149, 445, 149, 420, 150, 430, 149, 428, 150, 460, 150, 420, 
195, 150, 446, 149, 421, 150, 431, 150, 434, 149, 463, 150, 422, 
200, 150, 446, 149, 425, 150, 432, 150, 436, 150, 464, 150, 427, 
205, 150, 447, 149, 429, 150, 437, 149, 436, 150, 466, 149, 429, 
210, 150, 447, 150, 428, 149, 440, 150, 439, 149, 471, 150, 431, 
215, 150, 447, 149, 430, 150, 441, 149, 440, 150, 471, 150, 435, 
220, 150, 448, 149, 434, 150, 446, 149, 439, 150, 472, 150, 436, 
225, 150, 449, 150, 435, 150, 447, 151, 447, 149, 477, 150, 437, 
230, 150, 450, 149, 438, 150, 450, 151, 451, 149, 479, 150, 441, 
235, 150, 450, 149, 439, 149, 450, 150, 448, 149, 479, 150, 442, 
240, 150, 451, 149, 443, 150, 455, 150, 451, 150, 483, 150, 444, 
245, 150, 452, 149, 444, 150, 457, 151, 456, 149, 483, 150, 447, 
250, 150, 452, 149, 447, 150, 457, 150, 456, 149, 485, 150, 448, 
255, 150, 452, 149, 448, 150, 459, 150, 456, 150, 489, 150, 450, 
260, 150, 451, 150, 451, 149, 460, 150, 457, 150, 489, 150, 451, 
265, 149, 451, 149, 454, 150, 461, 149, 459, 150, 490, 150, 453, 
270, 150, 450, 149, 453, 150, 464, 149, 460, 149, 491, 150, 455, 
275, 150, 450, 149, 455, 150, 465, 149, 461, 149, 494, 150, 455, 
280, 150, 450, 149, 455, 149, 465, 149, 463, 150, 493, 150, 459, 
285, 150, 449, 149, 456, 149, 466, 149, 464, 150, 496, 150, 460, 
290, 150, 448, 149, 456, 150, 468, 149, 467, 149, 496, 150, 460, 
295, 150, 447, 149, 459, 149, 471, 150, 469, 150, 499, 150, 463, 
300, 150, 447, 149, 459, 150, 468, 150, 468, 150, 497, 149, 463, 
305, 149, 447, 149, 460, 150, 471, 149, 469, 150, 501, 150, 464, 
310, 150, 446, 150, 460, 149, 471, 150, 475, 150, 504, 150, 465, 
315, 150, 445, 149, 464, 150, 470, 150, 473, 150, 504, 150, 466, 
320, 149, 444, 149, 461, 150, 470, 149, 472, 149, 506, 150, 464, 
325, 150, 443, 149, 463, 150, 473, 150, 477, 149, 507, 150, 462, 
330, 150, 442, 149, 463, 150, 472, 150, 476, 149, 508, 150, 464, 
