t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 407, 149, 408, 150, 401, 150, 410, 150, 427, 150, 413, 
10, 150, 407, 149, 410, 150, 401, 149, 410, 149, 428, 150, 412, 
15, 149, 409, 149, 408, 150, 400, 149, 410, 150, 426, 149, 411, 
20, 150, 411, 150, 408, 150, 401, 149, 409, 150, 426, 150, 412, 
25, 149, 415, 149, 407, 150, 402, 150, 408, 150, 428, 150, 414, 
30, 150, 420, 149, 408, 149, 402, 150, 409, 150, 426, 150, 412, 
35, 150, 423, 150, 409, 149, 401, 150, 409, 149, 425, 150, 411, 
40, 150, 420, 150, 408, 149, 402, 150, 412, 150, 425, 150, 412, 
45, 150, 416, 150, 409, 150, 403, 150, 414, 150, 425, 150, 415, 
50, 149, 409, 149, 413, 149, 407, 150, 415, 149, 429, 150, 419, 
55, 149, 403, 149, 411, 150, 409, 150, 420, 150, 433, 150, 419, 
60, 150, 401, 149, 411, 150, 408, 150, 419, 150, 432, 149, 419, 
65, 149, 397, 150, 410, 150, 404, 150, 417, 150, 431, 150, 420, 
70, 150, 397, 149, 407, 150, 404, 150, 413, 149, 428, 150, 419, 
75, 150, 396, 149, 406, 150, 404, 150, 415, 150, 428, 150, 417, 
80, 150, 395, 150, 406, 150, 402, 149, 412, 150, 427, 150, 419, 
85, 150, 394, 150, 405, 150, 399, 150, 415, 149, 425, 150, 417, 
90, 150, 393, 149, 404, 150, 401, 150, 410, 149, 426, 150, 419, 
95, 150, 393, 150, 404, 149, 399, 150, 410, 150, 424, 150, 416, 
100, 150, 393, 149, 402, 150, 398, 150, 410, 149, 424, 150, 416, 
105, 150, 392, 149, 401, 150, 398, 150, 411, 150, 426, 150, 414, 
110, 150, 392, 150, 399, 150, 397, 150, 408, 149, 422, 150, 414, 
115, 150, 392, 149, 399, 149, 397, 150, 407, 150, 423, 150, 413, 
120, 150, 392, 150, 400, 150, 398, 150, 406, 150, 422, 150, 413, 
125, 150, 392, 149, 398, 150, 396, 150, 408, 149, 422, 150, 410, 
130, 149, 392, 149, 397, 149, 397, 150, 406, 149, 421, 150, 411, 
135, 150, 392, 150, 399, 150, 394, 150, 406, 150, 421, 149, 410, 
140, 150, 392, 149, 397, 149, 395, 150, 405, 149, 423, 150, 408, 
145, 150, 391, 150, 397, 150, 395, 150, 407, 150, 421, 150, 410, 
150, 150, 392, 149, 396, 150, 395, 150, 405, 150, 421, 150, 408, 
155, 150, 392, 149, 397, 150, 395, 150, 405, 149, 421, 150, 408, 
160, 150, 392, 149, 398, 150, 392, 150, 405, 149, 421, 149, 407, 
165, 149, 392, 149, 396, 150, 394, 150, 404, 150, 422, 150, 409, 
170, 150, 393, 149, 396, 150, 393, 149, 404, 150, 419, 150, 406, 
175, 150, 394, 149, 398, 149, 397, 150, 405, 149, 419, 149, 405, 
180, 150, 394, 149, 397, 149, 394, 150, 404, 150, 420, 150, 407, 
185, 150, 395, 149, 398, 150, 394, 150, 404, 149, 420, 150, 405, 
190, 150, 395, 149, 399, 150, 394, 150, 405, 150, 417, 150, 404, 
195, 150, 395, 150, 398, 149, 395, 150, 406, 150, 419, 150, 407, 
200, 150, 396, 150, 399, 149, 396, 149, 403, 150, 420, 150, 405, 
205, 149, 396, 149, 400, 149, 398, 149, 405, 149, 419, 150, 406, 
210, 150, 396, 149, 401, 149, 395, 150, 406, 150, 420, 150, 405, 
215, 150, 397, 149, 399, 149, 397, 150, 407, 149, 419, 150, 406, 
220, 150, 397, 149, 400, 149, 396, 150, 405, 150, 419, 150, 405, 
225, 150, 397, 150, 400, 149, 400, 149, 405, 150, 419, 150, 405, 
230, 149, 397, 149, 401, 149, 397, 150, 406, 150, 419, 150, 405, 
235, 150, 397, 149, 401, 149, 398, 149, 406, 149, 420, 150, 404, 
240, 150, 398, 149, 400, 150, 395, 150, 407, 150, 419, 150, 405, 
245, 149, 399, 150, 401, 150, 400, 150, 406, 149, 418, 150, 406, 
250, 150, 399, 149, 401, 149, 400, 149, 407, 149, 418, 150, 403, 
255, 150, 398, 149, 399, 150, 396, 149, 406, 149, 416, 149, 404, 
260, 150, 398, 149, 400, 150, 398, 150, 406, 150, 417, 150, 405, 
265, 149, 398, 150, 401, 149, 397, 150, 406, 149, 416, 150, 404, 
270, 150, 399, 149, 401, 149, 398, 150, 407, 150, 418, 150, 402, 
275, 150, 399, 150, 401, 150, 398, 150, 404, 149, 416, 149, 401, 
280, 149, 398, 150, 402, 149, 397, 150, 407, 150, 416, 149, 401, 
285, 150, 399, 149, 401, 150, 399, 150, 406, 149, 416, 150, 403, 
290, 150, 399, 149, 399, 150, 400, 150, 405, 149, 415, 149, 404, 
295, 149, 397, 150, 400, 149, 398, 150, 406, 150, 415, 150, 401, 
300, 150, 398, 149, 400, 150, 400, 150, 406, 150, 413, 150, 401, 
305, 149, 398, 149, 399, 150, 400, 150, 408, 150, 413, 150, 401, 
310, 149, 398, 149, 400, 149, 397, 150, 406, 149, 411, 150, 402, 
315, 150, 398, 149, 399, 149, 397, 150, 404, 150, 411, 150, 401, 
320, 150, 398, 150, 400, 150, 400, 150, 406, 150, 412, 150, 402, 
325, 150, 397, 149, 400, 149, 400, 150, 408, 150, 411, 150, 401, 
330, 150, 397, 150, 399, 150, 397, 150, 406, 149, 410, 150, 400, 
